Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
0.204766	0.0417983
1.19757	0.04276586
2.212676	0.04402658
3.179673	0.04408815
4.17497	0.0442822
5.169785	0.04434044
6.149312	0.04299194
7.153417	0.04343045
8.156425	0.04390147
9.156773	0.04525584
10.16259	0.04702211
11.17012	0.04849913
12.18102	0.04993207
13.18463	0.05080484
14.17416	0.05203278
15.18812	0.05181621
16.17067	0.05082934
17.16407	0.04941518
18.18414	0.04909566
19.16179	0.049118
20.17537	0.05038203
21.20071	0.05222718
22.18296	0.05350009
23.1917	0.05422243
24.17472	0.05442978
25.13072	0.05396153
26.1193	0.05388218
27.11501	0.05500742
28.11066	0.05510297
29.12506	0.0556655
30.12347	0.05550265
31.11827	0.0555843
32.10242	0.05594797
33.10336	0.0563249
34.12282	0.05668512
35.12307	0.05624616
36.15039	0.05628768
37.16159	0.05625049
38.1484	0.05612847
39.1532	0.05592707
40.15416	0.05807837
41.13725	0.05818883
42.14828	0.05930448
43.1372	0.05947733
44.13881	0.05939972
45.13587	0.0586606
46.15242	0.05719725
47.18087	0.05805656
48.18461	0.05771974
49.18892	0.05899532
50.18406	0.06069483
51.16209	0.06220331
52.1544	0.06257842
53.16547	0.06375456
54.14351	0.06321166
55.1385	0.06238412
56.12807	0.06163214
57.10893	0.06136351
58.10915	0.06325789
59.11955	0.06379585
60.13692	0.06304084
61.14109	0.06288701
62.13781	0.06220083
63.12891	0.06209285
64.1326	0.06442913
65.13301	0.06650707
66.14311	0.06572122
67.13248	0.06718086
68.11012	0.06704608
69.12454	0.06611186
70.12312	0.06759068
71.13496	0.06680146
72.14566	0.06715222
73.13522	0.06647488
74.12035	0.06725501
75.12273	0.06929969
76.12352	0.07777602
77.12367	0.07973073
78.13799	0.07958631
79.13809	0.07829705
80.13988	0.06968636
81.14901	0.06902251
82.13881	0.06899528
83.1328	0.06820649
84.12036	0.06887852
85.1172	0.06931557
86.11479	0.06930792
87.1198	0.07086134
88.12681	0.07199895
89.12922	0.07251886
90.13896	0.0728423
91.13537	0.07209709
92.14848	0.07067875
93.15442	0.06967507
94.13868	0.06936526
95.147	0.07023872
96.14417	0.07117651
97.12894	0.07238046
98.16639	0.07360186
99.164	0.07376646
100.1634	0.07394598
101.179	0.07429443
102.1558	0.07383271
103.1536	0.07415825
104.1647	0.07439342
105.15	0.0738576
106.1368	0.07412889
107.1446	0.07399587
108.1273	0.07479401
109.1307	0.07624818
110.1415	0.07704935
111.1578	0.07803442
112.1685	0.07789472
113.1492	0.07853217
114.1507	0.08036108
115.129	0.08054528
116.121	0.08110401
117.1445	0.0804366
118.1509	0.07889982
119.1438	0.07895328
120.136	0.07903353
121.1318	0.07930806
122.1292	0.07972564
123.1476	0.08006022
124.1464	0.08042534
125.1373	0.08149972
126.1139	0.08295559
127.0964	0.08441015
128.0853	0.08498568
129.0975	0.08448845
130.1066	0.08496919
131.0897	0.08414432
132.0792	0.0841207
133.0683	0.08489119
134.0722	0.08435422
135.0835	0.0851138
136.1057	0.08603205
137.1248	0.08696041
138.1243	0.08689182
139.1276	0.08662051
140.1167	0.08671766
141.0924	0.08632876
142.0842	0.08564536
143.0846	0.0869866
144.0897	0.08707861
145.0935	0.08822682
146.1012	0.09070496
147.0997	0.09093414
148.1288	0.09208866
149.141	0.09237541
150.1601	0.09225334
151.1836	0.09255508
152.1678	0.09256841
153.1789	0.09280308
154.1811	0.09336553
155.1684	0.0934693
156.1573	0.09378585
157.1507	0.09402814
158.1386	0.09436133
159.1357	0.0953555
160.1551	0.09621095
161.1389	0.09716462
162.1505	0.09836988
163.1606	0.09997212
164.145	0.1017421
165.1557	0.1025454
166.1575	0.1021244
167.1526	0.1008273
168.1557	0.09992643
169.155	0.0994481
170.1562	0.1003478
171.1588	0.101759
172.1622	0.1027765
173.1543	0.1039373
174.1357	0.1043706
175.1381	0.1055869
176.1378	0.106301
177.1424	0.1070546
178.1584	0.1071856
179.1517	0.1059674
180.1573	0.1057837
181.1643	0.1057233
182.1259	0.106444
183.1232	0.1075591
184.1176	0.1079555
185.0927	0.1081125
186.1215	0.1082996
187.1443	0.1090839
188.1448	0.1101624
189.1732	0.1113138
190.165	0.1123563
191.1329	0.112927
192.135	0.1125657
193.1258	0.1122637
194.1706	0.1122576
195.1788	0.1116811
196.1829	0.1122178
197.1965	0.1132614
198.1659	0.1140267
199.1845	0.1155137
200.2093	0.1170021
201.216	0.1177887
202.2199	0.1182536
203.2061	0.117832
204.1775	0.1166166
205.1575	0.1153736
206.1504	0.11456
207.1581	0.1153819
208.1577	0.1164356
209.1559	0.1176971
210.1569	0.1192215
211.1369	0.1195936
212.122	0.1197111
213.1277	0.1208845
214.1415	0.1214637
215.1636	0.1214595
216.156	0.1216152
217.1647	0.1207063
218.1654	0.1203169
219.1569	0.1211128
220.1714	0.1220241
221.1577	0.1226186
222.1359	0.1225599
223.1247	0.1224918
224.141	0.1219341
225.1416	0.1228817
226.1622	0.1247298
227.1731	0.1249788
228.166	0.1257072
229.1772	0.1246804
230.144	0.1232317
231.1331	0.1231581
232.1162	0.1218095
233.1038	0.1213711
234.135	0.1235725
235.1263	0.123411
236.1411	0.1254302
237.1407	0.1273321
238.1025	0.1262242
239.1191	0.1276965
240.1031	0.1275713
241.1012	0.1251497
242.1333	0.1201468
243.1261	0.1168793
244.1448	0.1162964
245.1498	0.1189985
246.1299	0.123363
247.1311	0.1245815
248.1451	0.1264991
249.1274	0.1271194
250.1532	0.1241222
251.172	0.127356
252.1682	0.1272197
253.196	0.1238431
254.1755	0.1265036
255.15	0.1255665
256.1514	0.1216336
257.1505	0.127093
258.1614	0.1282949
259.1687	0.1283966
260.145	0.1324086
261.1298	0.1292502
262.1246	0.1293482
263.1189	0.1288978
264.1225	0.1298413
265.1258	0.1301534
266.1222	0.1313986
267.1258	0.1302064
268.1203	0.1304297
269.1157	0.1301081
270.103	0.1305581
271.109	0.1333953
272.1198	0.1307988
273.1206	0.1320395
274.1441	0.1309567
275.1407	0.130219
276.1525	0.133257
277.1864	0.1336845
278.165	0.1341432
279.1721	0.1335071
280.1687	0.1314438
281.1371	0.1292076
282.1439	0.1295484
283.1465	0.1290379
284.1289	0.1301964
285.1014	0.1327369
286.0913	0.1323971
287.0883	0.1345579
288.0854	0.1333471
289.1179	0.1321756
290.13	0.1324631
291.1227	0.1330774
292.1172	0.1348878
293.1126	0.1365207
294.1138	0.1375415
295.0952	0.1348847
296.1077	0.1333015
297.1075	0.1341441
298.116	0.1349548
299.1286	0.1377839
300.1316	0.1400042
