Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Adsorbido 1.teq4_2col	Adsorbido 1.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col
-556.8149	-3.836613	-556.8455	-3.744976	-556.795	-3.204202	-556.8	-3.451722	-556.7842	-2.324438	-556.803	-3.874778	-556.7921	-3.062218	-556.7617	-2.983675
-555.8174	-3.816407	-555.8101	-3.724836	-555.7944	-3.185858	-555.8011	-3.445153	-555.798	-2.30758	-555.8066	-3.856853	-555.7944	-3.046677	-555.7847	-2.965708
-554.7847	-3.798836	-554.7816	-3.704965	-554.8275	-3.168381	-554.8055	-3.438917	-554.773	-2.289126	-554.8032	-3.839335	-554.7853	-3.031244	-554.7921	-2.947197
-553.7885	-3.778682	-553.7716	-3.68665	-553.8322	-3.152632	-553.8168	-3.433002	-553.7806	-2.271167	-553.812	-3.822599	-553.7694	-3.018567	-553.7885	-2.928875
-552.8048	-3.761668	-552.7825	-3.669838	-552.8086	-3.135379	-552.7932	-3.42528	-552.7574	-2.25167	-552.8001	-3.802843	-552.7772	-3.004721	-552.79	-2.912145
-551.799	-3.74399	-551.7885	-3.653696	-551.8192	-3.118246	-551.807	-3.417874	-551.7507	-2.234686	-551.7954	-3.785207	-551.7803	-2.98976	-551.7856	-2.895925
-550.8332	-3.723086	-550.8033	-3.638032	-550.7886	-3.100071	-550.8031	-3.411603	-550.7523	-2.219519	-550.7953	-3.768088	-550.7848	-2.975971	-550.7888	-2.880955
-549.8325	-3.70638	-549.8102	-3.621264	-549.7874	-3.082692	-549.795	-3.404824	-549.7396	-2.202529	-549.7653	-3.750585	-549.7998	-2.96124	-549.8001	-2.867652
-548.8284	-3.687143	-548.7847	-3.60413	-548.7987	-3.065555	-548.8108	-3.399966	-548.762	-2.184834	-548.7599	-3.735393	-548.8259	-2.945269	-548.8055	-2.852415
-547.8282	-3.66867	-547.7893	-3.585602	-547.7814	-3.048651	-547.7991	-3.395566	-547.7675	-2.165936	-547.7502	-3.719718	-547.8116	-2.928194	-547.7958	-2.836956
-546.829	-3.649815	-546.7722	-3.566526	-546.794	-3.03238	-546.796	-3.390296	-546.7988	-2.148147	-546.7563	-3.704031	-546.8206	-2.910759	-546.7848	-2.820605
-545.8417	-3.631723	-545.7759	-3.548148	-545.7975	-3.014617	-545.8257	-3.384707	-545.8273	-2.131386	-545.768	-3.689494	-545.8307	-2.895649	-545.7955	-2.804432
