Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
HQ t0	HQ t0	HQ t1	HQ t1	HQ t2	HQ t2	HQ t3	HQ t3	HQ t4	HQ t4	HQ t5	HQ t5	HQ t6	HQ t6	HQ t7	HQ t7	HQ t8	HQ t8	HQ t9	HQ t9	HQ t10	HQ t10	HQ t11	HQ t11	HQ Au	HQ Au
248.798	0.423107	248.7692	0.177796	248.724	0.178762	248.7368	0.247491	248.7212	0.169036	248.6734	0.16451	248.6462	0.24327	248.6567	0.15317	248.6265	0.135011	248.6159	0.140483	248.5847	0.132331	228.6478	0.107798	228.6799	0.198558
249.7735	0.4311	249.7769	0.181329	249.7295	0.178136	249.7303	0.245966	249.7277	0.172098	249.6569	0.16685	249.6506	0.24809	249.6736	0.154143	249.6136	0.135314	249.6021	0.14124	249.5921	0.132781	229.6734	0.110539	229.6918	0.201426
250.7658	0.44155	250.7684	0.185471	250.7158	0.181746	250.7401	0.24621	250.7272	0.178075	250.6732	0.171199	250.6259	0.25387	250.6665	0.157607	250.6208	0.13609	250.599	0.143804	250.6138	0.134776	230.6573	0.111175	230.6534	0.20196
251.791	0.451063	251.7965	0.187587	251.7161	0.186349	251.755	0.243932	251.727	0.185184	251.674	0.175049	251.629	0.26069	251.6761	0.160653	251.6529	0.135237	251.6128	0.147211	251.6223	0.136769	231.6433	0.114219	231.6176	0.204674
252.8074	0.461645	252.8161	0.189882	252.7267	0.190605	252.7594	0.244293	252.7484	0.189484	252.6794	0.179426	252.6476	0.268777	252.6762	0.163592	252.6637	0.136092	252.6125	0.151062	252.6491	0.13861	232.6424	0.11701	232.6207	0.206726
253.836	0.472693	253.8054	0.19224	253.7303	0.191119	253.7576	0.244897	253.7549	0.191797	253.6923	0.181477	253.6476	0.275656	253.666	0.165865	253.6639	0.136402	253.628	0.153802	253.6522	0.140431	233.6325	0.118481	233.6128	0.207316
254.8462	0.482084	254.795	0.192619	254.7353	0.190179	254.7556	0.244561	254.7352	0.191827	254.6856	0.181461	254.6765	0.282596	254.6626	0.16822	254.6631	0.137117	254.6481	0.155955	254.6428	0.142516	234.625	0.121486	234.6219	0.210549
255.8275	0.49254	255.7645	0.192792	255.7403	0.187848	255.7274	0.244828	255.7232	0.191858	255.6963	0.182424	255.6824	0.288339	255.6362	0.171374	255.6541	0.138707	255.6543	0.157714	255.6468	0.145561	235.6363	0.122802	235.6258	0.213023
256.8148	0.501527	256.7376	0.191293	256.7328	0.18695	256.691	0.242698	256.7195	0.19431	256.7028	0.184355	256.6628	0.291845	256.6259	0.173152	256.6299	0.138278	256.6337	0.158022	256.6237	0.148787	236.6245	0.124796	236.6212	0.215327
257.7828	0.510219	257.719	0.192668	257.7339	0.189173	257.6929	0.244356	257.6825	0.196284	257.6944	0.188	257.6441	0.296031	257.6216	0.17532	257.617	0.1408	257.6241	0.159771	257.608	0.152243	237.6071	0.126097	237.6318	0.217882
258.7753	0.519436	258.7405	0.195404	258.7408	0.19132	258.7061	0.24721	258.6889	0.199706	258.7153	0.192585	258.6404	0.300906	258.6324	0.179294	258.6167	0.143969	258.6182	0.162337	258.6136	0.154488	238.6115	0.127809	238.638	0.219293
259.7701	0.527742	259.7491	0.199	259.7315	0.192986	259.7115	0.24789	259.6672	0.202205	259.7021	0.194689	259.6117	0.305743	259.634	0.179454	259.6071	0.14521	259.5949	0.163478	259.5971	0.154535	239.6145	0.131788	239.637	0.223242
260.7595	0.537639	260.7509	0.202483	260.7287	0.195427	260.7393	0.2503	260.6362	0.204433	260.683	0.197342	260.6066	0.311879	260.6324	0.184706	260.6081	0.146419	260.5848	0.16612	260.5943	0.155201	240.6349	0.134394	240.6421	0.225061
261.7526	0.548178	261.7621	0.205077	261.7217	0.199065	261.7458	0.252898	261.6441	0.210777	261.6802	0.20121	261.6239	0.319638	261.6499	0.187503	261.6208	0.147488	261.5841	0.16909	261.6062	0.156205	241.6512	0.136262	241.6488	0.227552
262.7619	0.559083	262.7452	0.205944	262.7037	0.200302	262.7142	0.253097	262.6318	0.212939	262.6516	0.205623	262.6033	0.326478	262.6463	0.189457	262.6064	0.145626	262.5671	0.171536	262.5992	0.157961	242.67	0.138695	242.6563	0.230314
