Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mv	ua	mv	ua	mv	ua	mv	ua
FcAu		FcMeso		RuAds		Mediacion	
19.92499	-0.863376	19.83376	0.068664	-479.8882	-2.376441	-479.8565	-2.671779
20.92665	-0.853517	20.87548	0.073168	-478.8797	-2.353886	-478.8521	-2.653477
21.94171	-0.843939	21.87754	0.0747	-477.8617	-2.32689	-477.8303	-2.63449
22.94179	-0.831755	22.89366	0.075725	-476.8419	-2.303087	-476.8222	-2.61615
23.9214	-0.823886	23.91623	0.075061	-475.8255	-2.277992	-475.8206	-2.597965
24.90614	-0.816214	24.88436	0.073073	-474.8306	-2.255321	-474.795	-2.580398
25.88495	-0.810719	25.88661	0.073458	-473.8336	-2.235778	-473.8222	-2.565514
26.88342	-0.799979	26.88149	0.073663	-472.8408	-2.213222	-472.8137	-2.551173
27.86731	-0.791137	27.86501	0.075571	-471.8515	-2.188929	-471.8064	-2.537196
28.8584	-0.783415	28.86848	0.077258	-470.8317	-2.165776	-470.819	-2.522259
29.83648	-0.775953	29.85463	0.078555	-469.8245	-2.139968	-469.7868	-2.505558
30.81612	-0.772685	30.83737	0.081314	-468.8315	-2.113421	-468.796	-2.48824
31.82382	-0.764112	31.84587	0.084544	-467.8419	-2.086633	-467.7836	-2.468663
32.83653	-0.750323	32.84929	0.087195	-466.8521	-2.05567	-466.786	-2.447892
33.85905	-0.734861	33.8786	0.090637	-465.8447	-2.023175	-465.7792	-2.427678
34.87414	-0.721718	34.88889	0.091938	-464.8069	-1.990071	-464.7633	-2.405022
35.88936	-0.711259	35.87533	0.091594	-463.762	-1.959138	-463.7697	-2.384731
36.89376	-0.703787	36.86917	0.091972	-462.7636	-1.928059	-462.7605	-2.366295
37.8708	-0.696272	37.85394	0.091251	-461.7943	-1.898144	-461.7856	-2.346953
38.87202	-0.681099	38.85907	0.092534	-460.8214	-1.872332	-460.8197	-2.330195
39.85542	-0.662232	39.86538	0.093423	-459.8497	-1.841771	-459.8111	-2.311729
40.85737	-0.646387	40.86177	0.094786	-458.8574	-1.809387	-458.8082	-2.292216
41.88062	-0.62977	41.85697	0.097062	-457.8395	-1.779302	-457.8056	-2.274353
42.86657	-0.620596	42.85735	0.099811	-456.8438	-1.745272	-456.7863	-2.251968
43.88685	-0.611788	43.8518	0.102577	-455.8594	-1.710375	-455.7987	-2.228508
44.88195	-0.595768	44.86399	0.106376	-454.83	-1.677464	-454.8117	-2.206132
45.88657	-0.579789	45.87541	0.109214	-453.8286	-1.640362	-453.8033	-2.180317
46.90586	-0.562472	46.87652	0.11254	-452.819	-1.601632	-452.8193	-2.15775
47.89943	-0.5468	47.87726	0.116585	-451.7869	-1.56308	-451.8042	-2.135618
48.8913	-0.533088	48.86803	0.118738	-450.8014	-1.524565	-450.7867	-2.111446
49.88673	-0.514817	49.86153	0.120491	-449.7888	-1.486061	-449.8074	-2.089062
50.88765	-0.495558	50.84746	0.119155	-448.7946	-1.44573	-448.7901	-2.06602
51.87027	-0.474288	51.82702	0.120139	-447.8257	-1.407648	-447.7961	-2.043593
52.89194	-0.446745	52.82153	0.121607	-446.8265	-1.364802	-446.8119	-2.02006
53.88806	-0.426781	53.82306	0.123111	-445.8184	-1.314552	-445.8066	-1.994329
54.87399	-0.399806	54.81144	0.127082	-444.8271	-1.267953	-444.8177	-1.969084
55.88068	-0.375188	55.83283	0.129174	-443.8068	-1.216758	-443.8159	-1.940907
56.83685	-0.359189	56.84019	0.130959	-442.8173	-1.16487	-442.8178	-1.912102
57.82834	-0.333177	57.84032	0.134368	-441.8393	-1.118608	-441.809	-1.886622
58.81461	-0.309473	58.85155	0.138952	-440.8272	-1.069184	-440.8109	-1.856982
59.82182	-0.28409	59.84716	0.14337	-439.8288	-1.016685	-439.7937	-1.826111
60.83655	-0.255043	60.8489	0.147163	-438.8095	-0.965919	-438.7949	-1.796409
61.8411	-0.223756	61.84473	0.148868	-437.804	-0.914048	-437.8062	-1.761898
62.8349	-0.196924	62.86364	0.149708	-436.8194	-0.861745	-436.8078	-1.729802
63.82433	-0.161168	63.86185	0.150145	-435.8195	-0.80791	-435.8497	-1.698572
64.83013	-0.13128	64.84442	0.151977	-434.844	-0.752516	-434.8442	-1.666888
65.83836	-0.102355	65.84452	0.15627	-433.8589	-0.694039	-433.8298	-1.634479
66.86772	-0.069889	66.82047	0.158876	-432.83	-0.630576	-432.8089	-1.599042
67.86995	-0.039971	67.80849	0.162147	-431.8295	-0.571303	-431.8002	-1.566379
68.89723	-0.002674	68.81181	0.166126	-430.8344	-0.513221	-430.8105	-1.531298
69.88885	0.031795	69.78329	0.16833	-429.8235	-0.448735	-429.8139	-1.493162
70.88997	0.067638	70.7942	0.173806	-428.8399	-0.386789	-428.8454	-1.458266
71.91005	0.099322	71.82726	0.179012	-427.8508	-0.317296	-427.8455	-1.415916
72.88582	0.131397	72.84005	0.18327	-426.835	-0.238651	-426.8354	-1.368685
73.88683	0.165724	73.86837	0.187192	-425.832	-0.16229	-425.8191	-1.326885
74.87703	0.198329	74.85956	0.188817	-424.8196	-0.084418	-424.806	-1.28177
75.85934	0.237047	75.84195	0.190838	-423.8164	-0.008462	-423.7971	-1.238384
76.85379	0.283124	76.83292	0.192497	-422.8195	0.063792	-422.787	-1.199593
77.86493	0.324865	77.80544	0.195432	-421.839	0.139388	-421.8122	-1.157639
78.86868	0.368736	78.79419	0.200325	-420.8345	0.213523	-420.8021	-1.113573
79.87881	0.407545	79.78483	0.205585	-419.8309	0.293508	-419.8005	-1.066767
80.87889	0.442032	80.77557	0.210493	-418.8236	0.374899	-418.8141	-1.018446
81.87009	0.481128	81.79967	0.218554	-417.8006	0.458167	-417.7993	-0.966043
82.869	0.516975	82.7998	0.223963	-416.804	0.551332	-416.7874	-0.907528
83.85184	0.559937	83.78393	0.229679	-415.7833	0.647465	-415.777	-0.850557
84.87409	0.607009	84.78966	0.235965	-414.7616	0.747759	-414.7521	-0.790883
85.86727	0.652713	85.78587	0.23962	-413.728	0.85392	-413.7272	-0.72739
86.8688	0.707439	86.77667	0.244357	-412.7406	0.945167	-412.7137	-0.672793
