WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
-485.9193	-3.10485	-485.8736	-3.437917	-485.9221	-0.015871	-485.8914	-4.538459
-484.9145	-3.089422	-484.8612	-3.431372	-484.9158	-5.86E-4	-484.8937	-4.521372
-483.9193	-3.074116	-483.8766	-3.42552	-483.9133	0.013959	-483.8656	-4.504088
-482.9271	-3.057189	-482.8813	-3.419541	-482.9037	0.028493	-482.873	-4.488522
-481.9304	-3.038908	-481.9076	-3.414255	-481.9246	0.043799	-481.8924	-4.471296
-480.9233	-3.022537	-480.9218	-3.40913	-480.9363	0.056083	-480.8866	-4.45113
-479.9339	-3.005195	-479.907	-3.402784	-479.9488	0.068973	-479.9137	-4.43519
-478.9284	-2.988981	-478.8972	-3.394953	-478.9648	0.080909	-478.9041	-4.416819
-477.8952	-2.971512	-477.8669	-3.387146	-477.9497	0.094251	-477.8738	-4.400048
-476.8813	-2.95242	-476.86	-3.382706	-476.9352	0.105544	-476.8636	-4.386136
-475.8654	-2.935403	-475.8674	-3.379145	-475.9295	0.117582	-475.8535	-4.365678
-474.8629	-2.918636	-474.8721	-3.376346	-474.9064	0.130709	-474.8734	-4.348038
-473.8944	-2.905789	-473.8934	-3.373363	-473.9173	0.140068	-473.8976	-4.330831
-472.9083	-2.889942	-472.9171	-3.368475	-472.9261	0.152218	-472.9062	-4.312324
-471.9061	-2.871608	-471.9082	-3.363928	-471.9054	0.165153	-471.9	-4.298021
-470.8907	-2.856694	-470.9284	-3.358903	-470.9045	0.177336	-470.8921	-4.282538
-469.8637	-2.837093	-469.9211	-3.354193	-469.8925	0.189263	-469.8885	-4.266268
-468.8781	-2.822776	-468.9085	-3.347849	-468.8921	0.201257	-468.8941	-4.248547
-467.8896	-2.807306	-467.9252	-3.340299	-467.9145	0.212414	-467.8956	-4.231619
-466.9034	-2.789487	-466.8913	-3.332941	-466.9254	0.222973	-466.8685	-4.21435
-465.8976	-2.775829	-465.8792	-3.325991	-465.9179	0.236701	-465.8633	-4.194772
-464.8741	-2.757788	-464.8677	-3.320043	-464.8835	0.251636	-464.8373	-4.17888
-463.8652	-2.744482	-463.8495	-3.31653	-463.8525	0.263004	-463.8383	-4.163838
-462.8664	-2.728464	-462.8708	-3.314433	-462.8443	0.275498	-462.8681	-4.1485
-461.8624	-2.709847	-461.8774	-3.310456	-461.8409	0.288461	-461.8703	-4.134323
-460.8775	-2.6968	-460.8786	-3.306574	-460.8954	0.297098	-460.8833	-4.118877
-459.8723	-2.681119	-459.8926	-3.30081	-459.9223	0.310893	-459.8837	-4.101737
-458.8567	-2.66756	-458.8808	-3.293422	-458.9033	0.325198	-458.8631	-4.085612
-457.8815	-2.655498	-457.8929	-3.287221	-457.9296	0.336153	-457.85	-4.070162
-456.8771	-2.64154	-456.903	-3.281241	-456.9373	0.350076	-456.8533	-4.052687
-455.8861	-2.628337	-455.9105	-3.277141	-455.9394	0.363144	-455.858	-4.040224
-454.9271	-2.616238	-454.9268	-3.272563	-454.9688	0.376584	-454.8752	-4.024832
-453.9296	-2.602548	-453.9305	-3.268754	-453.9568	0.391597	-453.8853	-4.010365
-452.9023	-2.587402	-452.9269	-3.265523	-452.9193	0.408079	-452.8983	-3.997402
-451.8991	-2.573597	-451.9235	-3.258854	-451.9097	0.424932	-451.8826	-3.978062
-450.8672	-2.559359	-450.9322	-3.253383	-450.9149	0.440513	-450.8649	-3.96423
-449.864	-2.545963	-449.9098	-3.248078	-449.9287	0.455153	-449.8632	-3.949498
-448.8914	-2.532457	-448.9203	-3.240147	-448.9496	0.471794	-448.8592	-3.93622
-447.9041	-2.516109	-447.9173	-3.234629	-447.9514	0.486503	-447.889	-3.924749
-446.9067	-2.501661	-446.9078	-3.231112	-446.9494	0.503093	-446.8876	-3.912205
-445.9072	-2.485616	-445.9125	-3.223195	-445.9182	0.524471	-445.8807	-3.897696
-444.9109	-2.471979	-444.8796	-3.218329	-444.8919	0.540023	-444.8603	-3.886565
-443.9012	-2.457608	-443.8794	-3.212298	-443.8972	0.55894	-443.8531	-3.875199
-442.8907	-2.441453	-442.8575	-3.205769	-442.8963	0.57841	-442.8579	-3.860356
-441.8958	-2.429457	-441.8545	-3.201801	-441.9152	0.595551	-441.8849	-3.849563
-440.8866	-2.413536	-440.8695	-3.194827	-440.925	0.618139	-440.9042	-3.835845
-439.8772	-2.399302	-439.863	-3.18927	-439.8873	0.640702	-439.8891	-3.821492
-438.8831	-2.381261	-438.8675	-3.183354	-438.8772	0.662099	-438.895	-3.809986
-437.8779	-2.366085	-437.8651	-3.178159	-437.8842	0.684678	-437.8764	-3.796461
-436.8801	-2.351311	-436.8604	-3.175557	-436.8923	0.705553	-436.8749	-3.783501
-435.8813	-2.336854	-435.8624	-3.17135	-435.9139	0.727787	-435.8707	-3.775272
-434.8922	-2.326275	-434.8585	-3.165886	-434.9291	0.751618	-434.8755	-3.765421
-433.8937	-2.307729	-433.8687	-3.160057	-433.9286	0.777109	-433.8805	-3.755636
