Vf	Im
V vs. Ref.	A
-6.96139E-002	4.66543E-008
-7.16130E-002	3.42353E-008
-7.36151E-002	1.77228E-008
-7.56170E-002	2.04295E-009
-7.76260E-002	-1.54408E-008
-7.96294E-002	-2.41133E-008
-8.16354E-002	-5.01308E-008
-8.36298E-002	-5.77626E-008
-8.56207E-002	-7.72583E-008
-8.76188E-002	-9.73785E-008
-8.96357E-002	-1.17082E-007
-9.16357E-002	-1.44765E-007
-9.36335E-002	-1.61139E-007
-9.56249E-002	-1.83687E-007
-9.76245E-002	-2.09843E-007
-9.96268E-002	-2.32184E-007
-1.01608E-001	-2.57716E-007
-1.03618E-001	-2.81443E-007
-1.05646E-001	-3.10722E-007
-1.07638E-001	-3.38196E-007
-1.09638E-001	-3.66781E-007
-1.11639E-001	-4.04593E-007
-1.13638E-001	-4.34773E-007
-1.15644E-001	-4.70573E-007
-1.17645E-001	-5.03806E-007
-1.19644E-001	-5.46197E-007
-1.21640E-001	-5.90254E-007
-1.23644E-001	-6.37363E-007
-1.25635E-001	-6.82529E-007
-1.27639E-001	-7.27557E-007
-1.29645E-001	-7.75776E-007
-1.31661E-001	-8.33014E-007
-1.33650E-001	-8.87339E-007
-1.35646E-001	-9.43467E-007
-1.37644E-001	-9.99873E-007
-1.39650E-001	-1.06599E-006
-1.41663E-001	-1.13024E-006
-1.43667E-001	-1.19552E-006
-1.45661E-001	-1.26352E-006
-1.47646E-001	-1.32783E-006
-1.49659E-001	-1.41019E-006
-1.51650E-001	-1.48276E-006
-1.53655E-001	-1.55831E-006
-1.55648E-001	-1.63727E-006
-1.57670E-001	-1.71518E-006
-1.59666E-001	-1.79712E-006
-1.61663E-001	-1.88988E-006
-1.63675E-001	-1.97445E-006
-1.65654E-001	-2.05202E-006
-1.67669E-001	-2.13847E-006
-1.69669E-001	-2.21638E-006
-1.71666E-001	-2.30810E-006
-1.73658E-001	-2.38941E-006
-1.75665E-001	-2.47635E-006
-1.77674E-001	-2.55849E-006
-1.79673E-001	-2.64404E-006
-1.81664E-001	-2.72445E-006
-1.83678E-001	-2.80771E-006
-1.85672E-001	-2.87889E-006
-1.87685E-001	-2.96270E-006
-1.89685E-001	-3.03055E-006
-1.91669E-001	-3.10507E-006
-1.93696E-001	-3.17369E-006
-1.95689E-001	-3.22981E-006
-1.97686E-001	-3.29135E-006
-1.99664E-001	-3.34838E-006
-2.01672E-001	-3.40389E-006
-2.03669E-001	-3.45884E-006
-2.05679E-001	-3.50928E-006
-2.07684E-001	-3.55701E-006
-2.09691E-001	-3.60079E-006
-2.11691E-001	-3.63922E-006
-2.13693E-001	-3.67794E-006
-2.15684E-001	-3.71395E-006
-2.17674E-001	-3.74725E-006
-2.19695E-001	-3.77001E-006
-2.21680E-001	-3.79117E-006
-2.23691E-001	-3.81309E-006
-2.25685E-001	-3.84050E-006
-2.27697E-001	-3.86075E-006
-2.29682E-001	-3.87297E-006
-2.31691E-001	-3.88240E-006
-2.33693E-001	-3.89780E-006
-2.35698E-001	-3.91043E-006
-2.37700E-001	-3.91494E-006
-2.39697E-001	-3.92486E-006
-2.41693E-001	-3.92847E-006
-2.43714E-001	-3.93333E-006
-2.45712E-001	-3.93340E-006
-2.47695E-001	-3.93360E-006
-2.49710E-001	-3.93499E-006
-2.51693E-001	-3.93853E-006
-2.53692E-001	-3.93853E-006
-2.55695E-001	-3.93617E-006
-2.57710E-001	-3.93978E-006
-2.59722E-001	-3.93804E-006
-2.61716E-001	-3.93527E-006
-2.63727E-001	-3.93555E-006
-2.65718E-001	-3.93860E-006
-2.67723E-001	-3.94089E-006
-2.69722E-001	-3.93582E-006
-2.71717E-001	-3.93235E-006
-2.73720E-001	-3.93235E-006
-2.75711E-001	-3.93000E-006
-2.77719E-001	-3.92854E-006
-2.79715E-001	-3.92528E-006
-2.81726E-001	-3.92680E-006
-2.83734E-001	-3.92105E-006
-2.85727E-001	-3.91931E-006
-2.87733E-001	-3.91987E-006
-2.89724E-001	-3.90918E-006
-2.91726E-001	-3.92028E-006
-2.93725E-001	-3.91563E-006
-2.95746E-001	-3.91674E-006
-2.97744E-001	-3.91640E-006
-2.99735E-001	-3.91300E-006
-3.01730E-001	-3.91466E-006
-3.03724E-001	-3.91716E-006
-3.05722E-001	-3.91570E-006
-3.07726E-001	-3.91806E-006
-3.09729E-001	-3.91591E-006
-3.11755E-001	-3.92021E-006
-3.13727E-001	-3.91404E-006
-3.15742E-001	-3.91661E-006
-3.17738E-001	-3.91265E-006
-3.19739E-001	-3.91279E-006
-3.21751E-001	-3.91792E-006
-3.23762E-001	-3.91432E-006
-3.25754E-001	-3.91598E-006
-3.27760E-001	-3.91501E-006
-3.29754E-001	-3.91633E-006
-3.31749E-001	-3.91827E-006
-3.33757E-001	-3.91348E-006
-3.35759E-001	-3.91626E-006
-3.37758E-001	-3.91945E-006
-3.39758E-001	-3.91772E-006
-3.41760E-001	-3.91910E-006
-3.43756E-001	-3.91917E-006
-3.45747E-001	-3.91550E-006
-3.47772E-001	-3.91466E-006
-3.49763E-001	-3.91182E-006
-3.51762E-001	-3.91813E-006
-3.53759E-001	-3.91681E-006
-3.55755E-001	-3.91341E-006
-3.57747E-001	-3.91272E-006
-3.59758E-001	-3.91099E-006
-3.61763E-001	-3.90981E-006
-3.63773E-001	-3.90294E-006
-3.65778E-001	-3.90446E-006
-3.67770E-001	-3.90079E-006
-3.69766E-001	-3.89891E-006
-3.71788E-001	-3.89350E-006
-3.73780E-001	-3.89697E-006
-3.75773E-001	-3.88365E-006
-3.77764E-001	-3.87754E-006
-3.79780E-001	-3.87463E-006
-3.81775E-001	-3.87408E-006
-3.83763E-001	-3.86728E-006
-3.85767E-001	-3.86089E-006
-3.87785E-001	-3.86207E-006
-3.89792E-001	-3.85881E-006
-3.91776E-001	-3.85701E-006
-3.93776E-001	-3.84660E-006
-3.95775E-001	-3.84688E-006
-3.97792E-001	-3.83654E-006
-3.99791E-001	-3.83127E-006
-4.01782E-001	-3.82613E-006
-4.03788E-001	-3.82065E-006
-4.05781E-001	-3.81427E-006
-4.07772E-001	-3.80858E-006
-4.09775E-001	-3.80629E-006
-4.11794E-001	-3.80088E-006
-4.13798E-001	-3.79519E-006
