Vf	Im
V vs. Ref.	A
7.85066E-002	-2.34195E-008
7.64891E-002	-3.34102E-008
7.44895E-002	-4.61067E-008
7.24755E-002	-5.54037E-008
7.04880E-002	-6.91409E-008
6.84917E-002	-7.39975E-008
6.64978E-002	-8.26006E-008
6.44919E-002	-8.85673E-008
6.24781E-002	-1.03137E-007
6.04783E-002	-1.09520E-007
5.84862E-002	-1.19303E-007
5.64858E-002	-1.22633E-007
5.44816E-002	-1.24922E-007
5.24974E-002	-1.21800E-007
5.04739E-002	-1.36023E-007
4.84903E-002	-1.38521E-007
4.64651E-002	-1.47332E-007
4.44678E-002	-1.53091E-007
4.24581E-002	-1.56351E-007
4.04654E-002	-1.60306E-007
3.84819E-002	-1.67105E-007
3.64541E-002	-1.68840E-007
3.44560E-002	-1.70713E-007
3.24691E-002	-1.75431E-007
3.04606E-002	-1.80704E-007
2.84716E-002	-1.87156E-007
2.64672E-002	-1.89584E-007
2.44611E-002	-1.91388E-007
2.24657E-002	-1.95759E-007
2.04573E-002	-1.99298E-007
1.84509E-002	-2.05819E-007
1.64498E-002	-2.07693E-007
1.44606E-002	-2.06444E-007
1.24427E-002	-2.13729E-007
1.04487E-002	-2.15186E-007
8.44995E-003	-2.17822E-007
6.43909E-003	-2.20042E-007
4.44304E-003	-2.29825E-007
2.45262E-003	-2.29755E-007
4.65119E-004	-2.27188E-007
-1.55367E-003	-2.31976E-007
-3.56579E-003	-2.40093E-007
-5.57206E-003	-2.41134E-007
-7.56373E-003	-2.44603E-007
-9.57188E-003	-2.48696E-007
-1.15633E-002	-2.50986E-007
-1.35821E-002	-2.49251E-007
-1.55734E-002	-2.55634E-007
-1.75759E-002	-2.58340E-007
-1.95740E-002	-2.60144E-007
-2.15857E-002	-2.58895E-007
-2.35735E-002	-2.60768E-007
-2.55837E-002	-2.61462E-007
-2.76002E-002	-2.66666E-007
-2.95846E-002	-2.64445E-007
-3.15800E-002	-2.72632E-007
-3.35917E-002	-2.75546E-007
-3.55769E-002	-2.70828E-007
-3.75817E-002	-2.75616E-007
-3.95959E-002	-2.84011E-007
-4.16005E-002	-2.88520E-007
-4.35893E-002	-2.89700E-007
-4.55907E-002	-2.88451E-007
-4.75770E-002	-2.92406E-007
-4.95976E-002	-2.97540E-007
-5.15885E-002	-2.93169E-007
-5.36148E-002	-2.97540E-007
-5.56077E-002	-2.98858E-007
-5.76023E-002	-3.08571E-007
-5.95977E-002	-3.09820E-007
-6.15982E-002	-3.19533E-007
-6.35950E-002	-3.15717E-007
-6.56047E-002	-3.14954E-007
-6.76007E-002	-3.20782E-007
-6.96097E-002	-3.21615E-007
-7.16116E-002	-3.27720E-007
-7.36047E-002	-3.30773E-007
-7.56135E-002	-3.40000E-007
-7.76052E-002	-3.37225E-007
-7.96212E-002	-3.40555E-007
-8.16179E-002	-3.47910E-007
-8.36192E-002	-3.56651E-007
-8.56132E-002	-3.57900E-007
-8.75975E-002	-3.60537E-007
-8.96288E-002	-3.62271E-007
-9.16314E-002	-3.71291E-007
-9.36272E-002	-3.74205E-007
-9.56095E-002	-3.82322E-007
-9.76199E-002	-3.85375E-007
-9.96164E-002	-4.00638E-007
-1.01608E-001	-4.08478E-007
-1.03615E-001	-4.10629E-007
-1.05627E-001	-4.18677E-007
-1.07632E-001	-4.32345E-007
-1.09639E-001	-4.42683E-007
-1.11637E-001	-4.58432E-007
-1.13627E-001	-4.67659E-007
-1.15644E-001	-4.92567E-007
-1.17641E-001	-4.86114E-007
-1.19636E-001	-4.97631E-007
-1.21638E-001	-5.09773E-007
-1.23633E-001	-5.23441E-007
-1.25628E-001	-5.37455E-007
-1.27630E-001	-5.53621E-007
-1.29631E-001	-5.64583E-007
-1.31645E-001	-5.78598E-007
-1.33638E-001	-6.02603E-007
-1.35641E-001	-6.18214E-007
-1.37643E-001	-6.33824E-007
-1.39637E-001	-6.49435E-007
-1.41644E-001	-6.71844E-007
-1.43643E-001	-6.90716E-007
-1.45651E-001	-7.13403E-007
-1.47641E-001	-7.37131E-007
-1.49643E-001	-7.63565E-007
-1.51638E-001	-7.84934E-007
-1.53639E-001	-8.12547E-007
-1.55640E-001	-8.33500E-007
-1.57662E-001	-8.62154E-007
-1.59659E-001	-8.93791E-007
-1.61651E-001	-9.20017E-007
-1.63664E-001	-9.46034E-007
-1.65647E-001	-9.71288E-007
-1.67657E-001	-1.00001E-006
-1.69656E-001	-1.03387E-006
-1.71647E-001	-1.05760E-006
-1.73660E-001	-1.09222E-006
-1.75665E-001	-1.12816E-006
-1.77667E-001	-1.16153E-006
-1.79675E-001	-1.19129E-006
-1.81665E-001	-1.22328E-006
-1.83674E-001	-1.26227E-006
-1.85673E-001	-1.29502E-006
-1.87673E-001	-1.33498E-006
-1.89663E-001	-1.36668E-006
-1.91664E-001	-1.39749E-006
-1.93689E-001	-1.43336E-006
-1.95683E-001	-1.46853E-006
-1.97673E-001	-1.49407E-006
-1.99665E-001	-1.53195E-006
-2.01665E-001	-1.56261E-006
-2.03663E-001	-1.60036E-006
-2.05661E-001	-1.62901E-006
-2.07679E-001	-1.66023E-006
-2.09687E-001	-1.69388E-006
-2.11676E-001	-1.72378E-006
-2.13684E-001	-1.75431E-006
-2.15674E-001	-1.77617E-006
-2.17661E-001	-1.80281E-006
-2.19682E-001	-1.82737E-006
-2.21687E-001	-1.86206E-006
-2.23688E-001	-1.88690E-006
-2.25678E-001	-1.90958E-006
-2.27694E-001	-1.93518E-006
-2.29672E-001	-1.95690E-006
-2.31686E-001	-1.97189E-006
-2.33693E-001	-1.99291E-006
-2.35692E-001	-2.00755E-006
-2.37700E-001	-2.02503E-006
-2.39676E-001	-2.03613E-006
-2.41674E-001	-2.04591E-006
-2.43708E-001	-2.06576E-006
-2.45710E-001	-2.07616E-006
-2.47692E-001	-2.08740E-006
-2.49706E-001	-2.09621E-006
-2.51692E-001	-2.10010E-006
-2.53685E-001	-2.10759E-006
-2.55687E-001	-2.12182E-006
-2.57705E-001	-2.12376E-006
-2.59715E-001	-2.13770E-006
-2.61708E-001	-2.13757E-006
-2.63705E-001	-2.13909E-006
-2.65701E-001	-2.14402E-006
-2.67709E-001	-2.14763E-006
-2.69715E-001	-2.14645E-006
-2.71710E-001	-2.15234E-006
-2.73705E-001	-2.15075E-006
-2.75704E-001	-2.14443E-006
-2.77711E-001	-2.14221E-006
-2.79707E-001	-2.14492E-006
-2.81705E-001	-2.14478E-006
-2.83711E-001	-2.13763E-006
-2.85722E-001	-2.13375E-006
-2.87709E-001	-2.12494E-006
-2.89724E-001	-2.12681E-006
-2.91720E-001	-2.11946E-006
-2.93719E-001	-2.11661E-006
-2.95725E-001	-2.11238E-006
-2.97736E-001	-2.10676E-006
-2.99724E-001	-2.09892E-006
-3.01719E-001	-2.09601E-006
-3.03712E-001	-2.08817E-006
-3.05709E-001	-2.08837E-006
-3.07719E-001	-2.07811E-006
-3.09720E-001	-2.07152E-006
-3.11745E-001	-2.06458E-006
-3.13723E-001	-2.05882E-006
-3.15729E-001	-2.05278E-006
-3.17722E-001	-2.04501E-006
-3.19722E-001	-2.03731E-006
-3.21746E-001	-2.02899E-006
-3.23746E-001	-2.02337E-006
-3.25726E-001	-2.01761E-006
-3.27739E-001	-2.01053E-006
-3.29747E-001	-2.00678E-006
-3.31740E-001	-2.00651E-006
-3.33748E-001	-2.00012E-006
-3.35747E-001	-1.98999E-006
-3.37750E-001	-1.98084E-006
-3.39747E-001	-1.97709E-006
-3.41755E-001	-1.97466E-006
-3.43736E-001	-1.96148E-006
-3.45734E-001	-1.96474E-006
-3.47765E-001	-1.96099E-006
-3.49752E-001	-1.95024E-006
-3.51758E-001	-1.94178E-006
-3.53744E-001	-1.93664E-006
-3.55751E-001	-1.93317E-006
-3.57745E-001	-1.92984E-006
-3.59755E-001	-1.92311E-006
-3.61759E-001	-1.91708E-006
-3.63769E-001	-1.90951E-006
-3.65768E-001	-1.90514E-006
-3.67758E-001	-1.89612E-006
-3.69756E-001	-1.89245E-006
-3.71781E-001	-1.89057E-006
-3.73768E-001	-1.88308E-006
-3.75767E-001	-1.87906E-006
-3.77770E-001	-1.86809E-006
-3.79774E-001	-1.86650E-006
-3.81765E-001	-1.86344E-006
-3.83757E-001	-1.85436E-006
-3.85765E-001	-1.84478E-006
-3.87783E-001	-1.84555E-006
-3.89779E-001	-1.84242E-006
-3.91776E-001	-1.82903E-006
-3.93765E-001	-1.82501E-006
-3.95776E-001	-1.82175E-006
-3.97787E-001	-1.82168E-006
-3.99779E-001	-1.81384E-006
-4.01779E-001	-1.81148E-006
-4.03782E-001	-1.80579E-006
-4.05778E-001	-1.80815E-006
-4.07765E-001	-1.80024E-006
-4.09761E-001	-1.79698E-006
-4.11779E-001	-1.78928E-006
-4.13786E-001	-1.78581E-006
-4.15774E-001	-1.78553E-006
-4.17778E-001	-1.78213E-006
-4.19770E-001	-1.78074E-006
-4.21771E-001	-1.77658E-006
-4.23786E-001	-1.77179E-006
-4.25776E-001	-1.77089E-006
-4.27777E-001	-1.76722E-006
-4.29789E-001	-1.76069E-006
-4.31787E-001	-1.75931E-006
-4.33776E-001	-1.75487E-006
-4.35789E-001	-1.75653E-006
-4.37796E-001	-1.75341E-006
-4.39797E-001	-1.75875E-006
-4.41794E-001	-1.75070E-006
-4.43794E-001	-1.74453E-006
-4.45783E-001	-1.74390E-006
-4.47779E-001	-1.74057E-006
-4.49799E-001	-1.73357E-006
-4.51803E-001	-1.72628E-006
-4.53800E-001	-1.71830E-006
-4.55797E-001	-1.72316E-006
-4.57785E-001	-1.72510E-006
-4.59787E-001	-1.73037E-006
-4.61799E-001	-1.73308E-006
-4.63811E-001	-1.72614E-006
-4.65812E-001	-1.72288E-006
