E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.1904	6.52583	8.12684	9.94612	3.55686	0.33664	0.0029
0.1932	6.45644	8.01359	9.79373	3.53125	0.33563	0.00348
0.196	6.38915	7.90422	9.645	3.50524	0.33442	0.004
0.1988	6.32394	7.79858	9.49982	3.47894	0.33301	0.00445
0.2016	6.26069	7.69647	9.35816	3.45244	0.33144	0.00485
0.2044	6.19927	7.59773	9.22002	3.42587	0.32973	0.00519
0.2072	6.13963	7.50222	9.08561	3.39936	0.32792	0.0055
0.21	6.08165	7.4098	8.95478	3.37294	0.32601	0.00576
0.2128	6.02526	7.32031	8.82753	3.34667	0.32401	0.00599
0.2156	5.97036	7.23363	8.70384	3.32061	0.32195	0.00619
0.2184	5.9169	7.14962	8.5835	3.29481	0.31984	0.00637
0.2212	5.86481	7.06817	8.46654	3.26926	0.3177	0.00651
0.224	5.81403	6.98915	8.35295	3.24402	0.31553	0.00664
0.2268	5.76448	6.91246	8.24275	3.21912	0.31334	0.00674
0.2296	5.71614	6.83799	8.1357	3.19458	0.31113	0.00683
0.2324	5.66893	6.76564	8.03167	3.17044	0.30892	0.00691
0.2352	5.62281	6.69532	7.93068	3.14665	0.30671	0.00697
0.238	5.57773	6.62694	7.83268	3.12324	0.30451	0.00701
0.2408	5.53366	6.56042	7.73757	3.10023	0.30232	0.00705
0.2436	5.49055	6.49567	7.64515	3.07763	0.30014	0.00708
0.2464	5.44836	6.43263	7.55539	3.05545	0.29797	0.0071
0.2492	5.40705	6.37123	7.4682	3.03366	0.29583	0.00711
0.252	5.3666	6.31139	7.38348	3.01225	0.29372	0.00711
0.2548	5.32698	6.25305	7.30114	2.99124	0.29162	0.00711
0.2576	5.28814	6.19615	7.22108	2.97063	0.28955	0.00711
0.2604	5.25006	6.14063	7.14321	2.95042	0.28751	0.0071
0.2632	5.21272	6.08645	7.06745	2.93061	0.28549	0.00708
0.266	5.17608	6.03354	6.99372	2.91115	0.28351	0.00706
0.2688	5.14014	5.98185	6.92194	2.89206	0.28155	0.00704
0.2716	5.10485	5.93135	6.85204	2.87334	0.27963	0.00702
0.2744	5.07021	5.88198	6.78396	2.855	0.27773	0.00699
0.2772	5.03619	5.8337	6.71762	2.83702	0.27586	0.00697
0.28	5.00277	5.78647	6.65295	2.81936	0.27403	0.00694
0.2828	4.96994	5.74026	6.58989	2.80205	0.27223	0.00691
0.2856	4.93766	5.69502	6.52839	2.78506	0.27045	0.00688
0.2884	4.90594	5.65073	6.46842	2.7684	0.26871	0.00684
0.2912	4.87475	5.60735	6.40987	2.75206	0.26699	0.00681
0.294	4.84408	5.56484	6.35271	2.73603	0.26531	0.00678
0.2968	4.81391	5.52319	6.2969	2.72029	0.26365	0.00674
0.2996	4.78423	5.48236	6.2424	2.70484	0.26202	0.00671
0.3024	4.75502	5.44232	6.18914	2.68968	0.26042	0.00667
0.3052	4.72627	5.40305	6.13709	2.6748	0.25885	0.00664
0.308	4.69797	5.36452	6.08621	2.66018	0.2573	0.0066
0.3108	4.67011	5.32672	6.03645	2.64582	0.25578	0.00657
0.3136	4.64267	5.28961	5.98778	2.63172	0.25429	0.00653
0.3164	4.61565	5.25319	5.94016	2.61787	0.25282	0.0065
0.3192	4.58903	5.21742	5.89355	2.60426	0.25138	0.00646
0.322	4.5628	5.18229	5.84791	2.59088	0.24996	0.00643
0.3248	4.53696	5.14778	5.8032	2.57773	0.24857	0.0064
0.3276	4.51149	5.11386	5.75936	2.5648	0.24719	0.00636
0.3304	4.48638	5.08053	5.71637	2.55208	0.24585	0.00633
0.3332	4.46163	5.04776	5.6742	2.53958	0.24452	0.00629
0.336	4.43723	5.01554	5.63282	2.52728	0.24322	0.00626
0.3388	4.41317	4.98384	5.59219	2.51519	0.24194	0.00623
0.3416	4.38944	4.95266	5.55229	2.50329	0.24068	0.0062
0.3444	4.36604	4.92196	5.51308	2.49158	0.23944	0.00616
0.3472	4.34295	4.89176	5.47454	2.48007	0.23821	0.00613
0.35	4.32017	4.86205	5.43681	2.46874	0.23701	0.0061
0.3528	4.2977	4.83279	5.3999	2.45758	0.23583	0.00607
0.3556	4.27552	4.80399	5.36368	2.44658	0.23466	0.00604
0.3584	4.25363	4.77563	5.32811	2.43574	0.23351	0.00601
0.3612	4.23203	4.74771	5.29318	2.42507	0.23238	0.00598
0.364	4.2107	4.7202	5.25887	2.41454	0.23127	0.00595
0.3668	4.18965	4.69309	5.22515	2.40417	0.23017	0.00592
0.3696	4.16886	4.66639	5.192	2.39395	0.22909	0.00589
0.3724	4.14833	4.64007	5.1594	2.38387	0.22803	0.00586
0.3752	4.12805	4.61413	5.12738	2.37392	0.22698	0.00583
0.378	4.10803	4.58856	5.09589	2.36411	0.22595	0.00581
0.3808	4.08825	4.56335	5.06491	2.35444	0.22493	0.00578
0.3836	4.06871	4.53849	5.03442	2.34492	0.22393	0.00575
0.3864	4.04941	4.51398	5.00439	2.33554	0.22294	0.00572
0.3892	4.03034	4.48981	4.97481	2.32628	0.22197	0.0057
0.392	4.01149	4.46597	4.94566	2.31715	0.22101	0.00567
0.3948	3.99287	4.44245	4.91691	2.30814	0.22006	0.00565
0.3976	3.97446	4.41925	4.88859	2.29925	0.21912	0.00562
0.4004	3.95627	4.39635	4.86079	2.29047	0.2182	0.00559
0.4032	3.93829	4.37375	4.83339	2.2818	0.21729	0.00557
0.406	3.92051	4.35145	4.80638	2.27324	0.2164	0.00555
0.4088	3.90293	4.32943	4.77975	2.26477	0.21551	0.00552
0.4116	3.88556	4.3077	4.75348	2.25643	0.21464	0.0055
0.4144	3.86837	4.28624	4.72756	2.24821	0.21378	0.00547
0.4172	3.85138	4.26506	4.70198	2.2401	0.21292	0.00545
0.42	3.83458	4.24414	4.67672	2.23209	0.21208	0.00543
0.4228	3.81796	4.22348	4.65189	2.22418	0.21125	0.00541
0.4256	3.80152	4.20309	4.62745	2.21637	0.21043	0.00538
0.4284	3.78526	4.18296	4.60335	2.20865	0.20963	0.00536
0.4312	3.76917	4.16308	4.5796	2.20103	0.20883	0.00534
0.434	3.75326	4.14344	4.55617	2.19349	0.20804	0.00532
0.4368	3.73751	4.12405	4.53306	2.18605	0.20726	0.0053
0.4396	3.72193	4.10489	4.51026	2.17869	0.2065	0.00527
0.4424	3.70651	4.08596	4.48777	2.17141	0.20574	0.00525
0.4452	3.69125	4.06725	4.46558	2.16421	0.20499	0.00523
0.448	3.67615	4.04877	4.44368	2.15709	0.20425	0.00521
0.4508	3.66121	4.0305	4.42205	2.15004	0.20351	0.00519
0.4536	3.64643	4.01244	4.4007	2.14306	0.20279	0.00517
0.4564	3.63179	3.99459	4.37962	2.13616	0.20207	0.00515
0.4592	3.6173	3.97693	4.3588	2.12932	0.20137	0.00513
0.462	3.60296	3.95943	4.33823	2.12255	0.20067	0.00511
0.4648	3.58876	3.94195	4.3179	2.11584	0.19997	0.0051
0.4676	3.57469	3.92466	4.2978	2.10919	0.19929	0.00508
0.4704	3.56074	3.90756	4.27797	2.10261	0.19861	0.00506
0.4732	3.54691	3.89064	4.25841	2.09617	0.19794	0.00504
0.476	3.53322	3.87391	4.23908	2.08979	0.19727	0.00502
0.4788	3.51966	3.85736	4.21998	2.08348	0.19661	0.005
0.4816	3.50623	3.841	4.20108	2.07723	0.19596	0.00499
