Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
	-598.8184	-2.761708
	-598.7519	-2.776248
	-598.7187	-2.797448
	-598.6479	-2.819112
	-598.6337	-2.83963
	-598.5521	-2.865579
	-598.4485	-2.881599
	-598.4446	-2.901212
	-598.3973	-2.926099
	-598.3344	-2.950257
	-598.2953	-2.989022
	-598.1734	-2.999515
	-598.0792	-3.020349
	-597.9547	-3.034973
	-597.8826	-3.053273
	-597.7878	-3.07027
	-597.7017	-3.086373
	-597.5836	-3.10146
	-597.4896	-3.118547
	-597.4138	-3.12495
	-597.316	-3.156127
	-597.1849	-3.166674
	-597.0848	-3.179917
	-596.9818	-3.199356
	-596.8759	-3.224312

-598.3104	-1.649869
	-598.4032	-2.407413
	-598.413	-2.457394
	-598.4766	-2.494365
	-598.4977	-2.525637
	-598.5874	-2.558027
	-598.6249	-2.582336
	-598.629	-2.613003
	-598.7213	-2.638873
	-598.7964	-2.666098
	-598.8089	-2.711365
	-598.8139	-2.730284
	-598.8406	-2.750197
	-598.8074	-2.773554
	-598.8516	-2.796167
	-598.7965	-2.822501
	-598.7856	-2.840132
	-598.8283	-2.860948
	-598.8073	-2.885497
	-598.8081	-2.910328
	-598.8159	-2.950431
	-598.7277	-2.963859
	-598.7112	-2.985341
	-598.614	-3.00304
	-598.5872	-3.021855
	-598.5324	-3.039595
	-598.5222	-3.059952
	-598.4631	-3.074534
	-598.4111	-3.094093
	-598.3976	-3.108707
	-598.3293	-3.15116
	-598.1797	-3.16117
	-598.1082	-3.174803
	-597.9712	-3.194701
	-597.8817	-3.219468

-597.318	-1.625112
	-597.4595	-2.349272
	-597.5101	-2.399141
	-597.6447	-2.43694
	-597.7137	-2.468154
	-597.8442	-2.500438
	-597.9451	-2.524877
	-597.9861	-2.554289
	-598.1377	-2.581131
	-598.2408	-2.607697
	-598.3011	-2.65169
	-598.3887	-2.674893
	-598.4299	-2.693273
	-598.4618	-2.717457
	-598.5473	-2.741787
	-598.5648	-2.76718
	-598.5946	-2.786564
	-598.6737	-2.808353
	-598.7101	-2.832762
	-598.7698	-2.85856
	-598.8271	-2.898752
	-598.8005	-2.914493
	-598.845	-2.93576
	-598.7745	-2.957165
	-598.7751	-2.974656
	-598.8085	-2.993429
	-598.8353	-3.016701
	-598.8209	-3.031374
	-598.8232	-3.051321
	-598.8485	-3.070954
	-598.8579	-3.109159
	-598.7584	-3.12487
	-598.7224	-3.139771
	-598.6435	-3.16128
	-598.589	-3.18753

-596.3302	-1.609962
	-596.4597	-2.311501
	-596.5183	-2.360214
	-596.6445	-2.397478
	-596.7059	-2.42638
	-596.8352	-2.457792
	-596.9684	-2.481226
	-596.9905	-2.506464
	-597.1324	-2.532564
	-597.2307	-2.554915
	-597.2875	-2.583453
	-597.4503	-2.609094
	-597.5304	-2.629141
	-597.6351	-2.652424
	-597.7319	-2.676591
	-597.8279	-2.702463
	-597.9207	-2.7219
	-598.0214	-2.744952
	-598.1438	-2.770808
	-598.2344	-2.795661
	-598.351	-2.835113
	-598.4	-2.853815
	-598.4382	-2.873877
	-598.4139	-2.898922
	-598.4936	-2.914967
	-598.5433	-2.934598
	-598.6498	-2.960055
	-598.6749	-2.975032
	-598.7542	-2.994612
	-598.7886	-3.017391
	-598.858	-3.053501
	-598.8486	-3.072469
	-598.8218	-3.0903
	-598.7976	-3.11025
	-598.811	-3.138994

-595.3359	-1.597126
	-595.4232	-2.276952
	-595.5369	-2.325438
	-595.6302	-2.362828
	-595.7321	-2.388153
	-595.8485	-2.419657
	-595.9517	-2.442443
	-595.9964	-2.466915
	-596.1183	-2.490869
	-596.2368	-2.513362
	-596.2971	-2.540651
	-596.4285	-2.563619
	-596.5135	-2.584394
	-596.6442	-2.606522
	-596.7076	-2.62808
	-596.8348	-2.651532
	-596.9149	-2.670532
	-597.0183	-2.69223
	-597.1533	-2.716369
	-597.2275	-2.73714
	-597.3406	-2.761816
	-597.4603	-2.782423
	-597.5372	-2.802051
	-597.5667	-2.827543
	-597.7123	-2.844782
	-597.7969	-2.865228
	-597.9657	-2.891324
	-598.0524	-2.906625
	-598.1554	-2.92763
	-598.2592	-2.95191
	-598.3542	-2.98716
	-598.4064	-3.008892
	-598.4434	-3.025741
	-598.4446	-3.04634
	-598.4999	-3.076099

-594.3364	-1.584272
	-594.4377	-2.244875
	-594.5537	-2.292961
	-594.6255	-2.329405
	-594.7111	-2.351596
	-594.8568	-2.38354
	-594.9512	-2.407648
	-595.0167	-2.427967
	-595.1141	-2.45255
	-595.2375	-2.475296
	-595.3102	-2.499916
	-595.4427	-2.522434
	-595.5286	-2.545019
	-595.6674	-2.563062
	-595.7079	-2.585022
	-595.8429	-2.608404
	-595.8915	-2.624409
	-596.0148	-2.645537
	-596.1557	-2.670513
	-596.2134	-2.6897
	-596.3209	-2.711702
	-596.4774	-2.732779
	-596.525	-2.749418
	-596.5909	-2.774607
	-596.7123	-2.791041
	-596.8088	-2.809604
	-596.9581	-2.833743
	-597.0255	-2.849649
	-597.1472	-2.86783
	-597.2296	-2.887038
	-597.3463	-2.907844
	-597.4665	-2.932614
	-597.5364	-2.950515
	-597.6229	-2.971393
	-597.7054	-3.001316

-593.3231	-1.569899
	-593.4355	-2.214713
	-593.5411	-2.262895
	-593.6151	-2.298217
	-593.7231	-2.318874
	-593.8658	-2.350332
	-593.9352	-2.372873
	-594.0137	-2.39419
	-594.1129	-2.417221
	-594.2429	-2.43984
	-594.321	-2.461339
	-594.4324	-2.483914
	-594.5323	-2.507986
	-594.6725	-2.522901
	-594.7018	-2.544721
	-594.849	-2.567695
	-594.8989	-2.582315
	-595.0261	-2.601858
	-595.18	-2.628232
	-595.239	-2.64472
	-595.3273	-2.665474
	-595.4675	-2.688191
	-595.5163	-2.702381
	-595.6125	-2.725934
	-595.7363	-2.74476
	-595.8185	-2.760329
	-595.965	-2.782696
	-596.0124	-2.800009
	-596.1448	-2.815219
	-596.2399	-2.834769
	-596.3143	-2.855191
	-596.4538	-2.876276
	-596.5367	-2.894057
	-596.6213	-2.914907
	-596.7068	-2.943453

-592.3109	-1.55454
	-592.427	-2.185889
	-592.5304	-2.232896
	-592.603	-2.267028
	-592.7039	-2.288746
	-592.8605	-2.316829
	-592.9008	-2.339715
	-593.0237	-2.360456
	-593.097	-2.383589
	-593.2363	-2.405917
	-593.3452	-2.426661
	-593.4338	-2.44779
	-593.5449	-2.471032
	-593.6827	-2.486541
	-593.6938	-2.507368
	-593.8382	-2.529998
	-593.9041	-2.543647
	-594.0361	-2.561007
	-594.1782	-2.588124
	-594.2303	-2.603359
	-594.3307	-2.622805
	-594.4427	-2.646218
	-594.5192	-2.659444
	-594.6407	-2.681755
	-594.7283	-2.700268
	-594.845	-2.713589
	-594.964	-2.735301
	-595.0331	-2.753414
	-595.1433	-2.766193
	-595.2485	-2.786704
	-595.3286	-2.807558
	-595.4487	-2.824255
	-595.5379	-2.843388
	-595.6287	-2.865084
	-595.7137	-2.889053

-591.3025	-1.541263
	-591.4716	-2.160703
	-591.512	-2.204265
	-591.6084	-2.237786
	-591.6953	-2.261454
	-591.8474	-2.286705
	-591.8999	-2.308129
	-592.0294	-2.330095
	-592.098	-2.351215
	-592.2181	-2.373
	-592.3403	-2.393175
	-592.4441	-2.413115
	-592.5382	-2.435042
	-592.6599	-2.45087
	-592.7216	-2.471444
	-592.8361	-2.493464
	-592.9016	-2.507093
	-593.0376	-2.521749
	-593.1552	-2.549254
	-593.2507	-2.564189
	-593.3333	-2.582128
	-593.4437	-2.6056
	-593.5102	-2.618895
	-593.6619	-2.639823
	-593.7405	-2.659088
	-593.858	-2.669069
	-593.9612	-2.689571
	-594.0074	-2.709429
	-594.155	-2.721012
	-594.2332	-2.740726
	-594.3352	-2.760928
	-594.4355	-2.77485
	-594.5364	-2.795953
	-594.6362	-2.817843
	-594.7156	-2.838224

-590.301	-1.527155
	-590.4677	-2.135189
	-590.4888	-2.177019
	-590.6176	-2.210108
	-590.7006	-2.236264
	-590.8336	-2.257892
	-590.8958	-2.277895
	-591.0366	-2.302888
	-591.1005	-2.318866
	-591.2153	-2.341483
	-591.3332	-2.364749
	-591.4472	-2.381088
	-591.5109	-2.402268
	-591.6425	-2.41907
	-591.7014	-2.436212
	-591.8198	-2.457289
	-591.9159	-2.473203
	-592.0226	-2.485332
	-592.1478	-2.511419
	-592.2426	-2.526723
	-592.3457	-2.543525
	-592.4197	-2.564763
	-592.4968	-2.580316
	-592.6525	-2.59877
	-592.7358	-2.618762
	-592.8754	-2.628175
	-592.9636	-2.647506
	-593.0012	-2.667084
	-593.1704	-2.677966
	-593.225	-2.697059
	-593.3488	-2.717165
	-593.4374	-2.72924
	-593.5292	-2.750046
	-593.6241	-2.772531
	-593.7333	-2.791258

-589.3188	-1.51414
	-589.4721	-2.111046
	-589.4825	-2.150776
	-589.6209	-2.183183
	-589.6862	-2.208379
	-589.8276	-2.230489
	-589.9238	-2.249663
	-590.0466	-2.27405
	-590.0984	-2.290215
	-590.2133	-2.309962
	-590.3346	-2.335647
	-590.4673	-2.3493
	-590.5439	-2.369938
	-590.6482	-2.388099
	-590.7073	-2.40325
	-590.8029	-2.424551
	-590.9133	-2.440974
	-591.0507	-2.449735
	-591.1315	-2.475778
	-591.2128	-2.492866
	-591.3447	-2.506639
	-591.4167	-2.526487
	-591.4968	-2.54401
	-591.634	-2.561733
	-591.7018	-2.579416
	-591.8625	-2.589337
	-591.9355	-2.607712
	-591.9929	-2.625264
	-592.1667	-2.637634
	-592.1899	-2.654234
	-592.3434	-2.674412
	-592.436	-2.686338
	-592.5449	-2.705985
	-592.6046	-2.727367
	-592.734	-2.745605

-588.3401	-1.503164
	-588.4857	-2.086959
	-588.4985	-2.126709
	-588.6379	-2.158564
	-588.7101	-2.181875
	-588.8313	-2.205727
	-588.9436	-2.222854
	-589.0521	-2.248224
	-589.113	-2.262096
	-589.2373	-2.279442
	-589.3154	-2.306116
	-589.4627	-2.319066
	-589.519	-2.339465
	-589.6254	-2.356966
	-589.7238	-2.372049
	-589.8014	-2.391233
	-589.9128	-2.407198
	-590.0366	-2.41699
	-590.1212	-2.440946
	-590.2241	-2.45888
	-590.3644	-2.469917
	-590.4243	-2.490004
	-590.5122	-2.50904
	-590.6169	-2.523954
	-590.7006	-2.541712
	-590.877	-2.553412
	-590.9384	-2.568385
	-590.9836	-2.585339
	-591.1694	-2.600472
	-591.1937	-2.612338
	-591.3409	-2.633624
	-591.4271	-2.646346
	-591.5497	-2.662981
	-591.5897	-2.685528
	-591.7274	-2.704866

-587.3598	-1.489215
	-587.4837	-2.062101
	-587.514	-2.102593
	-587.625	-2.133437
	-587.7246	-2.156166
	-587.85	-2.180104
	-587.9457	-2.19557
	-588.0605	-2.221004
	-588.1375	-2.235884
	-588.262	-2.251143
	-588.3203	-2.277509
	-588.4514	-2.291565
	-588.5358	-2.310807
	-588.6408	-2.327457
	-588.7062	-2.342589
	-588.7983	-2.360805
	-588.9103	-2.374714
	-589.019	-2.385681
	-589.1295	-2.407894
	-589.2127	-2.425105
	-589.3771	-2.43559
	-589.4121	-2.455228
	-589.5131	-2.47433
	-589.5936	-2.488574
	-589.6839	-2.50469
	-589.8584	-2.516739
	-589.9393	-2.532201
	-589.9885	-2.547546
	-590.1647	-2.561899
	-590.189	-2.573316
	-590.343	-2.593633
	-590.4373	-2.608237
	-590.5642	-2.62254
	-590.584	-2.645475
	-590.7434	-2.665838

-586.3782	-1.476143
	-586.4665	-2.037977
	-586.5278	-2.079907
	-586.6353	-2.107478
	-586.735	-2.130462
	-586.8633	-2.155427
	-586.9678	-2.167901
	-587.0624	-2.193745
	-587.141	-2.211243
	-587.269	-2.22156
	-587.3286	-2.247842
	-587.4379	-2.264641
	-587.5424	-2.280461
	-587.6533	-2.297645
	-587.7201	-2.314057
	-587.8073	-2.33123
	-587.9011	-2.342546
	-588.0314	-2.355599
	-588.1309	-2.376493
	-588.2424	-2.393115
	-588.3989	-2.403696
	-588.4224	-2.42389
	-588.5259	-2.440756
	-588.5973	-2.455126
	-588.6821	-2.469394
	-588.8329	-2.481575
	-588.9426	-2.497102
	-589.0071	-2.511038
	-589.1495	-2.524398
	-589.2092	-2.53663
	-589.3248	-2.555022
	-589.427	-2.571173
	-589.5594	-2.585404
	-589.5795	-2.606287
	-589.7424	-2.626991

-585.3895	-1.464264
	-585.4751	-2.014164
	-585.5656	-2.058021
	-585.6335	-2.082686
	-585.7466	-2.107342
	-585.8636	-2.130773
	-585.9532	-2.143388
	-586.063	-2.168525
	-586.1395	-2.184541
	-586.2716	-2.195367
	-586.3087	-2.219873
	-586.4275	-2.237478
	-586.5028	-2.250815
	-586.6378	-2.268118
	-586.7234	-2.285557
	-586.8186	-2.300326
	-586.8901	-2.311247
	-587.0242	-2.327596
	-587.1476	-2.343775
	-587.2648	-2.360978
	-587.4105	-2.373097
	-587.4403	-2.391109
	-587.5292	-2.407025
	-587.637	-2.421638
	-587.7109	-2.435625
	-587.8386	-2.447116
	-587.9578	-2.463259
	-588.0161	-2.475868
	-588.1725	-2.489169
	-588.2383	-2.502139
	-588.3376	-2.518826
	-588.4347	-2.536848
	-588.5463	-2.550386
	-588.5995	-2.569687
	-588.775	-2.589549

-584.3767	-1.452158
	-584.4874	-1.992296
	-584.5643	-2.034984
	-584.6333	-2.059633
	-584.7404	-2.083202
	-584.8685	-2.106397
	-584.9664	-2.118527
	-585.0461	-2.142221
	-585.1548	-2.159222
	-585.2687	-2.170149
	-585.3305	-2.194333
	-585.4486	-2.211304
	-585.5082	-2.224356
	-585.657	-2.240683
	-585.7242	-2.25769
	-585.8286	-2.273137
	-585.8989	-2.283079
	-586.0215	-2.297557
	-586.1487	-2.313208
	-586.2632	-2.331312
	-586.4014	-2.343505
	-586.4227	-2.357902
	-586.5297	-2.373995
	-586.6461	-2.389291
	-586.7114	-2.40283
	-586.824	-2.412684
	-586.9689	-2.431102
	-587.0141	-2.441765
	-587.1567	-2.454448
	-587.2439	-2.468614
	-587.3358	-2.482676
	-587.4434	-2.502548
	-587.5573	-2.516201
	-587.6265	-2.53229
	-587.7693	-2.551955

-583.3644	-1.441739
	-583.4868	-1.969672
	-583.567	-2.012768
	-583.6477	-2.037483
	-583.7351	-2.058958
	-583.8608	-2.081654
	-583.9705	-2.095774
	-584.0344	-2.116193
	-584.1397	-2.134115
	-584.2703	-2.145288
	-584.356	-2.169017
	-584.4583	-2.184762
	-584.5085	-2.197923
	-584.6763	-2.213291
	-584.7521	-2.22999
	-584.851	-2.244516
	-584.9113	-2.255571
	-585.0401	-2.268347
	-585.1548	-2.284276
	-585.2606	-2.302003
	-585.3905	-2.314374
	-585.4313	-2.327006
	-585.5204	-2.342526
	-585.6533	-2.359547
	-585.7244	-2.371572
	-585.8395	-2.381299
	-585.9743	-2.398731
	-586.012	-2.407861
	-586.1364	-2.42146
	-586.2581	-2.435375
	-586.3174	-2.448506
	-586.4478	-2.466834
	-586.5544	-2.48132
	-586.6467	-2.494604
	-586.7582	-2.515337

-582.3545	-1.430985
	-582.4951	-1.949428
	-582.5788	-1.99011
	-582.6602	-2.016943
	-582.7438	-2.03609
	-582.8556	-2.057824
	-582.954	-2.075143
	-583.0274	-2.09248
	-583.1606	-2.109663
	-583.2723	-2.122193
	-583.3475	-2.143266
	-583.459	-2.158115
	-583.5173	-2.173333
	-583.6794	-2.18555
	-583.7664	-2.202785
	-583.8483	-2.217667
	-583.9312	-2.226709
	-584.0477	-2.238869
	-584.1619	-2.256112
	-584.2615	-2.27282
	-584.3623	-2.284727
	-584.4341	-2.296903
	-584.5353	-2.311806
	-584.6703	-2.32739
	-584.7564	-2.340485
	-584.8582	-2.350844
	-584.9884	-2.36734
	-585.0107	-2.375836
	-585.1511	-2.389738
	-585.268	-2.402401
	-585.3307	-2.415685
	-585.4795	-2.431904
	-585.5769	-2.447447
	-585.6486	-2.460403
	-585.7343	-2.48069

-581.3459	-1.4197
	-581.4866	-1.927903
	-581.5826	-1.96722
	-581.66	-1.995541
	-581.7639	-2.013829
	-581.8552	-2.034746
	-581.9708	-2.051732
	-582.0446	-2.067348
	-582.1742	-2.08554
	-582.2786	-2.098164
	-582.3798	-2.117508
	-582.4676	-2.133369
	-582.5466	-2.150718
	-582.7001	-2.15906
	-582.7879	-2.177447
	-582.8513	-2.192124
	-582.9446	-2.198621
	-583.0412	-2.209918
	-583.176	-2.230731
	-583.2574	-2.243551
	-583.3628	-2.255756
	-583.4227	-2.268629
	-583.5476	-2.282849
	-583.6539	-2.297632
	-583.7697	-2.310437
	-583.8435	-2.320341
	-583.9893	-2.335989
	-584.0399	-2.344947
	-584.1242	-2.35723
	-584.2663	-2.369749
	-584.3428	-2.383199
	-584.4816	-2.398335
	-584.5891	-2.413064
	-584.6571	-2.426234
	-584.7153	-2.445403

-580.3467	-1.407679
	-580.4623	-1.906798
	-580.5787	-1.945307
	-580.6509	-1.973564
	-580.768	-1.991574
	-580.8499	-2.012347
	-580.9539	-2.028651
	-581.0582	-2.044672
	-581.1605	-2.061324
	-581.27	-2.074138
	-581.3662	-2.092434
	-581.4639	-2.108815
	-581.5594	-2.125339
	-581.6909	-2.132449
	-581.7877	-2.150967
	-581.8688	-2.164695
	-581.955	-2.171313
	-582.0546	-2.183043
	-582.168	-2.20442
	-582.2657	-2.214223
	-582.3667	-2.228262
	-582.4305	-2.242318
	-582.5609	-2.253753
	-582.6572	-2.269122
	-582.79	-2.282092
	-582.8388	-2.290212
	-582.9744	-2.305561
	-583.0485	-2.315315
	-583.1437	-2.324098
	-583.2982	-2.338751
	-583.3429	-2.351112
	-583.4963	-2.364405
	-583.587	-2.379698
	-583.6567	-2.394736
	-583.7354	-2.411356

-579.3316	-1.394984
	-579.4412	-1.887291
	-579.5739	-1.924113
	-579.6672	-1.951408
	-579.7556	-1.970468
	-579.8444	-1.990342
	-579.9462	-2.005759
	-580.0662	-2.02259
	-580.1681	-2.037031
	-580.2369	-2.048757
	-580.3575	-2.068521
	-580.4567	-2.084491
	-580.5654	-2.100537
	-580.6573	-2.107178
	-580.7805	-2.126019
	-580.8564	-2.139256
	-580.9592	-2.14499
	-581.0722	-2.157447
	-581.1599	-2.176947
	-581.2682	-2.186868
	-581.3734	-2.200487
	-581.4402	-2.215116
	-581.5784	-2.225962
	-581.6686	-2.238631
	-581.8003	-2.252534
	-581.8643	-2.259174
	-581.9722	-2.276113
	-582.0524	-2.285619
	-582.1803	-2.291859
	-582.3075	-2.308338
	-582.3631	-2.320848
	-582.486	-2.332633
	-582.6037	-2.348342
	-582.6386	-2.364127
	-582.7423	-2.376426

-578.3199	-1.382643
	-578.4343	-1.86763
	-578.5502	-1.903381
	-578.6375	-1.930264
	-578.7458	-1.950172
	-578.8655	-1.969578
	-578.9455	-1.982865
	-579.0554	-1.999858
	-579.1653	-2.013737
	-579.2242	-2.025454
	-579.3559	-2.046381
	-579.4511	-2.059222
	-579.5644	-2.076186
	-579.6361	-2.083589
	-579.7684	-2.100707
	-579.8566	-2.113406
	-579.9381	-2.120818
	-580.0688	-2.132122
	-580.1548	-2.149768
	-580.247	-2.161243
	-580.3831	-2.17346
	-580.4467	-2.186494
	-580.6005	-2.197662
	-580.6605	-2.211711
	-580.7737	-2.22456
	-580.8671	-2.229334
	-580.963	-2.245988
	-581.0514	-2.254942
	-581.1805	-2.261403
	-581.3076	-2.277135
	-581.3668	-2.289904
	-581.4478	-2.302247
	-581.597	-2.315989
	-581.639	-2.331026
	-581.7564	-2.34224

-577.332	-1.370238
	-577.4463	-1.850361
	-577.5357	-1.884319
	-577.6609	-1.910626
	-577.7314	-1.930051
	-577.8702	-1.948237
	-577.9249	-1.9617
	-578.0337	-1.979231
	-578.1498	-1.991455
	-578.2128	-2.003061
	-578.3395	-2.024715
	-578.4434	-2.034995
	-578.5544	-2.051394
	-578.6294	-2.060287
	-578.7469	-2.075792
	-578.8602	-2.088171
	-578.9331	-2.096864
	-579.0757	-2.106204
	-579.1426	-2.122674
	-579.2332	-2.135989
	-579.3788	-2.145846
	-579.4587	-2.158634
	-579.5861	-2.169467
	-579.6447	-2.183031
	-579.7541	-2.195308
	-579.8738	-2.200631
	-579.962	-2.217186
	-580.035	-2.224302
	-580.1693	-2.23248
	-580.308	-2.246705
	-580.3721	-2.258658
	-580.431	-2.270804
	-580.5886	-2.284784
	-580.6407	-2.300072
	-580.7319	-2.311442

-576.322	-1.357489
	-576.462	-1.830359
	-576.5382	-1.865276
	-576.652	-1.890728
	-576.7355	-1.910862
	-576.8887	-1.927019
	-576.9391	-1.941218
	-577.0302	-1.957486
	-577.1579	-1.970109
	-577.1946	-1.980937
	-577.3423	-2.002186
	-577.4387	-2.011329
	-577.5366	-2.027568
	-577.6415	-2.037725
	-577.7498	-2.051047
	-577.8352	-2.064924
	-577.9287	-2.072888
	-578.0651	-2.079641
	-578.1487	-2.097258
	-578.2354	-2.111575
	-578.3704	-2.117518
	-578.4506	-2.132236
	-578.5696	-2.143536
	-578.6428	-2.155221
	-578.7385	-2.166956
	-578.8776	-2.173584
	-578.9615	-2.187074
	-579.0469	-2.194252
	-579.163	-2.205376
	-579.2541	-2.216038
	-579.3744	-2.227473
	-579.4045	-2.241093
	-579.5911	-2.253571
	-579.6298	-2.268593
	-579.7238	-2.280736

-575.327	-1.346184
	-575.473	-1.812106
	-575.5339	-1.847444
	-575.6398	-1.871915
	-575.7479	-1.891895
	-575.9016	-1.908481
	-575.9646	-1.921534
	-576.0308	-1.936635
	-576.1633	-1.950118
	-576.2069	-1.960299
	-576.3436	-1.979688
	-576.4519	-1.988297
	-576.5267	-2.003875
	-576.6349	-2.014328
	-576.7401	-2.027748
	-576.8314	-2.039703
	-576.9219	-2.047756
	-577.0554	-2.053842
	-577.1511	-2.07317
	-577.2372	-2.087459
	-577.3563	-2.090709
	-577.4594	-2.105548
	-577.5656	-2.117726
	-577.6277	-2.129045
	-577.7111	-2.139521
	-577.8383	-2.148005
	-577.9552	-2.158548
	-578.0507	-2.166138
	-578.1315	-2.178675
	-578.2469	-2.186401
	-578.3726	-2.197213
	-578.4037	-2.21261
	-578.566	-2.223637
	-578.656	-2.239485
	-578.7286	-2.25266

-574.3331	-1.333937
	-574.4821	-1.792725
	-574.5574	-1.829769
	-574.6622	-1.851603
	-574.7549	-1.872787
	-574.8927	-1.88827
	-574.9683	-1.900918
	-575.0568	-1.915795
	-575.1313	-1.930323
	-575.2158	-1.93797
	-575.3666	-1.958267
	-575.4712	-1.967894
	-575.5146	-1.981345
	-575.6561	-1.992128
	-575.738	-2.005503
	-575.8397	-2.015115
	-575.9154	-2.024053
	-576.0461	-2.029915
	-576.1512	-2.049332
	-576.2491	-2.06226
	-576.3698	-2.064844
	-576.4623	-2.081002
	-576.5321	-2.092606
	-576.6221	-2.102995
	-576.7182	-2.112675
	-576.8354	-2.121202
	-576.9675	-2.131445
	-577.0462	-2.138651
	-577.1487	-2.151416
	-577.2347	-2.158697
	-577.3747	-2.167135
	-577.425	-2.184663
	-577.5521	-2.194227
	-577.6783	-2.21198
	-577.7256	-2.224827

-573.3033	-1.321313
	-573.454	-1.772689
	-573.5561	-1.811095
	-573.6375	-1.830826
	-573.7469	-1.852302
	-573.8848	-1.869324
	-573.9624	-1.880544
	-574.0569	-1.89524
	-574.1473	-1.910117
	-574.235	-1.914444
	-574.3945	-1.937056
