Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
Primeros 45	Primeros 45
-197.4243	6.182103
-196.422	6.166464
-195.4218	6.150831
-194.4085	6.132477
-193.4038	6.110673
-192.402	6.08937
-191.4258	6.064278
-190.4408	6.039392
-189.4418	6.018442
-188.435	5.992916
-187.4233	5.969988
-186.4067	5.948015
-185.4147	5.919506
-184.4132	5.895579
-183.3999	5.868481
-182.4117	5.837961
-181.4017	5.807856
-180.3989	5.776129
-179.4041	5.743414
-178.4189	5.711826
-177.4384	5.682425
-176.4525	5.653963
-175.4469	5.623248
-174.4346	5.592025
-173.4142	5.56139
-172.425	5.525054
-171.4414	5.491786
-170.4353	5.459362
-169.437	5.422554
-168.4391	5.390228
-167.4354	5.356904
-166.4461	5.322003
-165.4528	5.289393
-164.4305	5.256191
-163.4115	5.223185
-162.4039	5.188318
-161.4112	5.153874
-160.4274	5.120778
-159.441	5.084979
-158.4343	5.051488
-157.4072	5.019744
-156.3968	4.983232
-155.3872	4.94881
-154.3832	4.915226
-153.4158	4.87757
-152.421	4.842107
-151.417	4.807664
-150.4179	4.772594
-149.4032	4.739514
-148.43	4.70558
-147.4364	4.673198
-146.4525	4.639915
-145.4654	4.606228
-144.4263	4.57705
-143.4258	4.541476
-142.4212	4.507019
-141.3961	4.475216
-140.4144	4.438178
-139.447	4.407995
-138.4527	4.378768
-137.4777	4.34575
-136.4675	4.317375
-135.4386	4.28768
-134.4377	4.255107
-133.4226	4.22715
-132.4223	4.195777
-131.423	4.165243
-130.4277	4.136762
-129.4503	4.106503
-128.4603	4.079033
-127.474	4.050041
-126.4762	4.022976
-125.453	3.996062
-124.4367	3.966947
-123.4179	3.939911
-122.41	3.911898
-121.4263	3.881959
-120.4393	3.855812
-119.4457	3.828551
-118.4382	3.802524
-117.4185	3.778545
-116.394	3.752678
-115.4083	3.727878
-114.4171	3.703136
-113.4268	3.676681
-112.4312	3.65366
-111.4023	3.629266
-110.4017	3.606058
-109.3921	3.585207
-108.4196	3.560391
-107.4253	3.538963
-106.3964	3.517613
-105.3987	3.493515
-104.3871	3.471485
-103.3846	3.448199
-102.4097	3.422464
-101.4139	3.40097
-100.3945	3.38019
-99.39662	3.359883
-98.39487	3.341591
-97.38892	3.32213
-96.41177	3.302685
-95.41412	3.281123
-94.40671	3.261846
-93.39523	3.243361
-92.38605	3.221654
-91.40942	3.203199
-90.40528	3.183316
-89.44256	3.161718
-88.44559	3.145147
-87.43044	3.129364
-86.44114	3.112192
-85.42359	3.096288
-84.43433	3.079263
-83.43074	3.059669
-82.42789	3.041627
-81.4188	3.024125
-80.39043	3.008845
-79.38615	2.991952
-78.39085	2.975773
-77.39255	2.962491
-76.42181	2.944056
-75.42529	2.928651
-74.4211	2.916074
-73.42057	2.898452
-72.42585	2.883747
-71.4304	2.870988
-70.43108	2.85414
-69.46996	2.839998
-68.45158	2.827249
-67.43991	2.81385
-66.44908	2.800181
-65.41744	2.78711
-64.40487	2.773486
-63.42017	2.758207
-62.43193	2.744581
-61.40571	2.732499
-60.41656	2.719726
-59.41284	2.707708
-58.38976	2.696211
-57.41842	2.681528
-56.41224	2.670095
-55.38758	2.658459
-54.36478	2.646181
-53.33306	2.635379
-52.32918	2.620637
-51.33881	2.607463
-50.3696	2.594109
-49.42106	2.582193
-48.41603	2.574202
-47.42253	2.563954
-46.39609	2.553146
-45.36812	2.541967
-44.38914	2.528224
-43.39094	2.516278
-42.40023	2.506102
-41.41227	2.494015
-40.39085	2.483281
-39.40276	2.472101
-38.4188	2.461198
-37.40559	2.45302
-36.41536	2.443873
-35.39217	2.435572
-34.38685	2.425331
-33.38277	2.413909
-32.38343	2.403685
-31.4135	2.391624
-30.4139	2.381966
-29.40922	2.374762
-28.40769	2.363118
