Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Segndos 45	Segndos 45
-243.3975	0.9737852
-242.4293	0.9633794
-241.4286	0.9550784
-240.399	0.9484314
-239.4062	0.9399264
-238.3923	0.9322537
-237.3812	0.925791
-236.4296	0.9149273
-235.4276	0.9067386
-234.3911	0.8991863
-233.3992	0.8859382
-232.3718	0.8756058
-231.3704	0.8638418
-230.3822	0.8519512
-229.3925	0.8441181
-228.4145	0.8363219
-227.4109	0.8289526
-226.428	0.8202026
-225.4134	0.8101984
-224.4119	0.8007807
-223.4279	0.7910648
-222.4305	0.7828925
-221.4261	0.7763115
-220.4046	0.7671481
-219.3929	0.7580762
-218.3861	0.7496928
-217.3987	0.737847
-216.4062	0.729808
-215.4176	0.723653
-214.4344	0.7137151
-213.4189	0.7067085
-212.4252	0.6973747
-211.4223	0.6877139
-210.3901	0.6809365
-209.3871	0.6734223
-208.3653	0.6679294
-207.339	0.6592991
-206.3427	0.6498072
-205.3455	0.6417686
-204.3591	0.6318749
-203.3578	0.6247497
-202.354	0.617874
-201.3818	0.6096653
-200.3729	0.6031689
-199.3957	0.5959477
-198.3973	0.5908036
-197.3743	0.5843538
-196.3619	0.5776739
-195.3372	0.5715666
-194.3429	0.5632306
-193.3489	0.5563787
-192.3631	0.5498807
-191.3909	0.5430759
-190.4069	0.5378966
-189.39	0.5329982
-188.3968	0.527618
-187.3832	0.522903
-186.3927	0.5177854
-185.4172	0.5115461
-184.3975	0.5069408
-183.3955	0.5011452
-182.358	0.4949069
-181.3619	0.4894509
-180.3555	0.4834344
-179.359	0.4783323
-178.3792	0.4741235
-177.3735	0.4698963
-176.3894	0.4668429
-175.4045	0.4633877
-174.3915	0.4593325
-173.4237	0.4558976
-172.4405	0.4520786
-171.4267	0.4485683
-170.4237	0.4444095
-169.3896	0.4395484
-168.3834	0.4339465
-167.4184	0.4292305
-166.4471	0.4254347
-165.467	0.4222482
-164.4714	0.4200343
-163.4534	0.4165145
-162.4448	0.412818
-161.425	0.4098608
-160.4124	0.4076634
-159.3985	0.4059232
-158.3936	0.4034215
-157.383	0.4002523
-156.3854	0.39481
-155.3911	0.3902673
-154.4006	0.3871773
-153.4068	0.3829532
-152.4183	0.3807247
-151.403	0.3780071
-150.4073	0.3749086
-149.4151	0.3729092
-148.4285	0.3714983
-147.459	0.3689434
-146.447	0.3667097
-145.4419	0.3638147
-144.4127	0.3602504
-143.4119	0.3573034
-142.4167	0.3540555
-141.4219	0.3526102
-140.4426	0.349567
-139.4365	0.3478214
-138.4348	0.3466543
-137.4352	0.3443877
-136.4364	0.3437419
-135.4284	0.3425291
-134.4334	0.340986
-133.425	0.3391336
-132.4123	0.3368618
-131.3955	0.3340691
-130.4082	0.3312173
-129.4219	0.3292731
-128.4245	0.3274139
-127.4391	0.3270387
-126.412	0.3267601
-125.3943	0.326709
-124.4049	0.3252248
-123.4098	0.3227768
-122.4272	0.322581
-121.4467	0.3203147
-120.437	0.3183603
-119.435	0.3168314
-118.4147	0.3129759
-117.3974	0.3115952
-116.402	0.3111949
-115.4079	0.3103219
-114.4205	0.3102271
-113.4401	0.308692
-112.4214	0.3075473
-111.4048	0.3057724
-110.4413	0.3054152
-109.4441	0.3064533
-108.4484	0.3054394
-107.449	0.3050879
-106.4029	0.3031668
-105.3877	0.2996504
-104.3799	0.2983305
-103.375	0.2976699
-102.3883	0.2954876
-101.3947	0.2943729
-100.4129	0.2935032
-99.40252	0.291831
-98.38663	0.2918457
-97.39707	0.2921263
-96.38844	0.2917328
-95.40245	0.2905547
-94.41732	0.2894729
-93.39327	0.2883201
-92.37491	0.2866522
-91.38913	0.2863693
-90.38995	0.2858711
-89.42512	0.284696
-88.45026	0.2849329
-87.43626	0.2853786
-86.43896	0.2853964
-85.42111	0.2856849
-84.43819	0.2849688
-83.43668	0.2833247
-82.42429	0.2817354
-81.42073	0.2799343
-80.411	0.2791427
-79.42763	0.2779036
-78.433	0.2773987
-77.42806	0.2793091
-76.40887	0.2771855
-75.39622	0.2776119
-74.4017	0.2780128
-73.39657	0.2761651
-72.4124	0.2790051
-71.42545	0.2783037
-70.43289	0.2786259
-69.45626	0.2783584
-68.4724	0.2774203
-67.47044	0.2784614
-66.46609	0.2777708
-65.4666	0.2776887
-64.46162	0.2778254
-63.47443	0.2768306
-62.46838	0.2767001
-61.45252	0.2766272
-60.44594	0.2751012
-59.43758	0.2753402
-58.44641	0.2759099
-57.46033	0.2758949
-56.44473	0.2766999
-55.43444	0.2767296
-54.42301	0.2761628
-53.40425	0.2760992
-52.41924	0.2748723
-51.42549	0.2740369
-50.43596	0.2735792
-49.43596	0.2732354
-48.43153	0.2749518
-47.42783	0.2757489
-46.42442	0.275488
-45.42949	0.2754437
-44.43388	0.2744764
-43.42946	0.2745642
-42.42278	0.2745411
-41.43359	0.2744909
-40.45358	0.2740567
-39.46635	0.2733713
-38.4529	0.2738847
-37.43838	0.2758255
-36.41618	0.2776296
-35.39125	0.279267
-34.41199	0.2803373
-33.41856	0.2791439
-32.41199	0.2783844
-31.43459	0.2772753
-30.44505	0.2769938
-29.44079	0.2786609
-28.41694	0.2787446
-27.41193	0.2808262
-26.38545	0.2826798
-25.3695	0.2824833
-24.38839	0.2848487
-23.39503	0.2854992
-22.40423	0.2868286
-21.41204	0.2883151
-20.44371	0.2880711
-19.4411	0.287919
-18.43627	0.286765
-17.44475	0.287853
-16.40619	0.2901717
-15.39368	0.2912505
-14.40554	0.2928901
-13.38716	0.2927387
-12.4102	0.2913581
-11.41525	0.2926961
-10.40561	0.2948445
-9.435672	0.2966801
-8.444778	0.2993262
-7.428493	0.300478
-6.425502	0.2999209
-5.396089	0.3006266
-4.351901	0.3017081
-3.390372	0.3014995
-2.413121	0.3008513
-1.438414	0.300645
-0.4909099	0.3008572
0.497042	0.3025723
1.47961	0.3056877
2.460832	0.3096296
3.450877	0.311216
4.443865	0.3130721
5.432	0.314064
