Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
93.65089	0.01086034
92.64294	0.01089773
91.66197	0.01318425
90.65567	0.01465449
89.66061	0.01303539
88.66422	0.007880031
87.6361	-0.002291898
86.64076	-0.00980144
85.64066	-0.01675928
84.64205	-0.02499332
83.62743	-0.02739998
82.63954	-0.02654519
81.62421	-0.02627438
80.6216	-0.0238541
79.6209	-0.02478002
78.62239	-0.02863749
77.63284	-0.03247285
76.65795	-0.03611138
75.68713	-0.0390615
74.684	-0.04326093
73.68569	-0.04640631
72.66338	-0.04841256
71.65493	-0.05119917
70.64792	-0.05297033
69.6548	-0.05455638
68.65455	-0.05746183
67.66289	-0.05809186
66.65724	-0.05709967
65.63094	-0.05643719
64.62841	-0.05401752
63.62992	-0.05194778
62.65262	-0.0512755
61.69722	-0.04859915
60.72366	-0.04630448
59.7338	-0.04536589
58.7269	-0.04420446
57.67555	-0.04613784
56.68275	-0.05023777
55.66583	-0.05325642
54.65249	-0.05714183
53.69411	-0.05957703
52.67136	-0.05609698
51.67806	-0.0498259
50.71565	-0.04461676
49.71362	-0.04393885
48.72203	-0.04736693
47.71228	-0.05508007
46.69847	-0.06114356
45.66711	-0.06286459
44.66792	-0.06483952
43.64482	-0.06652716
42.61976	-0.06840102
41.65342	-0.06988289
40.66025	-0.06984577
39.69094	-0.06875303
38.6943	-0.06556506
37.70977	-0.06076787
36.68431	-0.05907243
35.6743	-0.05810201
34.69137	-0.0567035
33.64077	-0.05637873
32.66209	-0.05456931
31.66817	-0.05324263
30.67013	-0.05507451
29.69084	-0.06082113
28.69418	-0.0675334
27.69278	-0.07240528
26.6877	-0.0799496
25.72715	-0.08251518
24.72471	-0.07837439
23.7373	-0.07084022
22.72835	-0.06210566
21.6938	-0.05850564
20.68909	-0.06157009
19.66774	-0.06943347
18.68968	-0.07573838
17.68025	-0.07985262
16.68684	-0.08274974
15.69489	-0.08357538
14.70807	-0.08425824
13.70628	-0.08348005
12.69968	-0.08219162
