VvsRef	A	VvsRef1	A1	VvsRef2	A2	VvsRef3	A3	VvsRef4	A4	VvsRef5	A5	VvsRef6	A6	VvsRef7	A7	VvsRef8	A8	VvsRef9	A9
Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt
-0.546	-1.60047e-06	-0.545995	-1.46387e-06	-0.545998	-1.02891e-06	-0.545952	-6.87148e-07	-0.545914	-2.23953e-08	-0.546108	1.70797e-06	-0.545928	4.90833e-06	-0.546028	1.09264e-05	-0.544406	4.23002e-05	-0.540901	3.89626e-05
-0.543999	-1.58597e-06	-0.543994	-1.43853e-06	-0.543999	-9.98002e-07	-0.544003	-6.98677e-07	-0.543928	3.03335e-08	-0.544045	1.76125e-06	-0.544176	5.20805e-06	-0.544226	1.19231e-05	-0.522979	1.55995e-05	-0.544005	1.55995e-05
-0.542018	-1.57085e-06	-0.542015	-1.42764e-06	-0.542005	-1.05815e-06	-0.541988	-6.65341e-07	-0.541917	1.38566e-07	-0.542043	1.99437e-06	-0.542173	5.258e-06	-0.542123	1.19231e-05	-0.521877	-4.42592e-06	-0.553117	4.23002e-05
-0.540012	-1.55755e-06	-0.540003	-1.40361e-06	-0.540005	-1.12794e-06	-0.539998	-5.79641e-07	-0.539948	1.13589e-07	-0.54002	2.1076e-06	-0.54012	5.17475e-06	-0.540521	1.22554e-05	-0.538398	-7.7635e-06	-0.53229	3.22874e-05
-0.537995	-1.54202e-06	-0.537993	-1.39192e-06	-0.537973	-1.04023e-06	-0.537962	-5.11303e-07	-0.537921	2.69001e-07	-0.537958	1.7879e-06	-0.538118	5.20805e-06	-0.537918	1.19231e-05	-0.547409	2.24923e-06	-0.547009	2.89498e-05
-0.535987	-1.52923e-06	-0.535988	-1.37017e-06	-0.535979	-9.214e-07	-0.53596	-4.20047e-07	-0.53591	2.60675e-07	-0.536115	2.03433e-06	-0.536015	5.65763e-06	-0.536316	1.29199e-05	-0.545907	5.58681e-06	-0.528986	4.23002e-05
-0.533997	-1.51437e-06	-0.533983	-1.35616e-06	-0.533991	-8.88759e-07	-0.533987	-3.52821e-07	-0.533932	2.96752e-07	-0.534193	2.30741e-06	-0.533913	5.59103e-06	-0.533913	1.22554e-05	-0.545207	1.55995e-05	-0.540401	3.22874e-05
-0.532015	-1.50077e-06	-0.53201	-1.337e-06	-0.531994	-9.57097e-07	-0.531959	-3.34486e-07	-0.531938	3.07853e-07	-0.53187	2.22083e-06	-0.53201	5.70758e-06	-0.53181	1.25876e-05	-0.539299	1.2262e-05	-0.543104	2.56123e-05
-0.530004	-1.48735e-06	-0.530007	-1.32352e-06	-0.530007	-1.02571e-06	-0.52999	-3.66988e-07	-0.529936	3.2728e-07	-0.530168	2.22083e-06	-0.530158	5.85745e-06	-0.529707	1.19231e-05	-0.517271	8.92439e-06	-0.522979	3.89626e-05
-0.528009	-1.47281e-06	-0.52801	-1.3058e-06	-0.528	-9.40707e-07	-0.527992	-3.86295e-07	-0.527941	4.0221e-07	-0.528125	2.30075e-06	-0.528306	5.92405e-06	-0.528506	1.29199e-05	-0.541101	8.92439e-06	-0.525782	2.89498e-05
-0.526002	-1.4598e-06	-0.526006	-1.2906e-06	-0.526006	-8.22782e-07	-0.52601	-4.27409e-07	-0.525964	3.68908e-07	-0.526163	2.76032e-06	-0.525903	5.99066e-06	-0.525802	1.29199e-05	-0.554518	2.56123e-05	-0.533692	4.23002e-05
-0.523995	-1.44609e-06	-0.523987	-1.27296e-06	-0.523995	-7.92016e-07	-0.523995	-4.45743e-07	-0.523911	4.04985e-07	-0.52422	2.45394e-06	-0.524	6.14052e-06	-0.5237	1.32521e-05	-0.530889	3.5625e-05	-0.536596	1.89371e-05
-0.521984	-1.4325e-06	-0.52199	-1.25833e-06	-0.521984	-8.60493e-07	-0.521971	-4.20742e-07	-0.521884	3.68908e-07	-0.522138	2.59381e-06	-0.521897	5.99066e-06	-0.521998	1.22554e-05	-0.498848	3.5625e-05	-0.51627	1.2262e-05
-0.520001	-1.41911e-06	-0.520005	-1.24246e-06	-0.520002	-9.35776e-07	-0.520002	-3.42403e-07	-0.519931	4.41063e-07	-0.519915	2.34738e-06	-0.520396	6.02396e-06	-0.520496	1.32521e-05	-0.497046	1.2262e-05	-0.49194	3.5625e-05
-0.517992	-1.40608e-06	-0.517991	-1.22807e-06	-0.517991	-8.49381e-07	-0.517987	-2.86427e-07	-0.517954	3.82784e-07	-0.517932	2.747e-06	-0.518393	6.45689e-06	-0.517993	1.32521e-05	-0.517372	2.24923e-06	-0.518974	5.56505e-05
-0.515991	-1.39237e-06	-0.515998	-1.21177e-06	-0.516001	-7.32776e-07	-0.515985	-2.06422e-07	-0.515926	4.54939e-07	-0.51607	2.38734e-06	-0.51619	6.5901e-06	-0.51569	1.35844e-05	-0.528686	5.58681e-06	-0.538198	4.23002e-05
-0.513975	-1.37971e-06	-0.513982	-1.19835e-06	-0.513966	-7.08539e-07	-0.513966	-1.46418e-07	-0.513907	4.60489e-07	-0.513988	2.55385e-06	-0.514238	6.70666e-06	-0.514488	1.32521e-05	-0.527084	1.2262e-05	-0.504756	3.22874e-05
-0.511971	-1.36634e-06	-0.511975	-1.18451e-06	-0.511946	-7.83682e-07	-0.511967	-1.39334e-07	-0.511921	5.32644e-07	-0.512045	2.70038e-06	-0.511885	6.82321e-06	-0.512385	1.45811e-05	-0.513066	1.89371e-05	-0.512365	4.23002e-05
-0.509979	-1.35421e-06	-0.509967	-1.17065e-06	-0.509981	-8.63965e-07	-0.509956	-1.7642e-07	-0.509894	5.54846e-07	-0.509983	2.72036e-06	-0.510083	6.30703e-06	-0.509782	1.42488e-05	-0.512265	1.55995e-05	-0.517271	5.8988e-05
-0.507986	-1.34112e-06	-0.507973	-1.15785e-06	-0.507975	-7.77501e-07	-0.507975	-2.08922e-07	-0.507891	5.29869e-07	-0.50798	2.77365e-06	-0.508431	6.50684e-06	-0.50788	1.45811e-05	-0.521276	1.89371e-05	-0.521377	3.22874e-05
