mV	uA	mV1	uA1	mV2	uA2	mV3	uA3	mV4	uA4	mV6	uA6	mV7	uA7	mV8	uA8	mV9	uA9	mV10	uA10	mV11	uA11
3 mV/seg	3 mV/seg	5 mV/seg	5 mV/seg	10 mV/seg	10 mV/seg	20 mV/seg	20 mV/seg	30 mV/seg	30 mV/seg	50 mV/seg	50 mV/seg	100 mV/seg	100 mV/seg	200 mV/seg	200 mV/seg	300 mV/seg	300 mV/seg	500 mV/seg	500 mV/seg	1000 mV/seg	1000 mV/seg
-569.27	-6.816757	-569.5229	-3.319461	-569.5087	-3.511738	-569.5081	-3.835216	-570.026	-4.236994	-569.5486	-4.387736	-569.6143	-3.969073	-569.6519	-3.596892	-569.5654	-3.383108	-569.9716	-2.68057	-569.5106	-1.584286
-568.2486	-6.735097	-568.5061	-3.2991	-568.5041	-3.482575	-568.5152	-3.798035	-569.0277	-4.205409	-568.5266	-4.332888	-568.5848	-3.895527	-568.6255	-3.5142	-568.41	-3.349117	-569.0189	-2.545755	-568.5633	-1.366597
-567.2288	-6.658991	-567.4974	-3.277961	-567.4945	-3.453838	-567.5082	-3.758485	-568.0185	-4.130347	-567.522	-4.276355	-567.5742	-3.830539	-567.6367	-3.437592	-567.3145	-3.144317	-568.0627	-2.316623	-567.4584	-1.185984
-566.2164	-6.590055	-566.489	-3.259045	-566.4842	-3.424365	-566.4965	-3.720334	-567.0149	-4.098888	-566.5134	-4.222126	-566.5586	-3.760736	-566.6375	-3.351653	-566.3049	-2.890818	-567.0233	-2.056332	-566.4932	-1.044664
-565.2095	-6.517765	-565.4818	-3.241275	-565.4872	-3.395305	-565.4796	-3.682008	-566.0081	-4.064521	-565.4792	-4.166732	-565.5394	-3.692297	-565.6289	-3.263572	-565.2572	-2.709685	-565.9954	-1.825797	-565.4907	-0.935083
-564.2057	-6.448189	-564.4845	-3.224142	-564.4888	-3.367206	-564.4919	-3.644773	-564.9958	-3.992099	-564.4806	-4.113696	-564.5571	-3.627388	-564.6389	-3.183364	-564.3773	-2.687925	-564.9202	-1.677114	-564.4449	-0.865229
-563.2192	-6.388267	-563.4901	-3.207327	-563.4856	-3.340258	-563.4966	-3.607376	-564.0009	-3.966585	-563.4885	-4.061623	-563.5363	-3.557689	-563.6437	-3.107616	-563.4222	-2.780007	-563.9069	-1.637483	-563.5151	-0.829972
-562.219	-6.323617	-562.5036	-3.189441	-562.5023	-3.3145	-562.5037	-3.571438	-562.9931	-3.931786	-562.4893	-4.009247	-562.5615	-3.492247	-562.6536	-3.026826	-562.4438	-2.819075	-562.9388	-1.686599	-562.5046	-0.809615
-561.2128	-6.25756	-561.5078	-3.170676	-561.4962	-3.28791	-561.5254	-3.533536	-562.012	-3.861362	-561.5262	-3.958247	-561.5824	-3.427199	-561.7087	-2.943077	-561.5596	-2.716355	-561.9193	-1.76768	-561.4774	-0.816389
-560.2133	-6.200441	-560.5068	-3.150768	-560.4843	-3.260695	-560.5035	-3.494068	-561.0204	-3.837956	-560.5297	-3.903939	-560.5726	-3.355295	-560.7196	-2.866427	-560.6759	-2.474983	-561.0329	-1.809815	-560.5468	-0.820184
-559.2054	-6.141577	-559.5134	-3.132074	-559.498	-3.232564	-559.5173	-3.458966	-560.022	-3.796845	-559.5584	-3.85181	-559.6107	-3.289908	-559.7256	-2.78676	-559.649	-2.219993	-560.0507	-1.768408	-559.5965	-0.831029
-558.1985	-6.079517	-558.5109	-3.113584	-558.4955	-3.204807	-558.525	-3.418293	-559.0402	-3.726827	-558.5924	-3.797537	-558.6104	-3.216637	-558.7134	-2.701064	-558.6795	-2.114449	-559.0891	-1.626741	-558.5851	-0.833749
-557.196	-6.025102	-557.5056	-3.093119	-557.496	-3.176596	-557.5242	-3.383282	-558.0326	-3.704279	-557.5854	-3.741475	-557.6111	-3.148124	-557.6935	-2.61483	-557.5872	-2.151473	-558.162	-1.391337	-557.6215	-0.79501
-556.187	-5.971988	-556.514	-3.075569	-556.5219	-3.149372	-556.5579	-3.346838	-557.0365	-3.66069	-556.584	-3.689145	-556.6334	-3.078877	-556.695	-2.534983	-556.5256	-2.231462	-557.0972	-1.127174	-556.5791	-0.755994
-555.184	-5.913994	-555.5132	-3.056493	-555.5308	-3.123827	-555.5595	-3.313037	-556.0446	-3.592975	-555.5602	-3.633797	-555.6292	-3.008186	-555.7237	-2.451978	-555.463	-2.232086	-556.144	-0.895963	-555.5914	-0.6636
-554.1724	-5.859926	-554.5093	-3.036367	-554.522	-3.095863	-554.5515	-3.273113	-555.0362	-3.571353	-554.5327	-3.577016	-554.6196	-2.93799	-554.7202	-2.361881	-554.4902	-2.043226	-555.0715	-0.742749	-554.6127	-0.54482
-553.1666	-5.812197	-553.5161	-3.017655	-553.5236	-3.070021	-553.5485	-3.239067	-554.0313	-3.523533	-553.545	-3.522106	-553.6128	-2.864603	-553.7175	-2.278327	-553.4788	-1.776126	-554.0421	-0.701525	-553.5755	-0.394161
-552.161	-5.759789	-552.5165	-2.998715	-552.5162	-3.044525	-552.5336	-3.197726	-553.0337	-3.456781	-552.5562	-3.465182	-552.5788	-2.797576	-552.6868	-2.190859	-552.3587	-1.57448	-553.0018	-0.746535	-552.5792	-0.220357
-551.1466	-5.707982	-551.5168	-2.981024	-551.5052	-3.017173	-551.5387	-3.164131	-552.0366	-3.437857	-551.561	-3.410526	-551.5624	-2.722457	-551.6569	-2.105589	-551.514	-1.502841	-551.9547	-0.81859	-551.5605	-0.016182
-550.1534	-5.664567	-550.5303	-2.964813	-550.5181	-2.993134	-550.5506	-3.125172	-551.0411	-3.386598	-550.579	-3.358698	-550.5598	-2.654529	-550.6938	-2.024467	-550.491	-1.574099	-551.0238	-0.85246	-550.6145	0.193105
-549.1523	-5.615177	-549.535	-2.949005	-549.5251	-2.967178	-549.5501	-3.090975	-550.0531	-3.322856	-549.5801	-3.303922	-549.5629	-2.583001	-549.6659	-1.93228	-549.647	-1.633697	-550.0306	-0.796076	-549.6741	0.402321
-548.1401	-5.563231	-548.5397	-2.932406	-548.5239	-2.940574	-548.5481	-3.049166	-549.0623	-3.304469	-548.5673	-3.248236	-548.5784	-2.509205	-548.7318	-1.843961	-548.6904	-1.555146	-549.0678	-0.63834	-548.7297	0.619162
-547.1404	-5.521311	-547.5354	-2.91408	-547.5143	-2.914175	-547.5254	-3.014796	-548.0427	-3.247389	-547.56	-3.190498	-547.611	-2.438888	-547.7271	-1.760659	-547.611	-1.334806	-548.0718	-0.390177	-547.7506	0.798129
-546.1308	-5.477099	-546.5337	-2.896088	-546.5193	-2.885815	-546.515	-2.97291	-547.038	-3.185011	-546.5483	-3.134125	-546.6071	-2.366454	-546.6826	-1.669314	-546.7111	-1.071206	-547.0458	-0.116892	-546.7125	0.956168
-545.1238	-5.428377	-545.5404	-2.878337	-545.524	-2.860319	-545.5237	-2.939833	-546.0635	-3.166697	-545.5527	-3.078992	-545.5972	-2.291085	-545.7276	-1.577439	-545.5696	-0.892186	-546.0347	0.115809	-545.6968	1.07273
-544.1262	-5.388043	-544.5321	-2.859653	-544.5205	-2.834296	-544.5322	-2.897083	-545.0544	-3.105831	-544.5667	-3.022626	-544.6178	-2.221743	-544.676	-1.484297	-544.5991	-0.868468	-545.0403	0.270227	-544.6252	1.17034
