Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA
Au	Control	CNEA	Calcinado	SOlucion	Fe
-18.5211	-3.726479	-18.53985	-3.151375	-18.47758	-1.453251
-19.54243	-3.70785	-19.53247	-3.12781	-19.46334	-1.455983
-20.55997	-3.689235	-20.52358	-3.107213	-20.44101	-1.45978
-21.54919	-3.673227	-21.54331	-3.086259	-21.48117	-1.464873
-22.56062	-3.657173	-22.52589	-3.063741	-22.49635	-1.469499
-23.52297	-3.640159	-23.51459	-3.038568	-23.49274	-1.474886
-24.50165	-3.622262	-24.51253	-3.014448	-24.49734	-1.479678
-25.51228	-3.601376	-25.49719	-2.99499	-25.49666	-1.482954
-26.49722	-3.580636	-26.48408	-2.978302	-26.49167	-1.484079
-27.51693	-3.563148	-27.48102	-2.968554	-27.50786	-1.486137
-28.51253	-3.548285	-28.49806	-2.956533	-28.50126	-1.487455
-29.50738	-3.534495	-29.48734	-2.942227	-29.46718	-1.489568
-30.52193	-3.521805	-30.51296	-2.927349	-30.4718	-1.492402
-31.54533	-3.506771	-31.50734	-2.91047	-31.46291	-1.494215
-32.53878	-3.490832	-32.47677	-2.893696	-32.4655	-1.497773
-33.54927	-3.477145	-33.4887	-2.876584	-33.48401	-1.501337
-34.54886	-3.460812	-34.47296	-2.858868	-34.48901	-1.505273
-35.53633	-3.44436	-35.48838	-2.843686	-35.50591	-1.508103
-36.56715	-3.427845	-36.48745	-2.828537	-36.51771	-1.511402
-37.55977	-3.41096	-37.48998	-2.812759	-37.52439	-1.513176
-38.5453	-3.394571	-38.49432	-2.79799	-38.51732	-1.514821
-39.53972	-3.377948	-39.49548	-2.780032	-39.51735	-1.519349
-40.51231	-3.363208	-40.51763	-2.76254	-40.51984	-1.522168
-41.50755	-3.347826	-41.51727	-2.744974	-41.54095	-1.525967
-42.5277	-3.332255	-42.51903	-2.72809	-42.53857	-1.53069
-43.53603	-3.316994	-43.51338	-2.713688	-43.54266	-1.533325
-44.55348	-3.299407	-44.51486	-2.699513	-44.53867	-1.537397
-45.55138	-3.283608	-45.50633	-2.685606	-45.51858	-1.541217
-46.5587	-3.270593	-46.51102	-2.671652	-46.52895	-1.544879
-47.54836	-3.256806	-47.5229	-2.656579	-47.52851	-1.547279
-48.54581	-3.244287	-48.51627	-2.642581	-48.54021	-1.550412
-49.55228	-3.231319	-49.52787	-2.62793	-49.5442	-1.553329
-50.53071	-3.21543	-50.51268	-2.611661	-50.53117	-1.555413
-51.50577	-3.199904	-51.49056	-2.595533	-51.50879	-1.558849
-52.49388	-3.184907	-52.46436	-2.578279	-52.48872	-1.560625
-53.48563	-3.170042	-53.45502	-2.562971	-53.48227	-1.563851
-54.48132	-3.157062	-54.46828	-2.549726	-54.49483	-1.567722
-55.50063	-3.145394	-55.48368	-2.536787	-55.50947	-1.570925
-56.50488	-3.132732	-56.51122	-2.524794	-56.51306	-1.57434
-57.52253	-3.118045	-57.51838	-2.511474	-57.52032	-1.576976
-58.53923	-3.103649	-58.49644	-2.49689	-58.51411	-1.579176
-59.5392	-3.089329	-59.49413	-2.482892	-59.51775	-1.582081
-60.54939	-3.07447	-60.50685	-2.468235	-60.5225	-1.586758
-61.5454	-3.060636	-61.51266	-2.453528	-61.52608	-1.591586
-62.55728	-3.046584	-62.54789	-2.440865	-62.53337	-1.596142
-63.5566	-3.031915	-63.54587	-2.427243	-63.52714	-1.600376
-64.54509	-3.018499	-64.52367	-2.414074	-64.52965	-1.602266
-65.54517	-3.005408	-65.51817	-2.402583	-65.52205	-1.604405
-66.53865	-2.99333	-66.50858	-2.390016	-66.51862	-1.606989
-67.56579	-2.983246	-67.53063	-2.378345	-67.52599	-1.609537
-68.57397	-2.970078	-68.56036	-2.366148	-68.52402	-1.612801
-69.57696	-2.958825	-69.56287	-2.352803	-69.52948	-1.616543
-70.56711	-2.94562	-70.56213	-2.338951	-70.534	-1.620225
-71.55793	-2.931367	-71.53927	-2.324068	-71.54391	-1.624392
-72.54999	-2.919631	-72.50969	-2.310496	-72.54308	-1.627465
-73.55391	-2.906048	-73.51361	-2.297858	-73.54482	-1.630645
-74.55679	-2.893553	-74.48636	-2.285082	-74.54587	-1.634136
-75.55231	-2.881704	-75.48978	-2.276173	-75.52112	-1.63794
-76.56332	-2.870378	-76.4902	-2.265587	-76.51083	-1.641912
-77.55846	-2.857666	-77.47701	-2.253178	-77.49581	-1.644226
-78.55696	-2.847596	-78.50279	-2.242219	-78.48912	-1.647442
-79.5615	-2.837182	-79.49558	-2.227322	-79.48833	-1.649737
-80.55883	-2.825565	-80.50901	-2.213672	-80.48332	-1.653529
-81.57298	-2.813963	-81.50357	-2.202866	-81.47662	-1.658558
-82.57664	-2.802921	-82.49161	-2.193201	-82.46028	-1.661513
-83.5671	-2.790017	-83.50471	-2.184305	-83.45516	-1.664526
-84.56075	-2.778006	-84.50227	-2.176019	-84.47343	-1.666475
-85.53543	-2.768464	-85.5283	-2.166562	-85.47007	-1.669177
-86.53889	-2.757011	-86.54897	-2.156017	-86.49176	-1.671942
-87.52991	-2.745785	-87.54552	-2.145073	-87.4984	-1.675144
-88.52795	-2.73445	-88.5553	-2.133065	-88.49693	-1.67803
-89.53274	-2.723156	-89.52603	-2.120428	-89.49957	-1.6798
-90.50566	-2.71055	-90.49522	-2.106555	-90.4734	-1.682294
-91.50168	-2.699916	-91.49151	-2.094131	-91.48043	-1.684402
-92.4887	-2.69072	-92.50248	-2.083224	-92.48107	-1.686865
-93.49365	-2.681127	-93.50107	-2.073591	-93.49219	-1.690483
-94.51115	-2.671957	-94.53456	-2.065482	-94.52765	-1.694184
-95.53603	-2.661332	-95.54514	-2.057043	-95.52199	-1.698087
-96.54934	-2.650598	-96.53024	-2.046831	-96.5145	-1.702059
-97.54284	-2.639014	-97.5112	-2.035586	-97.51708	-1.704664
-98.51773	-2.627061	-98.4759	-2.023369	-98.49832	-1.708194
-99.49663	-2.615428	-99.44613	-2.012292	-99.49889	-1.712022
-100.4839	-2.603722	-100.445	-2.003248	-100.4988	-1.715289
-101.473	-2.593966	-101.4667	-1.995419	-101.464	-1.718869
-102.4972	-2.584586	-102.4721	-1.988526	-102.4569	-1.721175
-103.4889	-2.57501	-103.4861	-1.980713	-103.4515	-1.722682
-104.4888	-2.566153	-104.4577	-1.971613	-104.4309	-1.725023
-105.502	-2.557025	-105.4465	-1.963459	-105.4571	-1.727189
-106.5149	-2.547217	-106.445	-1.954826	-106.4537	-1.729282
-107.5323	-2.538627	-107.46	-1.947069	-107.4668	-1.732763
-108.5335	-2.526676	-108.4914	-1.938982	-108.4864	-1.7371
-109.5312	-2.514949	-109.4997	-1.928233	-109.4879	-1.739873
-110.5137	-2.505192	-110.5214	-1.918864	-110.4933	-1.741801
-111.5167	-2.494717	-111.5138	-1.906939	-111.4927	-1.743601
-112.5337	-2.487416	-112.5168	-1.897947	-112.5124	-1.745088
-113.5384	-2.480676	-113.5416	-1.889217	-113.5252	-1.748616
-114.5535	-2.472589	-114.551	-1.879512	-114.5336	-1.75255
-115.5372	-2.46395	-115.5589	-1.872677	-115.5232	-1.755542
-116.5498	-2.454711	-116.547	-1.863019	-116.5241	-1.75854
-117.5629	-2.442615	-117.5552	-1.856221	-117.5006	-1.760983
-118.5689	-2.432467	-118.5474	-1.850573	-118.5126	-1.764873
-119.5928	-2.424245	-119.5446	-1.842456	-119.538	-1.769182
-120.5817	-2.417514	-120.5512	-1.837984	-120.5348	-1.77273
-121.5738	-2.412171	-121.547	-1.829855	-121.566	-1.776687
-122.562	-2.404906	-122.5465	-1.818141	-122.5535	-1.780037
-123.5658	-2.397785	-123.5414	-1.811183	-123.5513	-1.78289
-124.5804	-2.388765	-124.5508	-1.803206	-124.5377	-1.786073
-125.5869	-2.379932	-125.5467	-1.795444	-125.5175	-1.789424
-126.5946	-2.371898	-126.5467	-1.791325	-126.513	-1.792451
-127.5881	-2.362201	-127.5581	-1.781656	-127.489	-1.79426
-128.5742	-2.352242	-128.548	-1.773435	-128.4855	-1.796138
-129.5556	-2.3427	-129.5179	-1.76714	-129.4781	-1.797774
-130.5526	-2.334345	-130.5114	-1.761222	-130.493	-1.799392
-131.5413	-2.325942	-131.4832	-1.75718	-131.515	-1.803102
-132.5421	-2.319535	-132.4809	-1.749803	-132.5219	-1.807709
-133.5537	-2.314847	-133.4919	-1.741828	-133.5318	-1.811335
-134.5636	-2.30865	-134.4884	-1.731835	-134.5282	-1.815006
-135.5873	-2.300295	-135.5106	-1.7234	-135.5162	-1.818187
-136.5834	-2.290124	-136.5064	-1.716712	-136.5204	-1.819885
-137.6082	-2.279725	-137.513	-1.712221	-137.5203	-1.822511
-138.584	-2.270544	-138.516	-1.708763	-138.511	-1.825517
-139.5616	-2.265831	-139.5152	-1.705338	-139.5161	-1.828019
-140.5581	-2.261813	-140.527	-1.70104	-140.5087	-1.830672
-141.5209	-2.255873	-141.5279	-1.694841	-141.5125	-1.834594
-142.5279	-2.251013	-142.5327	-1.689533	-142.5159	-1.838018
-143.5392	-2.246141	-143.5396	-1.683058	-143.5027	-1.840365
-144.5645	-2.241121	-144.5297	-1.676629	-144.4892	-1.843451
-145.5725	-2.235871	-145.5458	-1.669847	-145.4884	-1.845029
-146.5803	-2.22947	-146.5494	-1.662972	-146.4688	-1.847077
-147.5721	-2.220585	-147.5412	-1.655626	-147.4688	-1.850671
-148.5564	-2.211727	-148.5503	-1.647913	-148.4741	-1.852684
-149.5545	-2.205279	-149.5182	-1.640974	-149.4561	-1.855647
-150.5465	-2.197623	-150.5091	-1.636128	-150.4774	-1.859123
-151.5293	-2.190906	-151.4939	-1.631447	-151.4867	-1.86208
-152.5331	-2.185918	-152.4899	-1.625855	-152.5011	-1.865827
-153.5353	-2.17826	-153.4801	-1.619612	-153.5045	-1.868674
-154.5208	-2.169702	-154.4483	-1.612215	-154.4856	-1.869954
-155.5343	-2.163188	-155.4441	-1.607484	-155.4666	-1.871299
-156.5272	-2.155868	-156.4368	-1.605281	-156.4525	-1.873402
-157.5368	-2.15129	-157.4575	-1.603338	-157.4391	-1.876717
-158.5613	-2.148898	-158.5111	-1.600707	-158.4648	-1.880042
-159.5683	-2.146313	-159.5394	-1.595867	-159.4661	-1.883989
-160.5612	-2.142429	-160.5309	-1.591825	-160.4831	-1.887679
-161.5318	-2.13739	-161.5373	-1.588673	-161.5015	-1.890172
-162.5329	-2.133438	-162.5159	-1.585631	-162.5005	-1.893219
-163.5441	-2.12736	-163.5055	-1.582797	-163.5098	-1.896056
-164.5428	-2.122785	-164.5266	-1.578736	-164.4967	-1.897941
-165.5679	-2.118451	-165.5237	-1.574862	-165.5034	-1.899844
-166.5641	-2.112934	-166.5004	-1.570472	-166.4891	-1.902665
-167.55	-2.107459	-167.4772	-1.566692	-167.4813	-1.906567
-168.5462	-2.102699	-168.4627	-1.563018	-168.51	-1.910641
-169.5599	-2.098172	-169.4792	-1.55908	-169.5274	-1.914741
-170.5591	-2.093187	-170.5134	-1.556201	-170.5262	-1.91896
-171.5697	-2.090016	-171.5484	-1.551316	-171.5544	-1.921289
-172.5795	-2.085845	-172.565	-1.54588	-172.5477	-1.923753
-173.5539	-2.07871	-173.5499	-1.543045	-173.5308	-1.925572
-174.572	-2.072968	-174.5507	-1.540992	-174.5215	-1.926576
-175.5549	-2.067452	-175.5339	-1.540906	-175.5007	-1.927817
-176.5644	-2.062758	-176.5315	-1.542231	-176.4804	-1.929366
-177.5781	-2.060963	-177.5136	-1.541201	-177.4829	-1.932235
-178.5537	-2.059224	-178.49	-1.539088	-178.5033	-1.93471
-179.5545	-2.057057	-179.4845	-1.536374	-179.5099	-1.938566
-180.538	-2.053174	-180.4461	-1.534549	-180.5072	-1.942622
-181.5308	-2.050013	-181.4518	-1.533793	-181.502	-1.945624
-182.5246	-2.04703	-182.4552	-1.532687	-182.4989	-1.948791
-183.5273	-2.043128	-183.4491	-1.531707	-183.4987	-1.951079
-184.5522	-2.040979	-184.4675	-1.530521	-184.4953	-1.952806
-185.5356	-2.037606	-185.4762	-1.5284	-185.4791	-1.955515
-186.5374	-2.032948	-186.465	-1.526413	-186.4652	-1.958591
-187.5361	-2.029802	-187.4699	-1.526648	-187.4662	-1.962375
-188.5157	-2.026664	-188.4685	-1.524999	-188.4746	-1.966233
-189.5345	-2.022925	-189.4768	-1.523402	-189.4961	-1.969331
-190.536	-2.020406	-190.5014	-1.52151	-190.5082	-1.972092
-191.533	-2.016389	-191.5226	-1.518074	-191.5064	-1.974195
-192.5362	-2.012233	-192.5294	-1.516792	-192.5079	-1.976475
-193.5381	-2.008846	-193.5051	-1.517571	-193.5007	-1.977334
-194.5576	-2.006725	-194.4907	-1.52005	-194.4968	-1.980167
-195.5563	-2.005556	-195.468	-1.522732	-195.4974	-1.982709
-196.5469	-2.004388	-196.4541	-1.524408	-196.4861	-1.98474
-197.5659	-2.004245	-197.4682	-1.524979	-197.4711	-1.988396
