Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au CNEA Calcinado Ciclo 0 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM
-414.742	-1.549767	-414.5897	0.117878
-413.7397	-1.540221	-413.5692	0.140404
-412.7377	-1.531814	-412.5635	0.156671
-411.7195	-1.522776	-411.5797	0.175927
-410.712	-1.512819	-410.5842	0.194808
-409.7202	-1.505726	-409.6038	0.208794
-408.7186	-1.496135	-408.6428	0.228871
-407.729	-1.488236	-407.6347	0.253321
-406.7363	-1.482067	-406.6152	0.276085
-405.7499	-1.47342	-405.6116	0.301688
-404.743	-1.46603	-404.5918	0.326182
-403.7457	-1.456975	-403.5975	0.34607
-402.7452	-1.447961	-402.6111	0.366343
-401.7332	-1.437609	-401.6251	0.389325
-400.7399	-1.426762	-400.6094	0.417875
-399.737	-1.41805	-399.6041	0.441409
-398.7462	-1.408284	-398.6053	0.466493
-397.7417	-1.399214	-397.5867	0.493955
-396.7646	-1.392347	-396.6017	0.510955
-395.7725	-1.38324	-395.6132	0.536646
-394.7651	-1.375759	-394.6202	0.566432
-393.7671	-1.369988	-393.6323	0.589035
-392.7509	-1.36072	-392.6511	0.6149
-391.7362	-1.351755	-391.6342	0.641222
-390.7351	-1.342358	-390.6497	0.664031
-389.7299	-1.331531	-389.6424	0.693434
-388.7234	-1.322604	-388.6255	0.726044
-387.7402	-1.313862	-387.6429	0.759564
-386.7317	-1.305878	-386.612	0.788296
-385.7518	-1.296286	-385.6371	0.812809
-384.7529	-1.28648	-384.6682	0.838499
-383.7729	-1.278114	-383.6757	0.858333
-382.805	-1.268578	-382.6988	0.882893
-381.7867	-1.26076	-381.6902	0.915225
-380.7873	-1.253877	-380.675	0.939762
-379.7741	-1.245665	-379.6693	0.96911
-378.7427	-1.236407	-378.6838	1.003114
-377.7654	-1.228716	-377.6939	1.03153
-376.7783	-1.219869	-376.6869	1.067618
-375.7735	-1.210197	-375.6804	1.10436
-374.7864	-1.202374	-374.647	1.136502
-373.781	-1.192067	-373.6278	1.166571
-372.7842	-1.180901	-372.6321	1.18969
-371.7736	-1.172233	-371.6448	1.21239
-370.7767	-1.163037	-370.6677	1.236228
-369.777	-1.154928	-369.6652	1.263852
-368.7664	-1.147184	-368.6685	1.300848
-367.7931	-1.139744	-367.6592	1.334716
-366.7927	-1.131721	-366.6503	1.367168
-365.7787	-1.121706	-365.6576	1.403969
-364.7772	-1.114659	-364.6628	1.429314
-363.7723	-1.104039	-363.6611	1.45738
-362.7666	-1.092828	-362.6458	1.490974
-361.7614	-1.084228	-361.6414	1.51268
-360.7542	-1.072882	-360.6354	1.539294
-359.7499	-1.06347	-359.6378	1.56349
-358.7684	-1.056328	-358.6606	1.582531
-357.7774	-1.047786	-357.6561	1.612056
-356.7801	-1.040703	-356.6415	1.641363
-355.7738	-1.032894	-355.646	1.672827
-354.7687	-1.022689	-354.6316	1.701701
-353.7788	-1.014015	-353.6581	1.722753
-352.806	-1.002679	-352.6582	1.744428
-351.8231	-0.992334	-351.6602	1.763949
-350.816	-0.981896	-350.6833	1.789601
-349.8215	-0.969438	-349.6791	1.824834
-348.8096	-0.961005	-348.6812	1.851338
-347.8175	-0.951586	-347.6967	1.879568
-346.8354	-0.94227	-346.6946	1.904551
-345.8284	-0.934915	-345.706	1.916985
-344.8257	-0.925302	-344.7242	1.940809
-343.8068	-0.91539	-343.7121	1.961879
-342.7968	-0.906166	-342.7213	1.976184
-341.7971	-0.895135	-341.7124	1.997621
-340.7991	-0.884451	-340.7016	2.012426
-339.798	-0.873265	-339.7094	2.030067
-338.796	-0.862964	-338.685	2.055386
-337.803	-0.853316	-337.678	2.081551
-336.7835	-0.841997	-336.6777	2.111172
-335.7963	-0.831839	-335.6675	2.128103
-334.7953	-0.820016	-334.6775	2.139165
-333.8035	-0.808482	-333.6623	2.150323
-332.8243	-0.799503	-332.6914	2.14646
-331.8162	-0.790024	-331.6972	2.155676
-330.8131	-0.779774	-330.6947	2.17222
-329.8027	-0.770318	-329.7041	2.177547
-328.8059	-0.758853	-328.6899	2.198221
-327.8055	-0.748096	-327.6833	2.217547
-326.8032	-0.73908	-326.6865	2.227162
-325.8105	-0.726647	-325.6788	2.245274
-324.8013	-0.715284	-324.6987	2.257699
-323.7956	-0.701731	-323.6982	2.266796
-322.7998	-0.687107	-322.6964	2.269686
-321.7813	-0.676381	-321.7153	2.267333
-320.778	-0.664783	-320.6903	2.268296
-319.7829	-0.65512	-319.6899	2.265017
-318.7736	-0.644922	-318.6943	2.272305
-317.781	-0.631116	-317.6777	2.286562
-316.7908	-0.620869	-316.6721	2.287726
-315.7967	-0.608646	-315.6743	2.292324
-314.8109	-0.595767	-314.659	2.296878
-313.8203	-0.585569	-313.6848	2.288914
-312.8083	-0.569896	-312.6861	2.290871
-311.7929	-0.55509	-311.6754	2.295666
-310.7639	-0.541869	-310.6746	2.293018
-309.7268	-0.528439	-309.6505	2.290952
-308.7427	-0.519192	-308.6411	2.282679
-307.7306	-0.509161	-307.6574	2.272338
-306.7545	-0.499621	-306.6801	2.259915
-305.777	-0.487742	-305.7008	2.25055
-304.7535	-0.471915	-304.702	2.251142
