Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
149.3045	-4.432704	149.3013	-4.800373	149.2826	-0.686108	-549.6177	-2.523043	-549.5873	-3.723366	-549.5757	-4.891943
148.2856	-4.490476	148.2853	-4.861539	148.2707	-0.693264	-548.6281	-2.518415	-548.571	-3.708725	-548.5896	-4.869252
147.2661	-4.545452	147.2919	-4.917972	147.2752	-0.697604	-547.645	-2.513859	-547.5493	-3.695151	-547.5862	-4.847275
146.2434	-4.598001	146.285	-4.972345	146.2833	-0.701558	-546.6232	-2.509446	-546.5592	-3.682758	-546.5816	-4.825765
145.2501	-4.651491	145.28	-5.030268	145.2686	-0.706887	-545.6407	-2.505204	-545.5796	-3.668895	-545.579	-4.806383
144.2547	-4.700704	144.258	-5.087181	144.2717	-0.712505	-544.623	-2.5005	-544.6066	-3.655813	-544.5621	-4.786357
143.26	-4.746511	143.2534	-5.144141	143.2506	-0.719781	-543.6045	-2.495339	-543.6314	-3.643976	-543.5602	-4.767727
142.266	-4.791949	142.2442	-5.197884	142.2442	-0.728655	-542.5905	-2.490906	-542.6221	-3.63205	-542.5539	-4.747903
141.2496	-4.834601	141.2412	-5.24739	141.2507	-0.736357	-541.5726	-2.486493	-541.5999	-3.620668	-541.5529	-4.726308
140.2482	-4.875648	140.2548	-5.293248	140.2719	-0.742998	-540.5814	-2.482135	-540.5761	-3.609854	-540.5723	-4.709719
139.2694	-4.917515	139.2594	-5.33686	139.2739	-0.748681	-539.5926	-2.478129	-539.5576	-3.598062	-539.5793	-4.692745
138.2757	-4.96178	138.2616	-5.383144	138.2672	-0.753955	-538.608	-2.472625	-538.5402	-3.585151	-538.5831	-4.675077
137.2736	-5.005304	137.2445	-5.430142	137.2753	-0.758675	-537.6111	-2.468527	-537.5562	-3.575056	-537.6053	-4.659509
136.2437	-5.047526	136.2463	-5.474687	136.253	-0.764686	-536.6207	-2.464561	-536.5771	-3.563936	-536.5964	-4.641118
135.2226	-5.088833	135.243	-5.519013	135.2553	-0.771858	-535.6162	-2.460021	-535.5988	-3.552891	-535.5854	-4.622009
134.1993	-5.126712	134.2252	-5.560698	134.2688	-0.77843	-534.6178	-2.456277	-534.6104	-3.542369	-534.5919	-4.605956
133.2221	-5.158099	133.2381	-5.597565	133.277	-0.785335	-533.624	-2.451273	-533.6061	-3.52949	-533.5854	-4.588884
132.2444	-5.192025	132.2202	-5.636819	132.2656	-0.791135	-532.6152	-2.446111	-532.5976	-3.515307	-532.5981	-4.573796
131.2567	-5.223579	131.2069	-5.672372	131.2717	-0.796493	-531.5999	-2.441696	-531.5888	-3.502673	-531.6045	-4.558186
130.2902	-5.252921	130.2333	-5.704072	130.2666	-0.801021	-530.6095	-2.437054	-530.582	-3.491238	-530.6208	-4.535916
129.2764	-5.286386	129.2378	-5.735717	129.2503	-0.806356	-529.6149	-2.432921	-529.5912	-3.481991	-529.6329	-4.512233
128.2993	-5.316494	128.2834	-5.761191	128.266	-0.811668	-528.6027	-2.428271	-528.5704	-3.47197	-528.6184	-4.48374
127.3002	-5.344779	127.2973	-5.784495	127.2784	-0.818319	-527.6203	-2.423469	-527.5743	-3.461873	-527.6221	-4.458261
126.2764	-5.373153	126.3198	-5.809407	126.2873	-0.825703	-526.6087	-2.418327	-526.5892	-3.452106	-526.6139	-4.440515
125.2927	-5.40046	125.3409	-5.83363	125.2947	-0.833005	-525.5859	-2.413486	-525.582	-3.440321	-525.6051	-4.424443
124.2826	-5.426712	124.3101	-5.859756	124.2941	-0.840164	-524.6047	-2.410114	-524.6001	-3.432229	-524.595	-4.412739
123.2944	-5.451705	123.2932	-5.883676	123.2912	-0.846338	-523.5846	-2.407303	-523.5961	-3.42116	-523.6071	-4.398571
122.2991	-5.473227	122.2696	-5.903783	122.3004	-0.85265	-522.575	-2.403517	-522.5992	-3.409279	-522.5967	-4.38096
121.2809	-5.493675	121.2466	-5.924183	121.2962	-0.856584	-521.5947	-2.399798	-521.5968	-3.398123	-521.5815	-4.364094
120.2792	-5.510058	120.2588	-5.940646	120.3018	-0.860922	-520.6143	-2.395407	-520.6147	-3.386013	-520.5911	-4.34594
119.2626	-5.529316	119.2811	-5.9585	119.2938	-0.866714	-519.6332	-2.390078	-519.6182	-3.375295	-519.5714	-4.328874
118.276	-5.549011	118.2889	-5.975083	118.2763	-0.871799	-518.6367	-2.386088	-518.5987	-3.365903	-518.5731	-4.313118
117.2789	-5.565084	117.3027	-5.987339	117.2844	-0.879181	-517.6146	-2.381816	-517.587	-3.35667	-517.5813	-4.295709
116.2684	-5.584089	116.3044	-6.000518	116.2723	-0.886325	-516.5898	-2.37693	-516.5448	-3.347646	-516.5765	-4.278361
