Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Calcinado CIclo 5 RU 1mM	Au F127 INTI Calcinado CIclo 5 RU 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM
-406.5009	-0.991349	-407.6062	-1.937969
-405.4851	-0.983115	-406.6304	-1.933862
-404.4857	-0.97574	-405.6466	-1.928752
-403.5086	-0.967846	-404.6308	-1.923154
-402.5093	-0.959673	-403.6439	-1.91798
-401.515	-0.951936	-402.6421	-1.911966
-400.5047	-0.943324	-401.6555	-1.906319
-399.4914	-0.935794	-400.6461	-1.901057
-398.5013	-0.928022	-399.6387	-1.89559
-397.4853	-0.920135	-398.6371	-1.891755
-396.5035	-0.913095	-397.6392	-1.88719
-395.5135	-0.905295	-396.6548	-1.882971
-394.5025	-0.897052	-395.6587	-1.878429
-393.5134	-0.889258	-394.6485	-1.872414
-392.503	-0.880924	-393.6482	-1.866417
-391.4979	-0.872627	-392.6535	-1.860134
-390.5092	-0.865166	-391.6373	-1.853869
-389.5262	-0.858043	-390.6448	-1.848839
-388.5215	-0.851282	-389.6383	-1.844161
-387.5115	-0.844697	-388.6373	-1.838989
-386.498	-0.837855	-387.6459	-1.833903
-385.5009	-0.829835	-386.6534	-1.828813
-384.5082	-0.821728	-385.6712	-1.823504
-383.5265	-0.813772	-384.6812	-1.817838
-382.5328	-0.805679	-383.6943	-1.812666
-381.5356	-0.798469	-382.6942	-1.806438
-380.5367	-0.791782	-381.6794	-1.800113
-379.5369	-0.784899	-380.6781	-1.795517
-378.5613	-0.778212	-379.6744	-1.78978
-377.5572	-0.771718	-378.687	-1.784298
-376.5712	-0.764438	-377.688	-1.778184
-375.5752	-0.756985	-376.6866	-1.77102
-374.5492	-0.749054	-375.6979	-1.76376
-373.5562	-0.7409	-374.6782	-1.757165
-372.5482	-0.733006	-373.6915	-1.751656
-371.5569	-0.725559	-372.6911	-1.745811
-370.5778	-0.71872	-371.6908	-1.739938
-369.5634	-0.712197	-370.6987	-1.732811
-368.572	-0.705466	-369.6989	-1.725854
-367.5743	-0.69872	-368.6985	-1.719649
-366.5738	-0.691503	-367.6794	-1.713806
-365.5734	-0.683544	-366.6797	-1.708571
-364.5775	-0.675256	-365.6616	-1.702555
-363.5511	-0.667157	-364.6573	-1.6953
-362.5237	-0.659495	-363.6645	-1.686944
-361.541	-0.652477	-362.6468	-1.679083
-360.5209	-0.646314	-361.6489	-1.671917
-359.5344	-0.640214	-360.649	-1.665449
-358.5461	-0.634323	-359.6339	-1.659943
-357.5419	-0.628733	-358.6297	-1.65362
-356.5565	-0.622178	-357.6504	-1.647574
-355.5521	-0.615464	-356.6557	-1.641537
-354.5687	-0.60866	-355.6744	-1.634883
-353.5974	-0.601234	-354.6885	-1.627895
-352.6078	-0.593983	-353.6899	-1.619965
-351.6301	-0.587598	-352.6906	-1.612028
-350.6207	-0.580729	-351.6893	-1.604056
-349.5738	-0.574511	-350.7075	-1.595743
-348.5626	-0.568858	-349.7111	-1.588069
-347.5275	-0.562331	-348.6952	-1.58036
-346.5368	-0.555973	-347.6974	-1.572925
-345.5557	-0.54926	-346.6819	-1.565974
-344.5611	-0.542078	-345.685	-1.558531
-343.5745	-0.534756	-344.7031	-1.550409
-342.5663	-0.527857	-343.6943	-1.542517
-341.5546	-0.521221	-342.6893	-1.534229
-340.5503	-0.515002	-341.6849	-1.526371
-339.5474	-0.509497	-340.6702	-1.519373
-338.5368	-0.503524	-339.6764	-1.511153
-337.5416	-0.497322	-338.6902	-1.503665
-336.5381	-0.490863	-337.6769	-1.495138
-335.5564	-0.484597	-336.6721	-1.486469
-334.5787	-0.478812	-335.6818	-1.477994
-333.5908	-0.473047	-334.6826	-1.469309
-332.6002	-0.467461	-333.7025	-1.461082
-331.5979	-0.461091	-332.7348	-1.452579
-330.5903	-0.453958	-331.7283	-1.443423
-329.5995	-0.447158	-330.7236	-1.433868
-328.6189	-0.44031	-329.6924	-1.425269
-327.62	-0.433099	-328.6748	-1.415758
-326.63	-0.427366	-327.6812	-1.407347
-325.6293	-0.421404	-326.6968	-1.398373
-324.6035	-0.415617	-325.7111	-1.388268
-323.6	-0.410198	-324.7196	-1.379604
-322.5806	-0.404805	-323.7162	-1.370947
-321.5796	-0.399018	-322.7144	-1.36264
-320.5883	-0.393132	-321.7345	-1.35443
-319.5992	-0.387725	-320.7305	-1.345225
-318.6229	-0.3818	-319.7303	-1.335538
-317.6024	-0.375838	-318.721	-1.326294
-316.6037	-0.370285	-317.6973	-1.316345
-315.598	-0.364928	-316.6956	-1.307119
-314.5963	-0.359372	-315.7021	-1.297868
-313.6157	-0.354274	-314.7018	-1.288057
-312.6034	-0.348868	-313.7192	-1.2782
-311.578	-0.342828	-312.7137	-1.268552
-310.5582	-0.336507	-311.6981	-1.258901
-309.543	-0.330778	-310.6826	-1.249335
-308.5552	-0.325335	-309.6602	-1.240856
-307.5735	-0.320243	-308.6564	-1.231029
-306.5724	-0.315532	-307.6533	-1.2216
-305.584	-0.310205	-306.6782	-1.21219
-304.5752	-0.304715	-305.6874	-1.202033
-303.5886	-0.299703	-304.7149	-1.191641
-302.6107	-0.294349	-303.7287	-1.181648
-301.5923	-0.288757	-302.7285	-1.17105
-300.5993	-0.282951	-301.7177	-1.160724
-299.5917	-0.277054	-300.708	-1.15061
-298.5765	-0.271084	-299.7215	-1.140935
-297.5897	-0.266364	-298.7077	-1.131202
-296.5981	-0.26137	-297.7191	-1.121286
-295.594	-0.256835	-296.7364	-1.111974
-294.6121	-0.252165	-295.7344	-1.101182
-293.6218	-0.247132	-294.7599	-1.090894
-292.6105	-0.242728	-293.7771	-1.080091
-291.6237	-0.237145	-292.7661	-1.069133
-290.6173	-0.232028	-291.7632	-1.058117
-289.6221	-0.22641	-290.7127	-1.047113
-288.6085	-0.22065	-289.6931	-1.036998
-287.5923	-0.215415	-288.6853	-1.02661
-286.5823	-0.210319	-287.6741	-1.016432
-285.5405	-0.205583	-286.7023	-1.00624
-284.549	-0.201536	-285.699	-0.99554
-283.5517	-0.197628	-284.7046	-0.985134
-282.5663	-0.193233	-283.7179	-0.974405
-281.6016	-0.188577	-282.7331	-0.963974
-280.6142	-0.18346	-281.7456	-0.95262
-279.6271	-0.17789	-280.7392	-0.940946
-278.6432	-0.172978	-279.7408	-0.929366
-277.6328	-0.168137	-278.7531	-0.917279
-276.6386	-0.163011	-277.7753	-0.905785
-275.6309	-0.158743	-276.7922	-0.893596
-274.628	-0.154306	-275.8004	-0.881356
-273.6297	-0.150196	-274.8076	-0.870265
-272.6183	-0.146045	-273.8045	-0.859905
-271.6252	-0.141364	-272.7763	-0.849353
-270.6017	-0.137085	-271.7487	-0.839255
-269.6063	-0.131936	-270.7187	-0.82793
-268.6193	-0.128188	-269.7006	-0.815277
-267.6313	-0.124521	-268.7192	-0.803863
-266.6415	-0.120298	-267.7562	-0.792004
-265.6652	-0.117003	-266.7652	-0.77982
-264.6599	-0.112488	-265.7708	-0.768455
-263.6576	-0.107471	-264.7864	-0.756068
-262.6568	-0.102611	-263.7641	-0.742438
-261.624	-0.097401	-262.7559	-0.729793
-260.6236	-0.091931	-261.7252	-0.717339
-259.5921	-0.086937	-260.711	-0.705351
-258.5963	-0.082406	-259.6841	-0.69411
-257.6024	-0.078909	-258.684	-0.681927
-256.6017	-0.075901	-257.7064	-0.668926
-255.6259	-0.072789	-256.7108	-0.655759
-254.6233	-0.069881	-255.7386	-0.643452
-253.6286	-0.065482	-254.7664	-0.63126
-252.6332	-0.06118	-253.7613	-0.618456
-251.6339	-0.056765	-252.7595	-0.605861
-250.6382	-0.051568	-251.7499	-0.592221
-249.644	-0.047105	-250.7247	-0.578962
-248.6445	-0.042776	-249.7544	-0.56657
-247.6316	-0.038682	-248.7555	-0.553416
-246.6414	-0.035563	-247.7621	-0.540584
-245.6452	-0.032797	-246.7585	-0.527354
-244.6302	-0.029468	-245.7496	-0.513798
-243.6416	-0.026645	-244.7492	-0.500553
-242.6259	-0.02244	-243.7594	-0.486669
-241.6136	-0.017774	-242.7727	-0.47228
-240.6197	-0.013274	-241.7697	-0.457961
-239.6165	-0.008361	-240.7709	-0.442722
-238.6185	-0.004487	-239.7819	-0.428538
-237.618	-5.26E-4	-238.797	-0.414408
-236.6252	0.003265	-237.7698	-0.399497
-235.6183	0.007018	-236.7846	-0.38583
