Tension	Intensidad
mV	uA
CNEA	Calcinado
289.9279	9.124246
290.9415	9.080987
291.9626	9.041519
292.9872	9.001639
293.9908	8.958987
294.9802	8.918029
295.9831	8.875212
296.9745	8.833105
297.9571	8.791399
298.9722	8.750793
299.9541	8.710984
300.9613	8.671893
301.9767	8.633903
302.988	8.598858
304.0213	8.562042
305.0368	8.524194
306.0629	8.487583
307.0548	8.446535
308.0369	8.406264
309.0142	8.367908
309.9854	8.329103
310.9896	8.292423
311.9779	8.257873
312.9886	8.224671
314.0054	8.190604
314.9894	8.157339
316.0058	8.124553
317.0276	8.089443
318.0136	8.056551
319.0202	8.022845
320.0159	7.987974
320.9849	7.954405
321.9781	7.921511
322.9745	7.888431
323.972	7.859852
324.9724	7.832274
325.9762	7.804468
326.9916	7.776315
327.9975	7.744393
329.0106	7.712816
330.0075	7.682683
330.9924	7.653473
331.9766	7.624195
332.9518	7.594138
333.9474	7.565036
334.9497	7.538612
335.9558	7.512256
336.9528	7.485435
337.9624	7.458259
338.9493	7.429637
339.9445	7.403642
340.9709	7.38043
341.9601	7.354865
342.9637	7.331718
343.9703	7.307506
344.9512	7.281061
345.952	7.256765
346.9539	7.231824
347.9626	7.209414
348.9839	7.187122
350.0084	7.164385
351.0015	7.142181
352.0001	7.117968
352.9896	7.094034
353.9964	7.07422
355.0214	7.053102
356.0287	7.032132
357.0323	7.011212
358.0122	6.986598
359.0034	6.964167
360.0054	6.942823
361.0136	6.923259
362.007	6.905007
362.9728	6.884322
363.9421	6.864164
364.9224	6.843824
365.9259	6.824847
366.979	6.809015
367.9934	6.791592
369.0065	6.773906
375         6.68
380         6.58
385         6.50
390         6.41
395         6.32
400 		6.24
405         6.19
410         6.12
415         6.07
420         6.01 
430         5.88
440         5.76
450         5.67
460         5.58
470         5.48
480         5.4
490         5.3
500         5.22
510         5.13
520         5.06
525         5.04
535         4.99 
550         4.92
560         4.88
570         4.85
600.9344	4.783027
601.9453	4.779298
602.949	4.774186
603.9442	4.769957
604.9221	4.766576
605.9373	4.761619
606.9393	4.756824
607.9469	4.752596
608.963	4.748545
609.9706	4.745471
610.9724	4.742075
611.9683	4.73901
612.9814	4.736526
613.9517	4.732517
614.9464	4.729107
615.9492	4.726091
616.9293	4.722306
617.9251	4.719781
618.9255	4.715527
619.9277	4.710472
620.9346	4.705922
621.9496	4.702638
622.964	4.701466
623.9678	4.700625
624.9727	4.69935
625.9648	4.696734
626.9457	4.691286
627.915	4.687801
628.8959	4.684611
629.8806	4.681877
630.8741	4.679878
631.9011	4.677324
632.9141	4.67313
633.929	4.669325
634.9398	4.668709
635.9486	4.668154
636.9678	4.665774
637.9369	4.663469
638.9252	4.659703
639.8849	4.655188
640.851	4.654119
641.8718	4.652203
642.8734	4.650523
643.8688	4.647454
644.8754	4.64499
645.8651	4.643744
646.8705	4.642057
647.8965	4.642168
648.9104	4.641207
649.9207	4.638112
650.9162	4.636065
651.9039	4.633386
652.9044	4.632342
653.9207	4.632463
654.9307	4.632484
655.9301	4.631326
656.9139	4.629412
657.8945	4.627228
658.8759	4.623604
659.8794	4.62314
660.8858	4.622686
661.9085	4.622734
662.9218	4.623926
663.9452	4.622653
664.9369	4.621755
665.9364	4.622429
666.9163	4.620739
667.8995	4.621063
668.9109	4.620945
669.8745	4.618953
670.8804	4.619293
671.8691	4.618472
672.8671	4.619367
673.8876	4.621748
674.8906	4.622602
675.9003	4.622483
676.8885	4.621441
677.8868	4.62132
678.8823	4.623904
679.8777	4.626399
680.8856	4.627606
681.8838	4.626952
682.8888	4.625113
683.8799	4.625746
684.8778	4.626035
685.8714	4.627921
686.8907	4.630311
687.9138	4.629915
688.9213	4.631026
689.9352	4.631951
690.9063	4.633638
691.8605	4.636652
692.8467	4.638469
693.8456	4.637678
694.8671	4.63686
695.8876	4.636611
696.9119	4.637094
697.8937	4.639968
698.4672	4.609242
698.5707	4.566143
698.1206	4.514345
697.1868	4.455124
696.1854	4.422354
695.1841	4.394488
694.2075	4.370836
693.2365	4.350328
692.2465	4.331227
691.2549	4.315834
690.2731	4.300906
689.2651	4.284953
688.2558	4.269489
687.2376	4.254913
686.2014	4.240687
685.2111	4.227769
684.2124	4.216504
683.2214	4.204556
682.235	4.192712
681.2307	4.182398
680.2485	4.173701
679.2533	4.164111
678.2472	4.157021
677.2642	4.149426
676.2469	4.140732
675.2397	4.133927
674.2519	4.126477
673.26	4.117705
672.2639	4.108117
671.2573	4.100038
670.2484	4.09155
669.2397	4.083881
668.2312	4.078058
667.2573	4.071362
666.27	4.065871
665.2878	4.062088
664.3237	4.056847
663.3334	4.05112
662.3348	4.045434
661.3126	4.039268
660.2963	4.033272
659.2556	4.027326
658.2435	4.021816
657.2582	4.016864
656.2579	4.012849
655.2721	4.008092
654.2807	4.003117
653.2653	3.99705
652.2653	3.990529
651.2691	3.98559
650.2653	3.98098
649.2482	3.975562
648.2509	3.971325
647.2286	3.967923
646.2201	3.964343
645.2396	3.962898
644.2413	3.959421
643.2628	3.955289
642.2691	3.95059
641.2473	3.944524
640.2377	3.940949
639.2419	3.937359
638.2574	3.936201
637.2982	3.93444
636.3052	3.930101
635.2916	3.924065
634.2826	3.916828
633.2769	3.910694
632.278	3.906276
631.2798	3.90337
630.2812	3.899252
629.272	3.896477
628.2556	3.892871
627.2628	3.891143
626.2632	3.889307
625.262	3.885606
624.2614	3.883133
623.264	3.878522
622.25	3.874339
621.2647	3.87035
620.2777	3.868316
619.2866	3.867718
618.3038	3.864716
617.2892	3.862672
616.2979	3.857222
615.2892	3.849486
614.3176	3.845404
613.3325	3.839262
612.3344	3.836831
611.3333	3.833982
610.3118	3.831028
609.3051	3.82808
608.2819	3.82398
607.2817	3.822923
606.2739	3.821262
605.265	3.820804
604.2833	3.817683
603.2829	3.815008
602.2778	3.81214
601.27	3.810541
600.2745	3.809396
599.2706	3.806359
598.2681	3.801022
597.2958	3.796192
596.2977	3.791489
595.3045	3.78627
594.3149	3.784682
593.2728	3.780557
592.2661	3.778689
591.2571	3.776255
590.2435	3.772698
589.2668	3.77129
588.2657	3.768357
587.2712	3.766245
586.2622	3.763078
585.2704	3.758418
584.2601	3.754393
583.2491	3.750949
582.2628	3.748435
581.2572	3.748083
580.26	3.7458
579.2748	3.743494
578.2662	3.741197
577.2472	3.736504
576.2571	3.73486
575.2506	3.732811
574.2776	3.730017
573.3019	3.727833
572.2891	3.724311
571.3007	3.719897
570.2861	3.716319
569.2703	3.712558
568.2754	3.709682
567.2554	3.707763
566.2493	3.70621
565.2538	3.705797
564.2717	3.703424
563.2885	3.700778
562.3051	3.697736
561.3177	3.693554
560.3035	3.690219
559.314	3.687529
558.2859	3.683904
557.2664	3.680732
556.2617	3.679385
555.2604	3.676732
554.2706	3.67537
553.2784	3.674779
552.2874	3.672056
551.2521	3.669336
550.2501	3.666644
549.2592	3.662594
548.2591	3.658977
547.2628	3.657289
546.2574	3.654658
545.2431	3.652388
544.2424	3.649246
543.2603	3.645627
542.2793	3.64157
541.2791	3.637345
540.2582	3.634944
539.2544	3.630918
538.2418	3.629027
537.2485	3.627134
536.2811	3.625668
535.2911	3.624769
534.296	3.622382
533.3063	3.619686
532.3016	3.615693
531.3003	3.611611
530.3018	3.608766
529.2885	3.605967
528.2725	3.604991
527.2705	3.605922
526.2881	3.604076
525.2905	3.602731
524.3035	3.59873
523.3195	3.593904
522.3168	3.590238
521.3124	3.585669
520.3013	3.58173
519.2894	3.577876
518.2737	3.574926
517.2844	3.573525
516.2998	3.572816
515.2874	3.571034
514.3049	3.568899
513.317	3.566594
512.3103	3.562344
511.3316	3.558781
510.3179	3.556666
509.3195	3.55448
508.3168	3.553083
507.3175	3.551617
506.3271	3.546829
505.3105	3.542156
504.3102	3.538901
503.2889	3.534787
502.2723	3.532477
501.266	3.529677
500.2572	3.525367
499.2613	3.522658
498.2587	3.520361
497.267	3.517706
496.2646	3.515427
495.2621	3.51223
494.2697	3.50887
493.2699	3.506223
492.2774	3.503238
491.2765	3.502037
490.2685	3.50084
489.2769	3.497344
488.2572	3.494076
487.2686	3.488334
486.2979	3.482278
485.3185	3.477603
484.342	3.472379
