Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM
-362.6375	-0.706671	-362.6388	0.425543
-361.6519	-0.702578	-361.6283	0.445475
-360.6534	-0.696159	-360.6206	0.468847
-359.6539	-0.690021	-359.6317	0.492788
-358.6856	-0.684211	-358.6427	0.515418
-357.6805	-0.679287	-357.6591	0.544235
-356.6863	-0.67644	-356.6779	0.570347
-355.692	-0.673092	-355.6791	0.593716
-354.6722	-0.668002	-354.6889	0.618939
-353.6737	-0.662929	-353.693	0.642863
-352.6609	-0.659038	-352.6924	0.668802
-351.663	-0.65447	-351.6935	0.695967
-350.7082	-0.650199	-350.688	0.723356
-349.6906	-0.644844	-349.6653	0.754277
-348.7191	-0.637619	-348.6576	0.781008
-347.7209	-0.631567	-347.6528	0.808519
-346.6904	-0.626224	-346.641	0.84012
-345.7038	-0.62232	-345.6621	0.864585
-344.6889	-0.618621	-344.6594	0.895765
-343.6744	-0.615664	-343.6456	0.927411
-342.6849	-0.612279	-342.6544	0.953938
-341.6878	-0.607282	-341.6472	0.984801
-340.6819	-0.603329	-340.6506	1.012855
-339.7027	-0.59716	-339.6579	1.041662
-338.7039	-0.590622	-338.6566	1.071894
-337.681	-0.584747	-337.655	1.103193
-336.6849	-0.577868	-336.6347	1.139444
-335.6764	-0.573629	-335.6255	1.1703
-334.6676	-0.56777	-334.6075	1.200742
-333.6996	-0.563256	-333.6019	1.231975
-332.7185	-0.559919	-332.6153	1.255346
-331.7366	-0.555167	-331.6187	1.283906
-330.7516	-0.551987	-330.6404	1.315657
-329.7413	-0.547637	-329.6563	1.343394
-328.7297	-0.541569	-328.6664	1.374229
-327.7191	-0.535741	-327.6745	1.406644
-326.7352	-0.529255	-326.6904	1.437559
-325.7351	-0.523051	-325.6738	1.472237
-324.7237	-0.517635	-324.6616	1.506258
-323.701	-0.511166	-323.6646	1.540442
-322.6694	-0.504966	-322.6483	1.570782
-321.6714	-0.499356	-321.6565	1.594872
-320.6722	-0.494438	-320.6709	1.624092
-319.6891	-0.491336	-319.6663	1.650623
-318.6999	-0.488706	-318.67	1.678909
-317.6911	-0.483837	-317.655	1.714792
-316.7024	-0.47951	-316.6519	1.74236
-315.7095	-0.474116	-315.6616	1.769913
-314.6925	-0.467781	-314.6335	1.799414
-313.7051	-0.463399	-313.6417	1.824088
-312.6916	-0.45787	-312.6316	1.852898
-311.6735	-0.453093	-311.6075	1.879715
-310.6718	-0.447193	-310.6253	1.90377
-309.6569	-0.440865	-309.6032	1.928242
-308.6735	-0.436331	-308.6012	1.949137
-307.6849	-0.431476	-307.6224	1.973757
-306.7031	-0.430421	-306.6282	1.997192
-305.7007	-0.428984	-305.6532	2.019501
-304.6897	-0.424263	-304.6465	2.043305
-303.6854	-0.419646	-303.631	2.061546
-302.687	-0.41386	-302.6348	2.079018
-301.6949	-0.407654	-301.6329	2.097799
-300.6843	-0.403539	-300.6477	2.111405
-299.6819	-0.398737	-299.6749	2.129688
-298.6689	-0.391427	-298.6523	2.1494
-297.6635	-0.385594	-297.663	2.164534
-296.6734	-0.379657	-296.6534	2.185964
-295.6662	-0.374344	-295.6371	2.201776
-294.6779	-0.370596	-294.6493	2.214228
-293.6963	-0.364608	-293.6473	2.228905
-292.7045	-0.362099	-292.6395	2.238564
-291.7189	-0.358053	-291.6426	2.247602
-290.7148	-0.355048	-290.6513	2.255857
-289.7118	-0.352519	-289.6536	2.263872
-288.714	-0.34616	-288.6786	2.272446
-287.7113	-0.341119	-287.6844	2.280965
-286.7134	-0.335011	-286.6671	2.293758
-285.7157	-0.328616	-285.632	2.307378
-284.7093	-0.322563	-284.6184	2.312734
-283.7123	-0.317875	-283.6004	2.318106
-282.7115	-0.312898	-282.6003	2.318566
-281.7075	-0.310083	-281.6384	2.31204
-280.7213	-0.307284	-280.6309	2.312718
-279.7483	-0.301909	-279.6566	2.312825
-278.7516	-0.296158	-278.697	2.309898
-277.7549	-0.289756	-277.6979	2.309319
-276.7474	-0.283356	-276.7385	2.308583
-275.7455	-0.280095	-275.7234	2.306603
-274.7438	-0.277049	-274.7115	2.304866
-273.7535	-0.274461	-273.701	2.302306
-272.7327	-0.268341	-272.669	2.300195
-271.7114	-0.261474	-271.6728	2.289643
-270.7319	-0.256462	-270.6722	2.281289
-269.7144	-0.250272	-269.6942	2.275915
-268.7416	-0.249565	-268.7106	2.261033
-267.7332	-0.245458	-267.6996	2.254132
-266.7134	-0.240531	-266.6825	2.246438
-265.7103	-0.236494	-265.6664	2.230667
-264.7009	-0.229059	-264.65	2.219978
-263.7122	-0.224321	-263.6558	2.208836
-262.7052	-0.220589	-262.6619	2.193882
-261.713	-0.215495	-261.6405	2.181109
-260.708	-0.210131	-260.6333	2.168858
-259.6751	-0.202985	-259.6414	2.155253
-258.6741	-0.196517	-258.6498	2.140444
-257.6772	-0.192282	-257.6484	2.126442
-256.6792	-0.189313	-256.6758	2.112895
-255.6975	-0.188632	-255.6573	2.094248
-254.6989	-0.185407	-254.6474	2.077065
-253.6958	-0.179882	-253.6347	2.061669
-252.7081	-0.177073	-252.6166	2.03992
-251.715	-0.17212	-251.6321	2.020228
-250.717	-0.167418	-250.6216	2.002197
-249.7312	-0.164371	-249.6453	1.980082
-248.7389	-0.158793	-248.6619	1.96296
-247.7409	-0.151937	-247.6548	1.947486
-246.7337	-0.147378	-246.64	1.932249
-245.7206	-0.143236	-245.64	1.915309
-244.7042	-0.139816	-244.6343	1.896955
-243.7102	-0.138694	-243.6516	1.877926
-242.7178	-0.136395	-242.6835	1.855153
-241.7325	-0.13299	-241.7032	1.833525
-240.7393	-0.128552	-240.7022	1.813813
-239.7484	-0.124485	-239.6992	1.792024
-238.7566	-0.119533	-238.7099	1.771481
-237.7319	-0.113995	-237.6947	1.753988
-236.7372	-0.110428	-236.6908	1.735492
-235.7227	-0.106442	-235.6684	1.717777
-234.6999	-0.101172	-234.6353	1.701595
-233.711	-0.099027	-233.6129	1.679706
-232.7014	-0.096213	-232.6046	1.657835
-231.7017	-0.093169	-231.6078	1.638779
-230.7211	-0.091989	-230.6329	1.616934
-229.7295	-0.0887	-229.6586	1.598559
-228.7344	-0.084382	-228.6817	1.579315
-227.7426	-0.079249	-227.7009	1.559162
-226.7299	-0.074525	-226.6891	1.540664
-225.7303	-0.069941	-225.6983	1.522182
-224.7232	-0.065791	-224.6751	1.505698
-223.7109	-0.063653	-223.6726	1.487868
-222.7249	-0.059096	-222.6915	1.470219
-221.7126	-0.053415	-221.66	1.45246
-220.7081	-0.049997	-220.6573	1.434034
-219.7185	-0.047222	-219.645	1.418427
-218.7138	-0.045674	-218.6173	1.402112
-217.7246	-0.04573	-217.648	1.384538
-216.7098	-0.043	-216.6485	1.36784
-215.7075	-0.03857	-215.6461	1.349706
-214.7088	-0.03496	-214.6573	1.332504
-213.6974	-0.03154	-213.6606	1.317407
-212.705	-0.029684	-212.6646	1.301172
-211.6986	-0.027411	-211.6751	1.284424
-210.6765	-0.024827	-210.6773	1.268176
-209.6815	-0.020204	-209.6702	1.251826
-208.6722	-0.015392	-208.6573	1.237118
-207.6711	-0.01421	-207.6377	1.22248
-206.7007	-0.013545	-206.6264	1.20802
-205.6702	-0.014575	-205.5939	1.193479
-204.6905	-0.015644	-204.6208	1.178281
-203.68	-0.012388	-203.6373	1.163956
-202.658	-0.008945	-202.639	1.149821
-201.6947	-0.006047	-201.6674	1.135376
