Funcionalizado APTES 10mM	Funcionalizado APTES 10mM
mv	uA
Primeros 45	Primeros 45
461.1334	0.4052536
462.1257	0.4068117
463.1395	0.4094478
464.1454	0.4105902
465.1213	0.4119716
466.1158	0.4136545
467.0914	0.4137873
468.0733	0.4150169
469.0979	0.4171486
470.0844	0.4179541
471.0989	0.4194711
472.0987	0.4216372
473.1014	0.4230338
474.1087	0.4253782
475.1094	0.427962
476.1203	0.429688
477.1255	0.4309102
478.1215	0.4319196
479.1022	0.4329979
480.0959	0.4336764
481.089	0.4352102
482.0983	0.4380755
483.1103	0.4394165
484.1155	0.441354
485.1126	0.4434004
486.1198	0.4433424
487.1236	0.4454553
488.1164	0.4479098
489.0994	0.4494453
490.0952	0.4518772
491.0809	0.4527248
492.082	0.4538912
493.0861	0.4554044
494.0847	0.45663
495.1001	0.4596697
496.1133	0.4606272
497.1136	0.4616448
498.1021	0.4637242
498.625	0.4301289
498.6621	0.3892297
498.2252	0.3431333
497.292	0.2899553
496.3063	0.2673786
495.3045	0.2492614
494.2636	0.2327339
493.2367	0.2194304
492.229	0.2070046
491.2216	0.1959354
490.2373	0.1859263
489.244	0.1762221
488.2459	0.1684795
487.2567	0.1611068
486.2577	0.1545296
485.2738	0.149095
484.2908	0.1415772
483.288	0.134867
482.2894	0.1281681
481.2651	0.121176
480.2549	0.1168515
479.2514	0.1127952
478.2533	0.1090819
477.258	0.1055563
476.2454	0.1006291
475.2259	0.09609919
474.2298	0.09138165
473.2453	0.08685309
472.242	0.08322637
471.2677	0.07845359
470.2606	0.07422571
469.2463	0.07148366
468.259	0.06790109
467.2545	0.06570438
466.2653	0.06417096
465.2638	0.06061112
464.248	0.05864415
463.2491	0.05608759
462.2442	0.0530531
461.2544	0.05126099
460.2809	0.0495655
459.288	0.04760287
458.2866	0.04496325
457.2959	0.04211617
456.2988	0.0389222
455.3	0.0355534
454.3098	0.03339894
453.2911	0.0316495
452.2827	0.02830136
451.2675	0.02662028
450.2617	0.0246993
449.2484	0.02209992
448.2491	0.02175887
447.2764	0.02083842
446.2731	0.01914191
445.2892	0.01830175
444.2656	0.01651977
443.2253	0.01443089
442.2183	0.01311276
441.2181	0.01185894
440.247	0.01102689
439.2618	0.009328842
438.2713	0.007946409
437.2736	0.006631797
436.2666	0.004382267
435.2734	0.003245497
434.2659	0.002377869
433.2755	4.93E-04
432.2799	-0.00108451
431.2769	-0.002436518
430.2794	-0.0042649
429.2761	-0.005385309
428.2746	-0.006007989
427.2752	-0.006419098
426.2738	-0.007698375
425.2636	-0.009287422
424.2683	-0.01035512
423.2671	-0.01157617
422.2892	-0.01227776
421.3106	-0.01234839
420.2968	-0.01407309
419.2893	-0.01643141
418.2738	-0.01784285
417.2469	-0.0198915
416.2561	-0.02010339
415.2633	-0.02031421
414.264	-0.0212146
413.2911	-0.02227452
412.3033	-0.02298742
411.3172	-0.02340157
410.3466	-0.02378513
409.3607	-0.02386327
408.3693	-0.02461279
407.3674	-0.02661359
406.3516	-0.02800404
405.3324	-0.02825264
404.316	-0.02965501
403.3074	-0.0297207
402.3073	-0.03008925
401.2979	-0.03260513
400.3048	-0.03392875
399.3286	-0.03519941
398.3161	-0.03628805
397.3279	-0.03694104
396.3311	-0.0373868
395.309	-0.03835426
394.3148	-0.03967942
393.3094	-0.0406088
392.3091	-0.04076843
391.2989	-0.04128862
390.2828	-0.04175885
389.302	-0.04141144
388.2944	-0.04306705
387.3019	-0.04344821
386.3172	-0.04332231
385.2885	-0.04443752
384.2756	-0.04444894
383.2942	-0.04502657
382.2831	-0.04661692
381.2989	-0.04804762
380.2918	-0.04976906
379.2788	-0.05133659
378.2933	-0.05214278
377.2837	-0.05295936
376.2917	-0.05315645
375.2787	-0.05396562
374.2637	-0.05483823
373.2552	-0.05464334
372.2449	-0.05509528
371.252	-0.05477649
370.2563	-0.05442779
369.264	-0.05560556
368.2766	-0.05617432
