Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
	
279.1297	0.3670134
280.1272	0.3688575
281.1051	0.3702402
282.0989	0.372104
283.0763	0.3740211
284.0707	0.3769985
285.0867	0.3796163
286.0694	0.3825145
287.0911	0.3863947
288.1086	0.389889
289.0962	0.3934955
290.1551	0.3977333
291.1581	0.3999965
292.1512	0.4028665
293.1445	0.4060692
294.1068	0.4084338
295.0965	0.4113702
296.0888	0.4142123
297.1053	0.4174375
298.123	0.4213619
299.1202	0.4253989
300.1071	0.4294219
301.1168	0.4326779
302.1179	0.4355666
303.1503	0.4402166
304.1639	0.4438699
305.1547	0.4474226
306.1496	0.4511493
307.135	0.4532341
308.1339	0.4560158
309.1391	0.4597013
310.1192	0.4624451
311.1148	0.4665798
312.1222	0.4700182
313.1208	0.4731174
314.1231	0.4776132
315.1209	0.481621
316.1309	0.4873931
317.1306	0.4922973
318.1356	0.4954435
319.1284	0.4988157
320.1176	0.5024617
321.1157	0.5067208
322.1238	0.5116692
323.1144	0.5156066
324.1143	0.5188562
325.1234	0.5228152
326.1266	0.5268655
327.1487	0.5320128
328.1711	0.5385043
329.1656	0.5426253
330.1587	0.5479876
331.1412	0.551461
332.114	0.5540018
333.0994	0.5594401
334.0842	0.5639367
335.0935	0.569703
336.0986	0.5743963
337.0913	0.5791717
338.119	0.5842142
339.1063	0.588295
340.1106	0.5941164
341.1375	0.5996886
342.1421	0.6051394
343.1439	0.6119169
344.153	0.616897
345.1286	0.6207315
346.1154	0.6258069
347.126	0.6314037
348.1229	0.6377863
349.1374	0.6444724
350.138	0.6505686
351.1385	0.6566553
352.1274	0.662153
353.1349	0.6695853
354.1322	0.6776671
355.139	0.6834642
356.1328	0.6892801
357.1291	0.6943876
358.1408	0.6983104
359.1281	0.7046146
360.1585	0.7115144
361.1533	0.7179201
362.1396	0.7246498
363.1461	0.7311568
364.1361	0.7383053
365.1317	0.7459807
366.1272	0.7547669
367.1332	0.7630444
368.1015	0.7697418
369.1089	0.7762251
370.1199	0.7827629
371.0992	0.7886362
372.1325	0.7957293
373.1358	0.8037048
374.1258	0.8111416
375.158	0.8196826
376.1615	0.8290383
377.1599	0.8379369
378.1825	0.8473616
379.1896	0.8564993
380.1859	0.8652172
381.1892	0.8731135
382.1682	0.8801373
383.1569	0.888004
384.1239	0.8952452
385.1206	0.9036433
386.1273	0.9142169
387.1259	0.9234457
388.1448	0.934576
389.1325	0.9453452
390.1268	0.9546721
391.0938	0.965599
392.1158	0.9760077
393.136	0.9856833
394.1419	0.9957484
395.1595	1.004791
396.1461	1.014107
397.1426	1.024841
398.1559	1.035834
399.1549	1.048394
400.15	1.059792
401.1596	1.070581
402.1464	1.082363
403.1541	1.093596
404.1464	1.105905
405.139	1.118757
406.1486	1.129366
407.1642	1.140155
408.2009	1.150942
409.2063	1.1612
410.2129	1.17322
411.1884	1.185243
412.1644	1.19708
413.1529	1.208919
414.1381	1.220831
415.1583	1.233786
416.152	1.247184
417.1419	1.260094
418.1461	1.273426
419.1448	1.284607
420.1292	1.296003
421.1288	1.308777
422.1194	1.320167
423.1237	1.333247
424.1407	1.346334
425.1497	1.358984
426.1509	1.373061
427.1251	1.387015
428.1307	1.400413
429.1291	1.414022
430.1382	1.426872
431.1538	1.439873
432.152	1.451566
433.1538	1.46349
434.1508	1.477254
435.137	1.489353
436.1178	1.504175
437.1237	1.519374
438.1216	1.532266
439.12	1.546374
440.1355	1.559478
441.1094	1.571579
442.107	1.585335
443.1084	1.598429
444.1055	1.611256
445.1122	1.62403
446.1214	1.63605
447.1323	1.64899
448.1241	1.662236
449.1339	1.675797
450.1332	1.690217
451.1353	1.702355
452.1576	1.714359
453.1575	1.72764
454.1493	1.739279
455.138	1.752809
456.1398	1.76607
457.1545	1.777684
458.1747	1.789513
459.1817	1.800807
460.1714	1.811616
461.1557	1.821778
462.1218	1.831591
463.118	1.842216
464.1165	1.851844
465.1074	1.86309
466.1124	1.876072
467.117	1.886068
468.1054	1.897282
469.1163	1.9082
470.1219	1.916793
471.1075	1.92643
472.104	1.935282
473.0958	1.942364
474.087	1.949985
475.0924	1.959042
476.1001	1.967556
477.09	1.976655
478.0856	1.984628
479.0802	1.992624
480.0836	1.999884
481.0947	2.006653
482.105	2.015608
483.1041	2.021249
484.105	2.027735
485.1015	2.034584
486.1008	2.037905
487.1153	2.043648
488.1126	2.049823
489.1263	2.054905
490.1236	2.059473
491.1147	2.064658
492.1058	2.067376
493.0883	2.071092
494.0928	2.075989
495.1064	2.079552
496.1209	2.082374
497.1222	2.083827
498.1248	2.086715
498.666	2.033782
498.6979	1.954402
498.2553	1.850785
497.2891	1.723039
496.274	1.630426
495.2714	1.54786
494.2572	1.472453
493.2441	1.404534
492.2336	1.341643
491.2282	1.28354
490.2171	1.228505
489.2363	1.176188
488.2561	1.128212
487.2769	1.082691
486.2985	1.040245
485.3142	1.001988
484.3196	0.9631729
483.3104	0.926159
482.2862	0.8916496
481.2616	0.8576467
480.2325	0.8266782
479.2206	0.7982612
478.2306	0.7712348
477.2281	0.7453044
476.2453	0.7206932
475.2624	0.6966134
474.2796	0.6730023
473.2997	0.6500181
472.2817	0.6288251
471.2733	0.6070552
470.2422	0.5865645
469.2249	0.568397
468.2304	0.5493718
467.2352	0.5331255
466.2604	0.5179915
465.2661	0.5014494
464.2828	0.4869631
463.2893	0.4718375
462.2753	0.4565094
461.2763	0.4429443
460.2929	0.4292892
459.2903	0.4164748
458.3137	0.4048889
457.3132	0.3923249
456.2944	0.3811547
455.2879	0.369385
454.2649	0.3575783
453.2717	0.3471844
452.2625	0.3357526
451.2414	0.3257104
450.2629	0.3163127
449.2465	0.3069417
448.2683	0.2992674
447.2964	0.29196
446.2831	0.2839134
445.2868	0.2765965
444.2598	0.2683287
443.2448	0.2597513
442.2174	0.2520818
441.2121	0.2440252
440.2261	0.2374581
439.2208	0.2319031
438.2362	0.2264847
437.2544	0.2209387
436.254	0.2140005
435.2729	0.2064464
434.3091	0.2000244
433.2982	0.1927807
432.3043	0.1868128
431.3033	0.1816302
430.2851	0.1754361
429.2942	0.1711518
428.2829	0.1672709
427.2841	0.162905
426.2823	0.158895
425.2797	0.15473
424.2809	0.1502905
423.2805	0.1452008
422.2936	0.1409003
421.288	0.137595
420.2932	0.1337006
419.2793	0.1312511
418.262	0.1276829
417.271	0.1224302
416.2668	0.1181318
415.2842	0.1132996
414.2833	0.1088887
413.2978	0.1055336
412.3167	0.1016462
411.3172	0.09817083
410.3281	0.0951177
409.2994	0.09206257
408.3076	0.08952253
407.3198	0.08654009
406.3293	0.08385459
405.3504	0.08117937
404.3303	0.07808395
403.3164	0.07565725
402.3102	0.07410007
401.2977	0.07206264
400.2985	0.07024939
399.2883	0.06803234
398.2773	0.06469618
397.2821	0.0614123
396.2867	0.05803033
395.283	0.05511644
394.3003	0.05190615
393.2891	0.04895417
392.275	0.0466703
391.266	0.04397729
390.2286	0.04222565
389.2581	0.04133667
388.2583	0.03949536
387.2809	0.03829254
386.2974	0.03653126
385.275	0.03403974
384.2889	0.03265675
383.2749	0.03171944
382.2905	0.03049918
381.292	0.02964111
380.2768	0.02729642
379.2836	0.02445778
378.2592	0.02198998
377.2476	0.01925303
376.2547	0.01793882
375.2468	0.01603036
374.2579	0.0143498
373.2529	0.01299604
372.2579	0.01060122
371.2532	0.01001078
370.2666	0.0090518
369.2739	0.007706033
368.2595	0.007748183
367.2557	0.005421427
366.2437	0.002873661
365.2695	0.001945384
364.2667	3.59E-04
363.2867	-9.53E-04
362.2887	-0.001624296
361.2575	-0.004013222
360.252	-0.005404824
359.2495	-0.007318837
358.2464	-0.008731372
357.2798	-0.009022653
356.3079	-0.01061685
355.2909	-0.01110907
354.2994	-0.01185356
353.2784	-0.0139076
352.2542	-0.01499452
351.2695	-0.01552592
350.2505	-0.016977
349.2482	-0.01736442
348.2513	-0.0183989
347.2444	-0.01894181
346.2484	-0.01887437
345.2519	-0.01972865
344.2728	-0.02059827
343.2718	-0.02341021
342.2725	-0.0261525
341.2622	-0.02810701
340.255	-0.03037591
339.2518	-0.03071824
338.2559	-0.03150576
337.2449	-0.03315413
336.2264	-0.03418243
335.2094	-0.03579172
334.1992	-0.03668811
333.2089	-0.03646905
332.2329	-0.03643727
331.2719	-0.03672366
330.2823	-0.03754317
329.2923	-0.03939351
328.2998	-0.04058458
327.2857	-0.04115724
326.2885	-0.04155398
325.2934	-0.0418506
324.2815	-0.04345461
323.2615	-0.04555323
322.2624	-0.04727663
321.2491	-0.04872544
320.2503	-0.04877007
319.2857	-0.04908938
318.2805	-0.04995479
317.2943	-0.05136351
316.2903	-0.05322404
315.2794	-0.05428861
314.2753	-0.05500018
