E	0s
V	j / ma * cm^2
-0.220438	-0.278893333333333
-0.219408	-0.27848
-0.218378	-0.277983333333333
-0.217387	-0.277823333333333
-0.21642	-0.277413333333333
-0.215435	-0.276916666666667
-0.214452	-0.276546666666667
-0.213449	-0.27604
-0.212434	-0.27555
-0.211422	-0.27509
-0.210402	-0.274616666666667
-0.209401	-0.274206666666667
-0.20838	-0.27368
-0.207367	-0.2734
-0.206374	-0.273183333333333
-0.205371	-0.27277
-0.204376	-0.27257
-0.203407	-0.27216
-0.202422	-0.271533333333333
-0.201425	-0.271136666666667
-0.200437	-0.27066
-0.199434	-0.270183333333333
-0.198428	-0.26991
-0.197435	-0.2695
-0.19644	-0.269113333333333
-0.195414	-0.268733333333333
-0.19443	-0.268316666666667
-0.193444	-0.268006666666667
-0.192454	-0.26757
-0.191478	-0.267146666666667
-0.190462	-0.266696666666667
-0.18944	-0.26617
-0.188418	-0.265843333333333
-0.187434	-0.265503333333333
-0.186449	-0.265173333333333
-0.18546	-0.26489
-0.184474	-0.264436666666667
-0.183474	-0.263986666666667
-0.182457	-0.26356
-0.181454	-0.263086666666667
-0.18046	-0.262696666666667
-0.179447	-0.26235
-0.178463	-0.261983333333333
-0.177468	-0.26162
-0.176437	-0.26123
-0.175429	-0.260896666666667
-0.174435	-0.26048
-0.17342	-0.260063333333333
-0.172443	-0.259746666666667
-0.17147	-0.259226666666667
-0.170457	-0.258746666666667
-0.16947	-0.25843
-0.16846	-0.257956666666667
-0.167447	-0.257653333333333
-0.166455	-0.257463333333333
-0.165471	-0.257033333333333
-0.164474	-0.256636666666667
-0.163479	-0.256193333333333
-0.162468	-0.255716666666667
-0.161466	-0.255306666666667
-0.160474	-0.25488
-0.159462	-0.254556666666667
-0.158471	-0.25414
-0.157462	-0.25368
-0.15645	-0.253503333333333
-0.15546	-0.253183333333333
-0.154464	-0.252806666666667
-0.153468	-0.252626666666667
-0.152473	-0.25207
-0.151467	-0.251526666666667
-0.150459	-0.251153333333333
-0.149453	-0.25068
-0.148468	-0.250353333333333
-0.147478	-0.250053333333333
-0.146481	-0.249756666666667
-0.145497	-0.249393333333333
-0.144492	-0.248883333333333
-0.143489	-0.248563333333333
-0.14251	-0.248146666666667
-0.141503	-0.24762
-0.140523	-0.24738
-0.139532	-0.246926666666667
-0.138515	-0.24643
-0.137514	-0.246226666666667
-0.13652	-0.245863333333333
-0.135512	-0.245503333333333
-0.134524	-0.245216666666667
-0.13353	-0.24477
-0.132505	-0.244296666666667
-0.131509	-0.243816666666667
-0.1305	-0.243433333333333
-0.129487	-0.24313
-0.128491	-0.24277
-0.127509	-0.242546666666667
-0.126522	-0.242196666666667
-0.125537	-0.24168
-0.124542	-0.241396666666667
-0.123524	-0.240973333333333
-0.122509	-0.240506666666667
-0.121509	-0.24021
-0.120514	-0.239716666666667
-0.119496	-0.239266666666667
-0.118495	-0.238896666666667
-0.117489	-0.23854
-0.116492	-0.238283333333333
-0.115518	-0.238003333333333
-0.114521	-0.237673333333333
-0.113526	-0.237296666666667
-0.11255	-0.236736666666667
-0.111554	-0.2363
-0.11056	-0.235933333333333
-0.109548	-0.23546
-0.108518	-0.235203333333333
-0.107501	-0.2348
-0.106491	-0.23428
-0.105473	-0.23399
-0.104454	-0.233603333333333
-0.103466	-0.233263333333333
-0.102474	-0.233036666666667
-0.101497	-0.232636666666667
-0.100512	-0.232256666666667
-0.099502	-0.231876666666667
-0.098505	-0.2315
-0.097518	-0.2312
-0.096522	-0.230803333333333
-0.095533	-0.230483333333333
-0.094532	-0.230043333333333
-0.093519	-0.22949
-0.092513	-0.229133333333333
-0.091485	-0.228686666666667
-0.090477	-0.228293333333333
-0.089481	-0.22808
-0.088481	-0.227676666666667
-0.087488	-0.227303333333333
-0.086492	-0.227013333333333
-0.085504	-0.226606666666667
-0.084537	-0.226266666666667
-0.083549	-0.225903333333333
-0.082556	-0.225456666666667
-0.081538	-0.224993333333333
-0.080497	-0.224503333333333
-0.079482	-0.224173333333333
-0.078482	-0.22384
-0.077475	-0.22351
-0.076495	-0.223303333333333
-0.075506	-0.222856666666667
-0.074511	-0.22238
-0.073552	-0.222063333333333
-0.072563	-0.22156
-0.071572	-0.221146666666667
-0.070573	-0.220823333333333
-0.069557	-0.220363333333333
-0.06855	-0.219983333333333
-0.067544	-0.219603333333333
-0.066538	-0.219316666666667
-0.065534	-0.219016666666667
-0.064527	-0.218616666666667
-0.063542	-0.2183
-0.062533	-0.21777
-0.06152	-0.217193333333333
-0.06055	-0.21693
-0.05953	-0.21651
-0.058537	-0.21613
-0.057545	-0.215946666666667
-0.056511	-0.215453333333333
-0.055513	-0.215016666666667
-0.054507	-0.214673333333333
-0.053506	-0.21424
-0.052503	-0.213866666666667
-0.051489	-0.213513333333333
-0.050483	-0.213133333333333
-0.049493	-0.212756666666667
-0.0485	-0.212313333333333
-0.047526	-0.212013333333333
-0.046564	-0.211683333333333
-0.045552	-0.211196666666667
-0.044538	-0.210916666666667
-0.043538	-0.210416666666667
-0.042511	-0.209786666666667
-0.041512	-0.209383333333333
-0.040532	-0.208886666666667
-0.039525	-0.20849
-0.03853	-0.208273333333333
-0.037535	-0.20797
-0.036526	-0.20761
-0.035531	-0.20722
-0.034536	-0.206826666666667
-0.033539	-0.20644
-0.032554	-0.205953333333333
-0.031569	-0.205526666666667
-0.030556	-0.20502
-0.029543	-0.20441
-0.028524	-0.2041
-0.027496	-0.203746666666667
-0.026512	-0.203356666666667
-0.025539	-0.20311
-0.024558	-0.202626666666667
-0.02356	-0.202116666666667
-0.022556	-0.201676666666667
-0.021545	-0.201203333333333
-0.020555	-0.20082
-0.019555	-0.20039
-0.018553	-0.199933333333333
-0.017569	-0.199506666666667
-0.016556	-0.198923333333333
-0.015549	-0.198546666666667
-0.014559	-0.198223333333333
-0.013528	-0.19777
-0.012517	-0.197556666666667
-0.011524	-0.1971
-0.010485	-0.19655
-0.009474	-0.196183333333333
-0.008505	-0.195596666666667
-0.007508	-0.19512
-0.006526	-0.194693333333333
-0.00554	-0.194113333333333
-0.004498	-0.193673333333333
-0.003502	-0.19346
-0.002529	-0.19309
-0.001551	-0.192753333333333
-5.84E-4	-0.19231
3.76E-4	-0.191673333333333
0.001368	-0.191173333333333
0.002351	-0.190606666666667
0.00333	-0.190226666666667
0.00435	-0.189693333333333
0.005326	-0.18911
0.006328	-0.18866
0.007338	-0.187926666666667
0.008316	-0.187286666666667
0.009333	-0.186743333333333
0.010338	-0.186143333333333
0.011328	-0.1857
0.012324	-0.185256666666667
0.013312	-0.18473
0.014296	-0.184156666666667
0.015275	-0.1835
0.016267	-0.182903333333333
0.017256	-0.182326666666667
0.018266	-0.181746666666667
0.019276	-0.181373333333333
0.020286	-0.18088
0.021311	-0.180273333333333
0.022305	-0.17981
0.023309	-0.179133333333333
0.024321	-0.178416666666667
0.025291	-0.17785
0.026272	-0.177076666666667
0.027264	-0.17625
0.028248	-0.1754
0.029271	-0.17461
0.03029	-0.17392
0.031303	-0.173306666666667
0.032298	-0.172886666666667
0.033286	-0.17232
0.034282	-0.171563333333333
0.035259	-0.170943333333333
0.036251	-0.170116666666667
0.037248	-0.16923
0.038237	-0.16862
0.039249	-0.167786666666667
0.040256	-0.166956666666667
0.041241	-0.16624
0.04223	-0.165406666666667
0.043218	-0.16464
0.044217	-0.163843333333333
0.045232	-0.163006666666667
0.046252	-0.16207
0.047288	-0.16096
0.048297	-0.160073333333333
0.04929	-0.15917
0.050284	-0.158183333333333
