Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA
Ru T4 50mv/seg	Ru T4 50mv/seg	Ru T9 50mv/seg - Adsorbido	Ru T9 50mv/seg - Adsorbido	au Control	
-375.4863	-10.10672	-375.425	2.203287	-375.67	-14.257
-374.4631	-9.975668	-374.4045	2.273842	-374.6569	-14.23507
-373.455	-9.843771	-373.4348	2.34366	-373.6404	-14.21122
-372.4478	-9.723915	-372.4202	2.404284	-372.6354	-14.18819
-371.4412	-9.603475	-371.4256	2.463953	-371.6311	-14.16951
-370.4681	-9.47952	-370.4246	2.525408	-370.6368	-14.15005
-369.4708	-9.348972	-369.4127	2.589464	-369.6505	-14.1314
-368.4591	-9.198824	-368.4314	2.665347	-368.6311	-14.11058
-367.4758	-9.048092	-367.4277	2.738972	-367.6381	-14.0893
-366.4547	-8.895845	-366.4512	2.812788	-366.6487	-14.06578
-365.4424	-8.733684	-365.4194	2.889356	-365.6268	-14.0382
-364.4325	-8.586642	-364.4102	2.960307	-364.6479	-14.01218
-363.4087	-8.429009	-363.4184	3.036637	-363.6378	-13.98427
-362.4028	-8.264143	-362.4024	3.114709	-362.6078	-13.95619
-361.4019	-8.115087	-361.4217	3.184682	-361.6125	-13.93589
-360.3969	-7.956839	-360.4334	3.254732	-360.6121	-13.90865
-359.4166	-7.804538	-359.4206	3.323454	-359.601	-13.88153
-358.438	-7.658278	-358.4314	3.388561	-358.627	-13.86034
-357.4456	-7.490286	-357.4081	3.466669	-357.6447	-13.83513
-356.4754	-7.319589	-356.3993	3.544105	-356.6478	-13.81517
-355.4752	-7.142292	-355.3995	3.618933	-355.6563	-13.79307
-354.4558	-6.964456	-354.4019	3.696715	-354.6571	-13.76549
-353.4621	-6.796207	-353.4276	3.766734	-353.6523	-13.73516
-352.4483	-6.628189	-352.417	3.836901	-352.6375	-13.70429
-351.4553	-6.462903	-351.4321	3.906477	-351.6437	-13.67482
-350.4649	-6.28654	-350.4412	3.978761	-350.643	-13.64764
-349.4445	-6.089941	-349.441	4.063776	-349.6295	-13.61694
-348.4278	-5.904437	-348.4626	4.139606	-348.6347	-13.58711
-347.416	-5.711593	-347.4595	4.218741	-347.6426	-13.55193
-346.4224	-5.516664	-346.4544	4.298885	-346.6295	-13.51472
-345.4448	-5.346713	-345.4665	4.360208	-345.6498	-13.48685
-344.4613	-5.155986	-344.4706	4.438845	-344.6389	-13.45654
-343.4694	-4.963367	-343.4807	4.518316	-343.6205	-13.43095
-342.4544	-4.786563	-342.483	4.593999	-342.6388	-13.40094
-341.457	-4.596353	-341.4797	4.67886	-341.6248	-13.36528
-340.4778	-4.411533	-340.4754	4.755096	-340.6599	-13.33049
-339.4775	-4.227384	-339.4564	4.83117	-339.6908	-13.29366
-338.4834	-4.028471	-338.4466	4.909204	-338.6807	-13.25856
-337.4711	-3.817082	-337.4346	4.989124	-337.6933	-13.21923
-336.4391	-3.595683	-336.4249	5.077517	-336.6642	-13.17603
-335.4204	-3.39085	-335.4292	5.155287	-335.6489	-13.13468
-334.4271	-3.194815	-334.4409	5.22474	-334.6565	-13.09284
-333.4282	-3.000762	-333.4548	5.299328	-333.6377	-13.0512
-332.4635	-2.839547	-332.491	5.355021	-332.6449	-13.01633
-331.4988	-2.658933	-331.4828	5.422393	-331.639	-12.97682
-330.4965	-2.45881	-330.4728	5.501518	-330.6524	-12.93651
-329.5234	-2.27875	-329.4808	5.565191	-329.6707	-12.89762
-328.5248	-2.074064	-328.4706	5.642027	-328.6945	-12.85189
-327.5121	-1.860139	-327.5109	5.719505	-327.7158	-12.80485
-326.5099	-1.660838	-326.5109	5.794736	-326.7072	-12.75431
-325.5034	-1.444737	-325.5002	5.882533	-325.7073	-12.69717
-324.4771	-1.227956	-324.489	5.967181	-324.6884	-12.64182
-323.464	-1.016484	-323.4556	6.051774	-323.6724	-12.58492
-322.4621	-0.822996	-322.47	6.118441	-322.6648	-12.53097
-321.4635	-0.641784	-321.4637	6.17547	-321.6515	-12.48177
-320.4783	-0.456493	-320.4563	6.236197	-320.6711	-12.42893
-319.5045	-0.283609	-319.4791	6.287919	-319.6931	-12.38044
-318.5101	-0.088892	-318.481	6.353126	-318.6955	-12.32939
-317.4792	0.143398	-317.4767	6.438864	-317.688	-12.26846
-316.4929	0.348524	-316.4774	6.508246	-316.6709	-12.20899
-315.475	0.550457	-315.4601	6.579538	-315.6593	-12.1413
-314.4734	0.753843	-314.4242	6.654373	-314.6488	-12.0696
-313.494	0.921844	-313.4249	6.705434	-313.6561	-12.00448
-312.467	1.111507	-312.4382	6.765193	-312.6511	-11.93307
-311.4614	1.317183	-311.4229	6.83146	-311.6335	-11.8641
-310.4646	1.518553	-310.4325	6.891225	-310.6317	-11.79191
-309.4633	1.71467	-309.4396	6.952569	-309.6173	-11.71202
-308.4708	1.899433	-308.4287	7.008815	-308.6176	-11.64077
-307.4794	2.075942	-307.4221	7.062681	-307.6245	-11.56793
-306.4774	2.246066	-306.4475	7.111707	-306.6301	-11.49549
-305.4908	2.424672	-305.4326	7.161623	-305.6635	-11.42114
-304.4755	2.620674	-304.4329	7.222089	-304.6411	-11.33575
-303.4782	2.799335	-303.4555	7.267979	-303.6469	-11.2488
-302.4958	2.96865	-302.477	7.305444	-302.6495	-11.16144
-301.4694	3.154414	-301.4832	7.352961	-301.617	-11.07
-300.4877	3.310274	-300.4922	7.383327	-300.6285	-10.98896
-299.4805	3.485009	-299.4775	7.424274	-299.6289	-10.89614
-298.4642	3.689434	-298.4392	7.484353	-298.623	-10.79361
-297.476	3.870893	-297.441	7.534596	-297.655	-10.69091
-296.4853	4.061413	-296.4218	7.591298	-296.6844	-10.57476
-295.4782	4.244403	-295.4314	7.64186	-295.6666	-10.46461
-294.502	4.404242	-294.4501	7.676564	-294.6839	-10.36109
-293.5186	4.585801	-293.4627	7.711031	-293.6572	-10.25402
-292.501	4.758867	-292.4971	7.737329	-292.6378	-10.14379
-291.5327	4.935774	-291.5169	7.767408	-291.6391	-10.02973
-290.512	5.109741	-290.5201	7.797819	-290.6241	-9.912502
-289.519	5.260204	-289.5272	7.822066	-289.6519	-9.792236
-288.5453	5.435078	-288.509	7.858463	-288.6619	-9.667059
-287.536	5.613969	-287.4918	7.896131	-287.6768	-9.535742
