Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 4 - 0.315mM	Adsorbido 4 - 0.315mM	Ru 0.315mM - Au Desnudo	Ru 0.315mM - Au Desnudo
-512.66	-0.99346	-512.6316	-1.165286	-512.6112	-2.192756	-512.6426	-1.003178	-512.6744	-0.456917	-512.6511	-0.721722	-512.6936	-1.021092
-511.6904	-0.987791	-511.666	-1.157739	-511.6156	-2.175152	-511.6483	-0.989057	-511.685	-0.445649	-511.6606	-0.708562	-511.6987	-1.016648
-510.7153	-0.982583	-510.6921	-1.149822	-510.6161	-2.157484	-510.6561	-0.9694	-510.7014	-0.433567	-510.6373	-0.69368	-510.7106	-1.01185
-509.7187	-0.97657	-509.6956	-1.141773	-509.6157	-2.139481	-509.6421	-0.954996	-509.6848	-0.41993	-509.6473	-0.677252	-509.7031	-1.006562
-508.7414	-0.971835	-508.6865	-1.133821	-508.6261	-2.123189	-508.6646	-0.940709	-508.6774	-0.407988	-508.6354	-0.663135	-508.6824	-1.002755
-507.7502	-0.966826	-507.6844	-1.125867	-507.6436	-2.106062	-507.684	-0.926817	-507.6788	-0.394845	-507.6429	-0.648412	-507.6913	-0.998303
-506.724	-0.960685	-506.6886	-1.117939	-506.6466	-2.088681	-506.6787	-0.910415	-506.6686	-0.380553	-506.6727	-0.634707	-506.6989	-0.993064
-505.7318	-0.95613	-505.6692	-1.11052	-505.6711	-2.072505	-505.695	-0.89322	-505.6782	-0.367809	-505.6782	-0.622586	-505.7196	-0.989536
-504.7332	-0.949939	-504.6671	-1.101497	-504.6639	-2.054026	-504.6826	-0.871652	-504.6926	-0.352845	-504.6865	-0.607676	-504.746	-0.983893
-503.7192	-0.944316	-503.67	-1.092782	-503.6665	-2.035854	-503.6516	-0.848017	-503.694	-0.33716	-503.6712	-0.59258	-503.7472	-0.978697
-502.737	-0.939766	-502.6666	-1.083459	-502.6599	-2.017536	-502.6496	-0.824965	-502.6918	-0.322304	-502.6702	-0.57916	-502.7251	-0.974441
-501.7348	-0.934011	-501.6666	-1.074569	-501.6581	-1.998616	-501.6491	-0.799399	-501.6854	-0.307111	-501.6673	-0.565657	-501.7063	-0.96903
-500.7305	-0.928442	-500.6749	-1.066904	-500.6611	-1.980982	-500.6739	-0.774321	-500.6777	-0.292548	-500.6931	-0.553263	-500.7014	-0.965026
-499.7425	-0.923089	-499.6692	-1.058709	-499.6649	-1.964316	-499.6982	-0.760711	-499.679	-0.278309	-499.691	-0.541627	-499.7289	-0.959581
-498.7395	-0.917402	-498.6712	-1.05074	-498.6693	-1.946301	-498.7146	-0.752331	-498.6808	-0.265409	-498.6904	-0.527949	-498.7421	-0.954283
-497.7488	-0.911865	-497.6949	-1.042698	-497.6601	-1.928703	-497.7194	-0.749093	-497.6825	-0.253105	-497.6939	-0.513281	-497.7566	-0.949765
-496.7384	-0.90617	-496.6982	-1.033785	-496.6533	-1.909931	-496.6976	-0.745613	-496.679	-0.240295	-496.6647	-0.497887	-496.7387	-0.945305
-495.7318	-0.900784	-495.7095	-1.025547	-495.6523	-1.891504	-495.6921	-0.732965	-495.6765	-0.229565	-495.679	-0.484174	-495.7229	-0.941773
-494.7494	-0.895615	-494.7104	-1.01712	-494.6764	-1.874601	-494.6795	-0.717535	-494.6915	-0.217972	-494.6822	-0.471521	-494.7313	-0.937851
-493.7344	-0.890373	-493.7235	-1.007566	-493.6745	-1.855842	-493.6776	-0.700897	-493.7003	-0.205044	-493.6652	-0.459061	-493.7389	-0.933208
-492.7315	-0.885704	-492.7342	-0.999119	-492.6942	-1.838447	-492.691	-0.688787	-492.7038	-0.194591	-492.6837	-0.449112	-492.7502	-0.92946
-491.7332	-0.880678	-491.7035	-0.990596	-491.6808	-1.819677	-491.709	-0.674727	-491.7124	-0.182958	-491.6933	-0.43692	-491.7413	-0.924344
-490.7085	-0.874386	-490.6922	-0.981213	-490.6584	-1.799339	-490.7005	-0.65956	-490.689	-0.169803	-490.6783	-0.424318	-490.7284	-0.91848
-489.7123	-0.869313	-489.6714	-0.97308	-489.6795	-1.782753	-489.7041	-0.646176	-489.6813	-0.157897	-489.7041	-0.414044	-489.7214	-0.913059
-488.7333	-0.863601	-488.676	-0.964069	-488.6791	-1.765309	-488.7067	-0.631666	-488.6895	-0.142336	-488.6983	-0.402142	-488.7481	-0.906616
-487.7194	-0.857732	-487.6941	-0.955583	-487.6881	-1.74771	-487.6895	-0.616836	-487.68	-0.124935	-487.692	-0.390226	-487.7592	-0.902162
-486.7361	-0.853422	-486.7167	-0.948136	-486.7016	-1.732077	-486.7078	-0.603846	-486.7083	-0.116716	-486.6959	-0.379412	-486.7576	-0.899206
-485.7404	-0.847624	-485.7234	-0.939303	-485.6829	-1.712562	-485.7194	-0.587949	-485.7244	-0.112609	-485.6837	-0.367401	-485.7505	-0.89445
-484.7234	-0.842469	-484.7139	-0.931153	-484.6925	-1.694261	-484.721	-0.57083	-484.7375	-0.112031	-484.681	-0.354901	-484.7502	-0.890701
-483.7195	-0.837389	-483.7165	-0.9213	-483.6891	-1.675373	-483.7132	-0.554617	-483.7287	-0.113187	-483.6696	-0.343873	-483.7437	-0.886333
-482.7245	-0.831764	-482.7031	-0.912329	-482.6946	-1.656901	-482.7194	-0.53835	-482.7109	-0.108094	-482.6861	-0.333574	-482.7621	-0.882462
-481.7375	-0.826787	-481.714	-0.903729	-481.7156	-1.640291	-481.7274	-0.523769	-481.6969	-0.100345	-481.6883	-0.323326	-481.7854	-0.879588
-480.7458	-0.820864	-480.722	-0.89448	-480.7088	-1.622867	-480.7394	-0.509355	-480.6778	-0.091578	-480.691	-0.313041	-480.7728	-0.874437
-479.7707	-0.815592	-479.7425	-0.886211	-479.7301	-1.606129	-479.756	-0.495835	-479.7159	-0.085036	-479.7303	-0.303125	-479.7704	-0.869738
-478.754	-0.810375	-478.7488	-0.876224	-478.7043	-1.587733	-478.7461	-0.480996	-478.7343	-0.075499	-478.7462	-0.291206	-478.7727	-0.865573
-477.7527	-0.804561	-477.7377	-0.866752	-477.6772	-1.567379	-477.7024	-0.463795	-477.7294	-0.062683	-477.7403	-0.276276	-477.7471	-0.861573
-476.7543	-0.800457	-476.7397	-0.85802	-476.6662	-1.548189	-476.6578	-0.448571	-476.7288	-0.05129	-476.7221	-0.26354	-476.7501	-0.86084
-475.7443	-0.794918	-475.7223	-0.849009	-475.6284	-1.5294	-475.6549	-0.433229	-475.6942	-0.037805	-475.6807	-0.250508	-475.7498	-0.858384
-474.7454	-0.789616	-474.7238	-0.840726	-474.6337	-1.510726	-474.6526	-0.418431	-474.6881	-0.025942	-474.6622	-0.239485	-474.7409	-0.85349
-473.7385	-0.78499	-473.7331	-0.832355	-473.6565	-1.494284	-473.6872	-0.406568	-473.7261	-0.017195	-473.6819	-0.229898	-473.7507	-0.850197
-472.7212	-0.778806	-472.7346	-0.823937	-472.6679	-1.475159	-472.6962	-0.393799	-472.743	-0.007667	-472.692	-0.218621	-472.7585	-0.846098
-471.7146	-0.773833	-471.7407	-0.815162	-471.6955	-1.455167	-471.6835	-0.379097	-471.7549	0.00144	-471.709	-0.207118	-471.7515	-0.843197
-470.7027	-0.768819	-470.7459	-0.806653	-470.6945	-1.436329	-470.6803	-0.365268	-470.7479	0.009662	-470.7079	-0.194765	-470.7438	-0.840764
