Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 3 - 31.5uM	Ciclado - 20 ciclos 3 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 4  - 31.5uM	Adsorbido 4  - 31.5uM	Ru 31.5uM - Au Desnudo	Ru 31.5uM - Au Desnudo
-547.6573	-1.519917	-547.6597	-1.147177	-547.6349	-1.302295	-547.6313	-2.348295	-547.6851	-2.105049	-547.6892	-2.129725	-547.6443	-1.941841	-547.6914	-1.190974
-546.6647	-1.511226	-546.6548	-1.142916	-546.6188	-1.296146	-546.6539	-2.339442	-546.6542	-2.096254	-546.6787	-2.121504	-546.662	-1.935128	-546.7043	-1.186424
-545.6682	-1.503462	-545.6649	-1.137744	-545.6242	-1.289993	-545.6519	-2.330923	-545.6383	-2.087992	-545.6707	-2.114988	-545.6781	-1.927117	-545.6913	-1.181489
-544.6839	-1.495258	-544.6765	-1.132554	-544.6234	-1.284308	-544.672	-2.321795	-544.6226	-2.080203	-544.6697	-2.107811	-544.684	-1.919321	-544.6873	-1.175903
-543.7023	-1.487475	-543.6906	-1.1279	-543.6321	-1.278534	-543.662	-2.313435	-543.6381	-2.072561	-543.6679	-2.100614	-543.6945	-1.911833	-543.6904	-1.170918
-542.6841	-1.480666	-542.6906	-1.123388	-542.6427	-1.273466	-542.6455	-2.303753	-542.6644	-2.063642	-542.6772	-2.092823	-542.6724	-1.903379	-542.6792	-1.165655
-541.6771	-1.473394	-541.6787	-1.119627	-541.6465	-1.268926	-541.6371	-2.293058	-541.6632	-2.053724	-541.6626	-2.082836	-541.637	-1.895792	-541.6699	-1.160464
-540.6549	-1.466898	-540.6827	-1.116173	-540.6411	-1.264212	-540.6185	-2.283703	-540.6805	-2.045686	-540.6581	-2.074364	-540.6319	-1.88783	-540.6743	-1.155815
-539.6332	-1.460747	-539.6754	-1.112346	-539.6333	-1.258724	-539.6218	-2.27341	-539.6731	-2.036461	-539.6658	-2.065521	-539.6395	-1.881191	-539.6802	-1.150954
-538.6474	-1.453671	-538.6545	-1.108151	-538.6293	-1.253901	-538.622	-2.263481	-538.6682	-2.02712	-538.6658	-2.056232	-538.6374	-1.872227	-538.6853	-1.144852
-537.6641	-1.446211	-537.6528	-1.103964	-537.6394	-1.249322	-537.6425	-2.254893	-537.6759	-2.018068	-537.6869	-2.048138	-537.6554	-1.865038	-537.7047	-1.140139
-536.6799	-1.438176	-536.6584	-1.099692	-536.6429	-1.244034	-536.6557	-2.244506	-536.6826	-2.007221	-536.6982	-2.039028	-536.6782	-1.858145	-536.7195	-1.13439
-535.6936	-1.429253	-535.6566	-1.095047	-535.6536	-1.23934	-535.6682	-2.233911	-535.6778	-1.997699	-535.6769	-2.030307	-535.6805	-1.848089	-535.7157	-1.129303
-534.6857	-1.421577	-534.6766	-1.090615	-534.6671	-1.23357	-534.6538	-2.224394	-534.6613	-1.988518	-534.6852	-2.021659	-534.6838	-1.841282	-534.712	-1.125563
-533.7087	-1.414231	-533.6934	-1.085562	-533.6632	-1.226504	-533.644	-2.214691	-533.666	-1.980494	-533.6816	-2.01368	-533.7023	-1.832151	-533.7098	-1.121388
-532.705	-1.407025	-532.6901	-1.079538	-532.6738	-1.221158	-532.6508	-2.206533	-532.6606	-1.972932	-532.6819	-2.00657	-532.7047	-1.822962	-532.6999	-1.117133
-531.7012	-1.399465	-531.6921	-1.074442	-531.6692	-1.216122	-531.6652	-2.198605	-531.6705	-1.964591	-531.7061	-1.999365	-531.7131	-1.815264	-531.702	-1.112698
-530.7178	-1.391959	-530.6921	-1.069615	-530.6779	-1.211659	-530.6755	-2.189463	-530.684	-1.956903	-530.6951	-1.992408	-530.7168	-1.806532	-530.6992	-1.108084
-529.6945	-1.384583	-529.6924	-1.065199	-529.6726	-1.208005	-529.6754	-2.179978	-529.6948	-1.948587	-529.7194	-1.984773	-529.7041	-1.79852	-529.6934	-1.102257
-528.6855	-1.376768	-528.6904	-1.061509	-528.6329	-1.202487	-528.6781	-2.169408	-528.6971	-1.939634	-528.706	-1.975831	-528.663	-1.789937	-528.6628	-1.096734
-527.6856	-1.370523	-527.6971	-1.058529	-527.6235	-1.197946	-527.6563	-2.159423	-527.709	-1.932374	-527.6656	-1.967229	-527.6301	-1.782521	-527.6592	-1.091198
-526.6718	-1.363515	-526.6901	-1.054797	-526.6187	-1.192692	-526.668	-2.150471	-526.7108	-1.923772	-526.6566	-1.957919	-526.6299	-1.774754	-526.6509	-1.085643
-525.6843	-1.356805	-525.6788	-1.050692	-525.6267	-1.186683	-525.6469	-2.141023	-525.6851	-1.91461	-525.6226	-1.948906	-525.6223	-1.766297	-525.6489	-1.081745
-524.699	-1.350975	-524.6804	-1.046853	-524.6614	-1.182954	-524.6429	-2.131653	-524.6967	-1.906342	-524.6396	-1.940935	-524.6688	-1.759511	-524.655	-1.078392
-523.7063	-1.343805	-523.6662	-1.041233	-523.6812	-1.177117	-523.6459	-2.121675	-523.6852	-1.896601	-523.6899	-1.931707	-523.6901	-1.750127	-523.6613	-1.075138
-522.7059	-1.337572	-522.6588	-1.035363	-522.6583	-1.170863	-522.611	-2.110755	-522.6681	-1.886784	-522.6815	-1.922644	-522.6824	-1.741036	-522.6766	-1.07073
-521.6867	-1.330949	-521.6531	-1.030616	-521.659	-1.165949	-521.6285	-2.100919	-521.6829	-1.878396	-521.6889	-1.914486	-521.6874	-1.732905	-521.6799	-1.066462
-520.6811	-1.322823	-520.6728	-1.025632	-520.64	-1.158713	-520.6404	-2.092118	-520.664	-1.869767	-520.6686	-1.906202	-520.6755	-1.724361	-520.6796	-1.0609
-519.6573	-1.31496	-519.6747	-1.020839	-519.6195	-1.152193	-519.6305	-2.083872	-519.6471	-1.861419	-519.6511	-1.898635	-519.6669	-1.71671	-519.67	-1.055319
-518.6642	-1.306227	-518.6924	-1.017014	-518.6254	-1.147723	-518.6608	-2.075208	-518.6619	-1.854435	-518.6698	-1.891986	-518.6642	-1.709668	-518.6624	-1.050734
-517.668	-1.298638	-517.6779	-1.012589	-517.6328	-1.142755	-517.6537	-2.066293	-517.6504	-1.846354	-517.6553	-1.884143	-517.6589	-1.702483	-517.657	-1.045091
-516.6533	-1.292823	-516.6294	-1.008317	-516.636	-1.138236	-516.6363	-2.057024	-516.6267	-1.8382	-516.6578	-1.875793	-516.6513	-1.694942	-516.6509	-1.04066
-515.6631	-1.287572	-515.6163	-1.004324	-515.6088	-1.133255	-515.6207	-2.047142	-515.613	-1.829362	-515.6376	-1.867841	-515.6422	-1.687232	-515.6384	-1.035802
-514.6287	-1.282888	-514.6089	-1.000076	-514.6157	-1.127745	-514.6146	-2.038198	-514.6006	-1.820491	-514.6159	-1.859331	-514.6466	-1.679614	-514.6126	-1.03147
-513.627	-1.277542	-513.627	-0.995888	-513.6107	-1.122436	-513.6082	-2.028495	-513.5881	-1.812846	-513.6398	-1.85043	-513.6454	-1.671839	-513.6234	-1.027346
-512.6348	-1.271011	-512.6449	-0.990946	-512.6038	-1.116276	-512.6064	-2.017904	-512.6136	-1.804979	-512.6272	-1.842352	-512.6448	-1.663201	-512.6415	-1.022785
-511.632	-1.264428	-511.6454	-0.986357	-511.6342	-1.111797	-511.6176	-2.008364	-511.6575	-1.797828	-511.6523	-1.833141	-511.6476	-1.65507	-511.6578	-1.018778
-510.6482	-1.25719	-510.6527	-0.981737	-510.6345	-1.106256	-510.6156	-1.998446	-510.6652	-1.790075	-510.6624	-1.824048	-510.6414	-1.646505	-510.7027	-1.014237
-509.6438	-1.249032	-509.6412	-0.97656	-509.6359	-1.100465	-509.6237	-1.98907	-509.6649	-1.780346	-509.6576	-1.814955	-509.6412	-1.637244	-509.6769	-1.009477
-508.647	-1.242336	-508.6485	-0.972853	-508.6453	-1.095648	-508.6185	-1.980834	-508.674	-1.771116	-508.6505	-1.806413	-508.6373	-1.629358	-508.6739	-1.005498
-507.6684	-1.235632	-507.673	-0.968517	-507.6646	-1.089534	-507.6336	-1.972337	-507.6557	-1.762349	-507.6516	-1.79887	-507.6514	-1.621523	-507.6682	-1.001644
-506.664	-1.228685	-506.6747	-0.962948	-506.6554	-1.085291	-506.6391	-1.964077	-506.649	-1.753719	-506.6788	-1.791414	-506.6661	-1.613402	-506.6402	-0.997586
-505.6686	-1.22409	-505.6959	-0.958121	-505.6412	-1.079829	-505.6492	-1.956228	-505.6709	-1.746719	-505.6764	-1.784233	-505.6744	-1.606364	-505.6506	-0.994016
-504.6553	-1.218045	-504.694	-0.953168	-504.644	-1.074784	-504.6781	-1.947661	-504.6681	-1.739353	-504.7054	-1.776769	-504.6916	-1.598655	-504.6582	-0.989891
-503.6359	-1.210797	-503.6902	-0.948892	-503.6224	-1.069977	-503.676	-1.938803	-503.6572	-1.730574	-503.6913	-1.768443	-503.6871	-1.590565	-503.6594	-0.985024
-502.6442	-1.205369	-502.6786	-0.945522	-502.6176	-1.064376	-502.6923	-1.929828	-502.6788	-1.722108	-502.6879	-1.759475	-502.6841	-1.581813	-502.6535	-0.980319
-501.6383	-1.197854	-501.6701	-0.942214	-501.6152	-1.059928	-501.693	-1.9201	-501.6736	-1.713788	-501.7006	-1.750333	-501.6801	-1.572526	-501.662	-0.974821
-500.6556	-1.190602	-500.685	-0.938205	-500.6187	-1.055235	-500.6769	-1.910564	-500.6699	-1.705305	-500.7008	-1.74073	-500.6592	-1.563654	-500.6617	-0.96944
-499.6689	-1.185209	-499.6844	-0.933687	-499.6258	-1.050174	-499.674	-1.900668	-499.6862	-1.698007	-499.7177	-1.73138	-499.6707	-1.554604	-499.662	-0.964401
-498.6902	-1.178436	-498.6813	-0.929139	-498.6331	-1.044609	-498.6662	-1.890594	-498.6754	-1.689438	-498.7019	-1.722994	-498.6836	-1.546136	-498.6817	-0.960224
-497.6952	-1.171523	-497.6906	-0.924449	-497.6612	-1.038741	-497.6578	-1.881246	-497.6874	-1.679979	-497.7071	-1.715297	-497.6983	-1.537438	-497.6823	-0.956067
-496.6824	-1.164638	-496.6846	-0.918813	-496.6487	-1.031998	-496.6476	-1.871987	-496.6805	-1.671147	-496.7094	-1.70681	-496.6998	-1.528286	-496.673	-0.952198
-495.6869	-1.15764	-495.6925	-0.913152	-495.652	-1.026393	-495.6515	-1.862668	-495.6659	-1.662532	-495.7099	-1.698703	-495.7031	-1.519771	-495.6628	-0.945378
-494.6736	-1.150104	-494.7215	-0.906994	-494.6626	-1.020939	-494.6445	-1.854427	-494.6625	-1.654873	-494.7164	-1.689792	-494.6906	-1.512224	-494.6461	-0.938407
-493.6801	-1.143931	-493.717	-0.900577	-493.6412	-1.015711	-493.6514	-1.845108	-493.6639	-1.647469	-493.7009	-1.680805	-493.6848	-1.504738	-493.6377	-0.935789
-492.6902	-1.137831	-492.7046	-0.896471	-492.6627	-1.011889	-492.6596	-1.836308	-492.6773	-1.640195	-492.6957	-1.672836	-492.6969	-1.497658	-492.6518	-0.933307
-491.6802	-1.131375	-491.6936	-0.892693	-491.6635	-1.006296	-491.6434	-1.827076	-491.683	-1.632138	-491.689	-1.66391	-491.6808	-1.489364	-491.6589	-0.934113
-490.6745	-1.126128	-490.6646	-0.88987	-490.6592	-1.000998	-490.6552	-1.816459	-490.6909	-1.623742	-490.675	-1.654817	-490.6721	-1.480064	-490.6654	-0.933654
-489.6667	-1.120672	-489.6751	-0.886911	-489.684	-0.996084	-489.6478	-1.806633	-489.6783	-1.615739	-489.6622	-1.646107	-489.6478	-1.471176	-489.6634	-0.929918
-488.6926	-1.115464	-488.6883	-0.882724	-488.6771	-0.990322	-488.6558	-1.796799	-488.6822	-1.606835	-488.6756	-1.636517	-488.638	-1.461656	-488.6638	-0.925945
-487.7073	-1.109844	-487.701	-0.878464	-487.6561	-0.98473	-487.6605	-1.787259	-487.7029	-1.597154	-487.6569	-1.628035	-487.6377	-1.453873	-487.6605	-0.922522
-486.7181	-1.104219	-486.7275	-0.874172	-486.6555	-0.97927	-486.6524	-1.777992	-486.6935	-1.588189	-486.6781	-1.619648	-486.6411	-1.446001	-486.6714	-0.919926
-485.7262	-1.097348	-485.7259	-0.8694	-485.6323	-0.97311	-485.6757	-1.768114	-485.6982	-1.578156	-485.694	-1.610157	-485.6742	-1.437283	-485.6884	-0.915722
-484.7043	-1.090647	-484.7299	-0.864811	-484.6213	-0.966991	-484.6792	-1.757693	-484.6905	-1.568339	-484.6935	-1.601521	-484.6898	-1.428401	-484.6972	-0.911529
-483.6875	-1.084191	-483.7181	-0.860113	-483.6313	-0.961115	-483.7097	-1.748482	-483.6732	-1.56035	-483.711	-1.592719	-483.7051	-1.419238	-483.7056	-0.905806
-482.6824	-1.07744	-482.7185	-0.854822	-482.6453	-0.954683	-482.7372	-1.739899	-482.6808	-1.551648	-482.7037	-1.584183	-482.7183	-1.410751	-482.728	-0.89992
-481.6907	-1.071052	-481.7212	-0.851102	-481.6503	-0.948656	-481.735	-1.731222	-481.6922	-1.54356	-481.7049	-1.576905	-481.7104	-1.403059	-481.7203	-0.89524
-480.7	-1.064267	-480.7191	-0.846973	-480.6568	-0.943383	-480.7472	-1.72247	-480.7135	-1.535468	-480.6928	-1.568192	-480.6913	-1.395616	-480.7076	-0.890261
-479.7117	-1.058676	-479.7326	-0.843022	-479.6741	-0.938754	-479.7401	-1.713401	-479.7302	-1.526806	-479.7095	-1.55913	-479.6798	-1.387735	-479.7144	-0.885136
-478.7055	-1.053138	-478.7098	-0.839453	-478.6617	-0.934075	-478.7065	-1.703685	-478.7322	-1.517956	-478.7102	-1.550119	-478.684	-1.378969	-478.6982	-0.879491
-477.6967	-1.04768	-477.6959	-0.834274	-477.6586	-0.928039	-477.6783	-1.694412	-477.7212	-1.507884	-477.7082	-1.540282	-477.66	-1.369658	-477.6914	-0.872875
-476.6787	-1.042947	-476.6778	-0.829734	-476.6704	-0.922405	-476.6702	-1.686373	-476.6908	-1.498838	-476.7112	-1.531894	-476.6782	-1.361717	-476.6848	-0.868826
-475.6843	-1.036443	-475.6859	-0.824862	-475.6676	-0.916133	-475.6817	-1.677642	-475.6569	-1.489509	-475.7038	-1.522996	-475.6898	-1.353622	-475.6854	-0.866483
-474.6905	-1.029815	-474.704	-0.820163	-474.6694	-0.90982	-474.6835	-1.668457	-474.6512	-1.479559	-474.7119	-1.514314	-474.69	-1.345606	-474.6871	-0.866086
-473.6999	-1.023559	-473.7094	-0.816509	-473.6776	-0.905366	-473.6871	-1.659147	-473.6635	-1.471483	-473.7349	-1.506277	-473.7106	-1.337921	-473.7065	-0.868449
-472.7041	-1.017619	-472.722	-0.811688	-472.6704	-0.899041	-472.667	-1.648506	-472.6691	-1.461808	-472.7327	-1.497858	-472.7131	-1.32875	-472.7106	-0.868343
-471.6888	-1.012029	-471.7078	-0.807025	-471.6612	-0.892314	-471.6519	-1.638562	-471.6916	-1.451742	-471.7226	-1.491022	-471.7056	-1.319699	-471.7226	-0.86761
-470.6858	-1.00618	-470.7005	-0.802177	-470.6686	-0.885576	-470.649	-1.63005	-470.6994	-1.442905	-470.7194	-1.482893	-470.7022	-1.311152	-470.7241	-0.865385
