Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-550.7875	-2.874934	-550.7976	-1.450401	-550.7803	-2.599919	-550.8109	-2.053968	-550.7943	-2.265805	-550.9443	-2.112015
-549.7762	-2.866843	-549.8019	-1.445584	-549.776	-2.595812	-549.8149	-2.047651	-549.7955	-2.258355	-549.9464	-2.100974
-548.7636	-2.858336	-548.7861	-1.440215	-548.7933	-2.588595	-548.799	-2.041693	-548.787	-2.251215	-548.9587	-2.089349
-547.7604	-2.849356	-547.7813	-1.434809	-547.7978	-2.582629	-547.7874	-2.033783	-547.7727	-2.244623	-547.9792	-2.082002
-546.7906	-2.842116	-546.7709	-1.433054	-546.8076	-2.577329	-546.7775	-2.027227	-546.74	-2.239049	-546.9823	-2.072021
-545.8326	-2.834348	-545.7534	-1.427585	-545.8049	-2.570158	-545.772	-2.020689	-545.7478	-2.232493	-545.9919	-2.065321
-544.8484	-2.826907	-544.7454	-1.422892	-544.8091	-2.563104	-544.758	-2.013106	-544.749	-2.225652	-544.9857	-2.05646
-543.8477	-2.819962	-543.7508	-1.419799	-543.797	-2.555012	-543.7577	-2.00718	-543.7539	-2.219732	-543.9612	-2.044238
-542.8492	-2.814226	-542.7599	-1.41422	-542.7694	-2.547191	-542.7449	-1.999144	-542.7597	-2.212595	-542.9484	-2.034924
-541.8013	-2.803576	-541.7449	-1.410645	-541.7505	-2.539186	-541.7307	-1.991944	-541.7462	-2.203876	-541.9258	-2.020463
-540.8138	-2.798156	-540.7663	-1.405877	-540.7402	-2.532687	-540.7311	-1.986269	-540.7537	-2.198023	-540.899	-2.013514
-539.8116	-2.789428	-539.753	-1.402578	-539.7389	-2.52579	-539.7321	-1.981087	-539.767	-2.189542	-539.9086	-2.002214
-538.8104	-2.77946	-538.7545	-1.39846	-538.7313	-2.51901	-538.7356	-1.974524	-538.7655	-2.182063	-538.914	-1.989099
-537.8508	-2.773646	-537.7942	-1.395876	-537.7711	-2.512037	-537.7402	-1.969217	-537.7953	-2.177021	-537.9342	-1.981374
-536.8469	-2.761093	-536.7815	-1.390508	-536.7776	-2.504964	-536.7649	-1.962238	-536.8061	-2.168583	-536.9546	-1.974329
-535.8587	-2.755009	-535.7784	-1.383986	-535.7843	-2.497963	-535.7756	-1.955707	-535.7902	-2.16082	-535.9582	-1.965004
-534.8514	-2.746885	-534.7592	-1.378681	-534.7928	-2.49084	-534.7965	-1.949757	-534.7932	-2.15354	-534.9926	-1.958529
