Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-558.6819	-5.286866	-558.6685	-1.065171	-558.6202	-3.865946	-558.6569	-2.077615	-558.7028	-3.014097	-558.6843	-2.612118	-558.6943	-1.972086	-558.6904	-2.551673	-558.7474	-2.868165
-557.6692	-5.274735	-557.6718	-1.035159	-557.6298	-3.841861	-557.6633	-2.049287	-557.7133	-2.983509	-557.6687	-2.584965	-557.672	-1.94225	-557.6805	-2.522803	-557.7184	-2.854922
-556.6693	-5.263907	-556.6663	-1.007879	-556.6494	-3.819981	-556.6649	-2.022872	-556.7344	-2.954362	-556.6671	-2.555793	-556.7037	-1.915467	-556.69	-2.496046	-556.7389	-2.847086
-555.7021	-5.251046	-555.6605	-0.978926	-555.6617	-3.795964	-555.688	-1.996697	-555.7028	-2.922765	-555.6685	-2.524532	-555.7224	-1.887012	-555.6847	-2.46712	-555.7474	-2.836601
-554.6701	-5.238793	-554.6598	-0.94769	-554.6706	-3.77185	-554.6793	-1.968663	-554.6738	-2.891551	-554.6596	-2.490133	-554.7176	-1.858132	-554.6693	-2.438112	-554.7423	-2.819497
-553.6519	-5.22673	-553.6485	-0.918394	-553.6696	-3.748773	-553.6673	-1.942681	-553.6715	-2.860601	-553.6875	-2.44957	-553.7347	-1.831743	-553.6889	-2.410748	-553.7571	-2.804928
-552.6411	-5.213264	-552.6358	-0.886527	-552.6531	-3.723467	-552.6691	-1.91509	-552.666	-2.828747	-552.7117	-2.42304	-552.7198	-1.803888	-552.6835	-2.38273	-552.7381	-2.785361
-551.6196	-5.201331	-551.6271	-0.856055	-551.6553	-3.700424	-551.6467	-1.887273	-551.6666	-2.798086	-551.7095	-2.40587	-551.7083	-1.777983	-551.6976	-2.35674	-551.752	-2.768061
-550.6409	-5.189772	-550.6231	-0.826746	-550.6644	-3.67749	-550.6586	-1.86177	-550.6876	-2.767561	-550.7245	-2.393318	-550.6995	-1.75396	-550.716	-2.330962	-550.7448	-2.754067
-549.6622	-5.177302	-549.6277	-0.795818	-549.6656	-3.651999	-549.6636	-1.834012	-549.702	-2.736242	-549.7247	-2.384201	-549.7029	-1.727436	-549.7063	-2.304881	-549.7394	-2.737798
