Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 2 - 6.3mM	Adsorbido 2 - 6.3mM	Ru 6.3mM Au Desnudo	Ru 6.3mM Au Desnudo
-445.8989	-3.358754	-445.7833	-4.561496	-445.8204	-3.245347	-445.831	-1.451151	-445.8325	-8.032269
-444.9066	-3.35552	-444.7899	-4.532701	-444.8428	-3.222013	-444.8479	-1.433851	-444.8218	-8.023804
-443.9147	-3.354118	-443.786	-4.495769	-443.8384	-3.194051	-443.8626	-1.415677	-443.8251	-8.018332
-442.901	-3.349822	-442.7881	-4.464641	-442.8349	-3.164186	-442.8733	-1.395331	-442.8414	-8.006999
-441.9071	-3.340999	-441.8061	-4.435835	-441.8435	-3.137728	-441.8471	-1.372142	-441.8448	-8.000051
-440.8819	-3.326344	-440.8017	-4.403855	-440.8318	-3.107444	-440.8335	-1.345454	-440.866	-7.993438
-439.8621	-3.315691	-439.797	-4.372603	-439.8193	-3.078324	-439.8181	-1.318991	-439.8515	-7.982774
-438.8564	-3.30613	-438.795	-4.336811	-438.8252	-3.05141	-438.7863	-1.292765	-438.828	-7.977526
-437.8574	-3.300887	-437.7953	-4.297973	-437.84	-3.026968	-437.8103	-1.269431	-437.8029	-7.969869
-436.8677	-3.295583	-436.7908	-4.262531	-436.8586	-3.003358	-436.8311	-1.249483	-436.786	-7.961659
-435.8838	-3.283899	-435.7886	-4.233449	-435.8684	-2.977925	-435.8541	-1.221474	-435.7991	-7.956674
-434.8953	-3.26895	-434.7886	-4.204301	-434.8749	-2.953629	-434.8753	-1.193354	-434.8195	-7.950268
-433.939	-3.258677	-433.7865	-4.18383	-433.8824	-2.92274	-433.8745	-1.168386	-433.8267	-7.945652
-432.9432	-3.250922	-432.781	-4.163785	-432.8565	-2.889829	-432.8558	-1.138294	-432.8251	-7.940721
-431.9322	-3.251006	-431.8176	-4.141071	-431.8588	-2.861686	-431.8416	-1.113962	-431.8349	-7.936761
-430.9281	-3.253057	-430.8314	-4.117095	-430.876	-2.832993	-430.8369	-1.090214	-430.8389	-7.932061
-429.9186	-3.243968	-429.8291	-4.090196	-429.859	-2.801767	-429.8132	-1.0598	-429.8448	-7.922982
-428.9227	-3.235481	-428.8535	-4.06233	-428.8753	-2.775383	-428.8342	-1.031018	-428.8761	-7.9188
-427.9352	-3.226874	-427.8085	-4.030035	-427.8871	-2.74666	-427.8188	-1.000423	-427.8707	-7.912504
-426.9333	-3.217636	-426.7884	-4.000652	-426.8515	-2.710477	-426.8107	-0.970944	-426.8708	-7.904339
-425.8993	-3.212983	-425.7872	-3.970553	-425.8567	-2.679313	-425.8302	-0.943319	-425.8666	-7.897538
-424.8911	-3.208038	-424.7759	-3.944237	-424.8545	-2.647535	-424.8179	-0.914215	-424.8481	-7.887012
-423.8919	-3.197885	-423.7896	-3.925534	-423.8387	-2.614475	-423.8356	-0.881969	-423.8403	-7.880236
-422.8856	-3.190349	-422.8131	-3.909202	-422.8484	-2.585088	-422.8386	-0.843929	-422.8318	-7.873657
-421.894	-3.188423	-421.8356	-3.895459	-421.8457	-2.554528	-421.8427	-0.80446	-421.828	-7.865737
-420.8838	-3.186038	-420.8547	-3.879179	-420.8408	-2.520428	-420.8276	-0.766839	-420.8237	-7.859451
-419.8678	-3.188242	-419.8709	-3.860367	-419.8286	-2.48128	-419.7996	-0.73234	-419.8034	-7.851507
-418.8746	-3.193936	-418.8708	-3.840711	-418.8253	-2.44728	-418.7809	-0.700382	-418.7964	-7.8448
-417.8774	-3.193898	-417.8644	-3.815361	-417.808	-2.40922	-417.7842	-0.667155	-417.7978	-7.840344
-416.8833	-3.190284	-416.8407	-3.791051	-416.8035	-2.367999	-416.8008	-0.634491	-416.7841	-7.835176
-415.9047	-3.183971	-415.8106	-3.770127	-415.8094	-2.327897	-415.8208	-0.59867	-415.7913	-7.826438
-414.8974	-3.172377	-414.8017	-3.7489	-414.816	-2.28383	-414.8434	-0.558929	-414.7969	-7.820101
-413.8841	-3.158018	-413.7528	-3.735277	-413.7971	-2.240401	-413.8313	-0.514077	-413.779	-7.810815
-412.8626	-3.146047	-412.7513	-3.720699	-412.7931	-2.205663	-412.8035	-0.468419	-412.768	-7.801337
-411.8386	-3.13408	-411.7698	-3.703396	-411.7875	-2.172452	-411.7903	-0.41786	-411.7525	-7.794873
-410.8194	-3.121286	-410.7739	-3.692333	-410.7822	-2.136693	-410.7665	-0.367739	-410.7315	-7.785885
-409.8361	-3.112485	-409.8187	-3.689048	-409.8173	-2.104618	-409.7531	-0.324535	-409.756	-7.777832
-408.8263	-3.101448	-408.8199	-3.688014	-408.8302	-2.06277	-408.7724	-0.276607	-408.7803	-7.772144
-407.8287	-3.084275	-407.8144	-3.683147	-407.8345	-2.014012	-407.7781	-0.234178	-407.7978	-7.765078
-406.8533	-3.082904	-406.8067	-3.67893	-406.823	-1.967445	-406.8018	-0.195988	-406.8173	-7.760022
-405.8489	-3.083947	-405.7977	-3.66532	-405.8173	-1.91816	-405.8328	-0.1507	-405.8075	-7.755101
-404.8989	-3.080796	-404.8063	-3.654422	-404.8086	-1.869455	-404.8313	-0.104697	-404.8151	-7.751599
