Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 7 - 3.15mM	Adsorbido 7 - 3.15mM	Ru 3.15mM - Au Desnudo	Ru 3.15mM - Au Desnudo
-548.774	-2.709084	-548.7649	-4.256648	-548.6297	-3.876348	-548.637	-2.046319	-548.6024	-2.188984	-548.6465	-1.959527	-548.6903	-2.398933	-548.682	-1.922135	-548.7055	-2.134894	-548.7892	-4.782862
-547.7784	-2.702629	-547.7667	-4.238863	-547.6254	-3.853157	-547.6289	-2.019817	-547.6094	-2.159552	-547.6577	-1.928378	-547.6607	-2.367309	-547.6959	-1.89379	-547.6985	-2.106745	-547.7807	-4.757095
-546.7728	-2.698319	-546.7595	-4.216471	-546.6173	-3.83003	-546.6336	-1.993074	-546.6111	-2.129796	-546.6512	-1.89734	-546.6442	-2.336498	-546.6956	-1.865109	-546.6749	-2.07828	-546.8049	-4.734608
-545.7704	-2.690357	-545.7576	-4.19635	-545.6177	-3.806926	-545.6125	-1.967244	-545.6307	-2.101762	-545.6718	-1.866918	-545.6561	-2.306901	-545.7	-1.836753	-545.6699	-2.051339	-545.8251	-4.709699
-544.762	-2.683843	-544.732	-4.17601	-544.6427	-3.783514	-544.6022	-1.93991	-544.6489	-2.072438	-544.6766	-1.835883	-544.6257	-2.276466	-544.6887	-1.80731	-544.6746	-2.023272	-544.8356	-4.684837
-543.7724	-2.677708	-543.7382	-4.153738	-543.6424	-3.760605	-543.6119	-1.913126	-543.6571	-2.043391	-543.6677	-1.806793	-543.6285	-2.246123	-543.669	-1.778946	-543.6737	-1.995912	-543.8375	-4.663014
-542.7842	-2.670367	-542.7347	-4.131205	-542.6307	-3.738065	-542.6082	-1.886223	-542.6625	-2.01457	-542.6703	-1.776726	-542.6364	-2.215312	-542.6754	-1.750275	-542.6693	-1.968376	-542.8301	-4.638634
-541.7749	-2.665284	-541.7157	-4.109251	-541.6268	-3.714943	-541.6042	-1.858196	-541.6079	-1.98253	-541.6415	-1.744674	-541.6128	-2.182572	-541.6465	-1.719913	-541.6558	-1.939038	-541.8221	-4.615879
-540.7739	-2.659887	-540.7224	-4.088707	-540.5932	-3.69323	-540.6034	-1.832474	-540.6241	-1.952989	-540.6285	-1.714721	-540.641	-2.152307	-540.6445	-1.693158	-540.645	-1.913116	-540.8077	-4.593847
-539.7574	-2.653126	-539.7134	-4.069499	-539.5854	-3.670619	-539.6136	-1.806332	-539.6217	-1.923726	-539.6232	-1.684228	-539.6493	-2.12149	-539.6532	-1.665359	-539.6591	-1.886418	-539.7919	-4.567903
