Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
290.1168	0.2853204
291.122	0.2844322
292.1404	0.2829244
293.14	0.2821646
294.1208	0.2806197
295.1127	0.2801695
296.1143	0.2804407
297.1099	0.2806451
298.1229	0.2813554
299.1308	0.2815069
300.1365	0.2816035
301.1667	0.2813895
302.1703	0.2811098
303.177	0.2806629
304.1759	0.2795487
305.1615	0.2780971
306.1649	0.2772597
307.1619	0.2772192
308.1446	0.2777262
309.154	0.2790228
310.1368	0.2793596
311.1239	0.2791918
312.1346	0.2790563
313.1204	0.2788901
314.1189	0.2792907
315.1349	0.2790477
316.1393	0.2784735
317.1568	0.2776127
318.1727	0.2760897
319.1772	0.2756585
320.1599	0.2756786
321.1482	0.2756968
322.1546	0.2760264
323.1398	0.2757367
324.144	0.2753334
325.1328	0.2757674
326.131	0.2763299
327.1471	0.277236
328.1606	0.2774678
329.1883	0.2767867
330.1723	0.2761289
331.1678	0.2752571
332.1735	0.275031
333.1522	0.2745421
334.1333	0.2738644
335.1255	0.2737561
336.0995	0.2738864
337.1022	0.2745581
338.1208	0.2758604
339.1089	0.2760566
340.1165	0.2758074
341.1137	0.2754702
342.1205	0.2745442
343.1266	0.2741717
344.1226	0.2739887
345.1295	0.2735472
346.1285	0.2738546
347.1404	0.2750006
348.1571	0.2758158
349.157	0.2763415
350.1428	0.2753957
351.1444	0.2747979
352.141	0.2752197
353.1498	0.2762418
354.171	0.2783587
355.1578	0.2787193
356.1413	0.2784294
357.1383	0.2788231
358.1342	0.2786077
359.1389	0.2795943
360.174	0.2809358
361.1662	0.2813054
362.1611	0.2820802
363.1655	0.2830165
364.1395	0.2838231
365.134	0.2838244
366.1468	0.2835129
367.1625	0.283408
368.1707	0.2824098
369.1719	0.2822425
370.1686	0.2833006
371.1464	0.2834494
372.1403	0.2836826
373.1515	0.2845463
374.1382	0.2842892
375.1398	0.2851734
376.1438	0.2867829
377.1231	0.2869169
378.1284	0.2873153
379.1282	0.28681
380.1417	0.2864372
381.1626	0.2867691
382.1661	0.2872961
383.1616	0.2881039
384.1477	0.2881519
385.1141	0.2885678
386.1177	0.2897744
387.1177	0.2895585
388.1217	0.2899198
389.137	0.2908921
390.1177	0.2902149
391.1116	0.2907702
392.1158	0.2916939
393.1138	0.2917361
394.141	0.2922149
395.1525	0.2925605
396.147	0.292482
397.1643	0.2939499
398.1556	0.2946703
399.163	0.2953001
400.1587	0.2958295
401.1612	0.2957158
402.1527	0.2967031
403.1511	0.2967272
404.1668	0.298087
405.1685	0.2982291
406.1781	0.2985432
407.1908	0.2995291
408.183	0.2989134
409.1688	0.2990376
410.1618	0.2988406
411.1467	0.2989664
412.1492	0.3003166
413.1709	0.3008084
414.1785	0.301521
415.1792	0.3020666
416.1852	0.3016087
417.1622	0.3017991
418.1574	0.3022849
419.1672	0.3023777
420.1707	0.30267
421.1794	0.3036806
422.1715	0.3039616
423.1649	0.3053405
424.1694	0.3066798
425.184	0.3070974
426.1922	0.3076361
427.1904	0.3073541
428.1659	0.306903
429.1403	0.3070262
430.1381	0.3070087
431.1505	0.3075756
432.1466	0.3082955
433.1514	0.3087392
434.1476	0.310163
435.1177	0.3105452
436.107	0.3112699
437.095	0.3122833
438.0817	0.3129722
439.0795	0.3138322
440.0847	0.3140934
441.095	0.3135305
442.1179	0.3129941
443.1338	0.3131126
444.1514	0.3140287
445.1676	0.3151231
446.1542	0.3156404
447.1598	0.3164256
448.14	0.3160005
449.1305	0.3163464
450.1405	0.3178702
451.1267	0.3186133
452.1219	0.3195849
453.1155	0.3200328
454.112	0.3190894
455.1144	0.3191333
456.1426	0.319598
457.159	0.3195545
458.1573	0.3200887
459.1519	0.3199053
460.1359	0.3202981
461.1283	0.3208888
462.1234	0.3223583
463.116	0.3238361
464.1075	0.32439
465.0935	0.3249771
466.118	0.3247039
467.1215	0.324141
468.1346	0.323898
469.1497	0.3246192
470.1326	0.3246603
471.1334	0.3255986
472.1408	0.3267183
473.1245	0.3269062
474.1139	0.328102
475.1232	0.3285747
476.1056	0.3294899
477.095	0.3296298
478.0997	0.3299143
479.0801	0.3303246
