Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Primeros 45	Primeros 45
417.154	0.4283999
418.1989	0.4315511
419.1871	0.4324026
420.216	0.4336624
421.2076	0.4361429
422.1601	0.4358817
423.1593	0.4378897
424.1365	0.4403936
425.1322	0.4412197
426.1421	0.4427319
427.1404	0.4434799
428.1202	0.4442297
429.1197	0.4453105
430.1382	0.4478123
431.143	0.4502119
432.1612	0.4513071
433.1505	0.4519611
434.1234	0.4523845
435.1034	0.4524383
436.094	0.4544631
437.105	0.4570011
438.1036	0.4582168
439.1307	0.4597169
440.1334	0.4598039
441.124	0.4601632
442.1257	0.4624089
443.1127	0.4636273
444.1127	0.4661615
445.1172	0.4680004
446.1143	0.4684902
447.11	0.4715764
448.1124	0.4735115
449.1221	0.4747904
450.1354	0.4771153
451.1295	0.47722
452.1202	0.4769566
453.1056	0.478817
454.1055	0.4797605
455.1156	0.4820516
456.1412	0.4854164
457.162	0.4873823
458.1703	0.4895841
459.1717	0.4911898
460.1636	0.4923769
461.156	0.4939767
462.1454	0.4949094
463.1415	0.496033
464.1248	0.4972847
465.1072	0.4986995
466.1035	0.5011497
467.0984	0.5019615
468.0983	0.5044699
469.1105	0.5077403
470.1117	0.5088291
471.1254	0.5123248
472.1317	0.514309
473.1234	0.5142254
474.0962	0.5174203
475.0863	0.5191133
476.0869	0.5203958
477.0844	0.5225235
478.1081	0.5235054
479.0956	0.5253133
480.0864	0.5274341
481.0823	0.5296735
482.0984	0.5324193
483.1118	0.5332298
484.1086	0.5338642
485.1199	0.5361181
486.0934	0.537254
487.0881	0.5403197
488.0941	0.5434936
489.0972	0.5441759
490.0957	0.5464296
491.0916	0.5479757
492.087	0.5494932
493.076	0.5517281
494.0969	0.5527971
495.107	0.5564467
496.1111	0.557897
497.1058	0.5604411
498.0995	0.5641427
498.6385	0.5235621
498.6759	0.4745652
498.2111	0.4180502
497.2412	0.3518299
496.239	0.3214146
495.2399	0.298459
494.2552	0.2772992
493.2667	0.260508
492.2635	0.2468162
491.2476	0.2327359
490.2343	0.2194937
489.2249	0.207544
488.2178	0.1961804
487.217	0.18464
486.233	0.174751
485.2587	0.1655427
484.2445	0.1553904
483.2486	0.1472546
482.2388	0.1394547
481.2171	0.1308628
480.2361	0.1239604
479.2409	0.1162834
478.2486	0.1084599
477.2309	0.101233
476.2188	0.093699
475.2303	0.08702263
